,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-1511.00000,859.00000,1887.00000,2746.00000,854.00000,-49.00000,-612.00000,293.00000,155.00000,1390.00000,-493.00000,,-3075.00000,,,,-3568.00000,2500.00000,-4.00000,2496.00000,-900.00000,-900.00000,-390.00000,,1206.00000,-1086.00000,-390.00000
2021-12-31,1806.00000,494.00000,-17.00000,477.00000,-232.00000,-648.00000,949.00000,-271.00000,-107.00000,2176.00000,-223.00000,,-439.00000,,,2.00000,-660.00000,,-1.00000,-1.00000,-965.00000,-965.00000,-338.00000,-35.00000,-1339.00000,110.00000,-338.00000
2020-12-31,1065.00000,575.00000,147.00000,722.00000,-940.00000,249.00000,341.00000,200.00000,-287.00000,1500.00000,-244.00000,,,,,7.00000,-237.00000,464.00000,-330.00000,134.00000,-77.00000,-77.00000,-311.00000,1.00000,-253.00000,982.00000,-311.00000
2019-12-31,1182.00000,587.00000,-559.00000,28.00000,-87.00000,-17.00000,140.00000,-181.00000,20.00000,1230.00000,642.00000,,,,,-6.00000,636.00000,-249.00000,-723.00000,-972.00000,-140.00000,-140.00000,-305.00000,-7.00000,-1424.00000,414.00000,-305.00000
2018-12-31,-159.00000,1392.00000,-67.00000,1325.00000,79.00000,73.00000,210.00000,-83.00000,63.00000,1229.00000,-430.00000,,,-25.00000,35.00000,-4.00000,-399.00000,319.00000,653.00000,972.00000,-1177.00000,-1177.00000,-306.00000,-7.00000,-518.00000,245.00000,-306.00000
2017-12-31,337.00000,654.00000,239.00000,893.00000,160.00000,-229.00000,180.00000,99.00000,34.00000,1264.00000,-623.00000,,,-35.00000,-95.00000,-3.00000,-721.00000,127.00000,367.00000,494.00000,-721.00000,-721.00000,-312.00000,-14.00000,-553.00000,53.00000,-312.00000
2016-12-31,928.00000,655.00000,,655.00000,-291.00000,-18.00000,37.00000,-3.00000,-380.00000,1203.00000,-597.00000,,,-12.00000,-12.00000,-3.00000,-612.00000,490.00000,55.00000,545.00000,-524.00000,-524.00000,-294.00000,-5.00000,-278.00000,277.00000,-294.00000
2015-12-31,822.00000,668.00000,-105.00000,563.00000,-89.00000,-141.00000,14.00000,146.00000,-160.00000,1225.00000,-652.00000,,,-70.00000,-70.00000,41.00000,-681.00000,248.00000,-465.00000,-217.00000,-212.00000,-212.00000,-269.00000,-9.00000,-707.00000,-254.00000,-269.00000
2014-12-31,692.00000,560.00000,49.00000,609.00000,-90.00000,49.00000,359.00000,169.00000,178.00000,1479.00000,-699.00000,,-1809.00000,-16.00000,-16.00000,68.00000,-2456.00000,877.00000,63.00000,940.00000,8.00000,8.00000,-224.00000,-19.00000,705.00000,-354.00000,-224.00000
2013-12-31,849.00000,540.00000,-105.00000,435.00000,-65.00000,-112.00000,275.00000,-23.00000,-22.00000,1262.00000,-572.00000,,,-6.00000,-6.00000,-4.00000,-582.00000,5.00000,5.00000,10.00000,-255.00000,-255.00000,-187.00000,-2.00000,-434.00000,212.00000,-187.00000
2012-12-31,425.00000,551.00000,-408.00000,143.00000,47.00000,-7.00000,240.00000,-161.00000,128.00000,696.00000,-466.00000,,,-28.00000,-28.00000,,-494.00000,-39.00000,6.00000,-33.00000,43.00000,43.00000,-155.00000,-3.00000,-148.00000,59.00000,-155.00000
2011-12-31,408.00000,558.00000,163.00000,721.00000,-15.00000,283.00000,25.00000,75.00000,-599.00000,530.00000,-585.00000,,,-7.00000,-7.00000,-4.00000,-596.00000,-13.00000,-2.00000,-15.00000,14.00000,14.00000,-148.00000,-17.00000,-166.00000,-259.00000,-148.00000
2010-12-31,650.00000,555.00000,-89.00000,466.00000,187.00000,-595.00000,341.00000,193.00000,-38.00000,1078.00000,-576.00000,-12.00000,,-18.00000,-18.00000,,-606.00000,-377.00000,-20.00000,-397.00000,60.00000,60.00000,-132.00000,-26.00000,-495.00000,-12.00000,-132.00000
2009-12-31,354.00000,525.00000,-199.00000,326.00000,-286.00000,578.00000,326.00000,102.00000,870.00000,1550.00000,-464.00000,0.00000,,-35.00000,-35.00000,,-499.00000,662.00000,-362.00000,300.00000,21.00000,21.00000,-128.00000,-49.00000,144.00000,1234.00000,-128.00000
