,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,698.00000,1268.00000,566.00000,1834.00000,-220.00000,-321.00000,-209.00000,-1005.00000,1526.00000,-576.00000,-1561.00000,,,126.00000,-2011.00000,86.00000,-251.00000,-165.00000,136.00000,136.00000,-55.00000,-463.00000,-548.00000,-1042.00000,220.00000
2021-12-31,1041.00000,1463.00000,-282.00000,1181.00000,-279.00000,-346.00000,-134.00000,-351.00000,1870.00000,-540.00000,-1153.00000,,,97.00000,-1597.00000,,,,110.00000,110.00000,-55.00000,-150.00000,-95.00000,173.00000,194.00000
2020-12-31,-82.00000,1656.00000,-43.00000,1613.00000,335.00000,-65.00000,-265.00000,-23.00000,1508.00000,-364.00000,-134.00000,,,87.00000,-411.00000,423.00000,-1422.00000,-999.00000,551.00000,1526.00000,-28.00000,-205.00000,293.00000,1388.00000,170.00000
2019-12-31,4700.00000,1116.00000,-3682.00000,-2566.00000,-130.00000,-290.00000,45.00000,-296.00000,1836.00000,-454.00000,-4292.00000,-149.00000,-149.00000,-147.00000,-5041.00000,3669.00000,-875.00000,2794.00000,123.00000,123.00000,,56.00000,2973.00000,-222.00000,157.00000
2018-12-31,1671.00000,929.00000,-120.00000,809.00000,-110.00000,-83.00000,-1336.00000,-2169.00000,310.00000,-302.00000,-1448.00000,-172.00000,-172.00000,,-1921.00000,385.00000,1020.00000,1405.00000,101.00000,101.00000,,-75.00000,1432.00000,-188.00000,140.00000
2017-12-31,104.00000,848.00000,408.00000,1256.00000,-30.00000,-107.00000,8.00000,66.00000,1426.00000,-319.00000,-560.00000,-131.00000,-131.00000,,-1010.00000,-1000.00000,1123.00000,123.00000,85.00000,85.00000,,-98.00000,110.00000,530.00000,127.00000
2016-12-31,347.00000,826.00000,-197.00000,629.00000,-216.00000,40.00000,-171.00000,206.00000,1182.00000,-347.00000,-408.00000,-132.00000,-132.00000,,-887.00000,-315.00000,60.00000,-255.00000,111.00000,111.00000,,-62.00000,-206.00000,87.00000,116.00000
2015-12-31,-239.00000,788.00000,-184.00000,604.00000,-17.00000,3.00000,360.00000,326.00000,691.00000,-247.00000,-1734.00000,-266.00000,-266.00000,61.00000,-2186.00000,1385.00000,,1385.00000,114.00000,114.00000,,-222.00000,1276.00000,-223.00000,107.00000
2014-12-31,-119.00000,920.00000,-494.00000,426.00000,53.00000,-81.00000,370.00000,962.00000,1269.00000,-259.00000,-500.00000,14.00000,14.00000,,-745.00000,,,,-65.00000,-65.00000,,-85.00000,-150.00000,370.00000,103.00000
2013-12-31,-121.00000,1165.00000,-117.00000,1048.00000,-101.00000,-7.00000,300.00000,183.00000,1110.00000,-192.00000,-244.00000,-44.00000,-44.00000,5.00000,-475.00000,-170.00000,,-170.00000,-426.00000,-426.00000,,-28.00000,-624.00000,10.00000,105.00000
2012-12-31,-4068.00000,5175.00000,-131.00000,5044.00000,37.00000,66.00000,312.00000,304.00000,1280.00000,-210.00000,-356.00000,-22.00000,-22.00000,9.00000,-579.00000,-156.00000,-9.00000,-165.00000,-579.00000,-579.00000,,-20.00000,-764.00000,-60.00000,108.00000
2011-12-31,441.00000,1435.00000,-631.00000,804.00000,42.00000,-54.00000,46.00000,-237.00000,1008.00000,-288.00000,1070.00000,-11.00000,-11.00000,5.00000,776.00000,-1250.00000,,-1250.00000,-471.00000,-471.00000,,-7.00000,-1728.00000,54.00000,128.00000
2010-12-31,-1065.00000,2698.00000,65.00000,2763.00000,52.00000,-5.00000,-272.00000,-1373.00000,325.00000,-267.00000,-205.00000,,,4.00000,-468.00000,-1712.00000,1173.00000,-539.00000,31.00000,31.00000,,,-508.00000,-651.00000,150.00000
2009-12-31,-1025.00000,846.00000,89.00000,935.00000,1.00000,-92.00000,554.00000,925.00000,835.00000,-307.00000,-527.00000,-50.00000,-50.00000,91.00000,-793.00000,-2825.00000,1972.00000,-853.00000,33.00000,33.00000,,,-820.00000,-777.00000,144.00000
