,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,0.00000,,,,,,,,,1335.90000,-127.80000,-36.70000,,,,-164.50000,84.60000,84.60000,,,,-1186.70000,-1102.10000,57.10000,,
2021-12-31,988.60000,191.20000,36.40000,227.60000,-616.80000,-151.00000,374.50000,-38.30000,-431.60000,784.60000,-100.00000,-2705.60000,36.00000,36.00000,,-2769.60000,2721.40000,2721.40000,-1430.50000,-1430.50000,-234.80000,-223.30000,832.80000,-1152.10000,72.60000,-234.80000
2020-12-31,788.50000,425.60000,95.30000,520.90000,-226.40000,-71.40000,253.70000,49.00000,4.90000,1314.30000,-158.00000,-43.00000,,,,-201.00000,608.40000,608.40000,-291.40000,-291.40000,-219.60000,41.40000,138.80000,1256.20000,42.50000,-219.60000
2019-12-31,736.80000,267.10000,-10.40000,256.70000,-244.80000,-153.00000,194.10000,237.40000,33.70000,1027.20000,-236.30000,-95.10000,,,,-331.40000,112.00000,112.00000,-622.30000,-622.30000,-183.40000,-56.10000,-749.80000,-51.80000,48.50000,-183.40000
2018-12-31,643.00000,265.60000,-4.50000,261.10000,-365.10000,-46.80000,271.20000,142.50000,1.80000,905.90000,-86.10000,,,,,-86.10000,,,-522.30000,-522.30000,-139.40000,-93.10000,-754.80000,61.60000,40.70000,-139.40000
2017-12-31,523.10000,260.90000,-66.60000,194.30000,-136.80000,16.90000,231.50000,-51.30000,60.30000,777.70000,-81.10000,,,,,-81.10000,-53.20000,-53.20000,-534.00000,-534.00000,-106.90000,-124.60000,-818.70000,-119.50000,43.70000,-106.90000
2016-12-31,425.10000,254.50000,-51.60000,202.90000,-178.90000,-68.00000,225.10000,-2.20000,-24.00000,604.00000,-63.50000,,,,-2.40000,-65.90000,-28.00000,-28.00000,-367.40000,-367.40000,-78.70000,169.50000,-304.60000,226.10000,39.20000,-78.70000
2015-12-31,403.10000,233.80000,-83.50000,150.30000,-342.60000,-31.50000,100.50000,-2.30000,-275.90000,277.50000,-90.10000,-263.80000,,,-0.50000,-354.40000,-33.10000,-33.10000,-238.90000,-238.90000,-52.90000,98.40000,-226.50000,-306.90000,31.20000,-52.90000
2014-12-31,244.90000,214.30000,17.60000,231.90000,-117.60000,44.20000,43.70000,-12.10000,-41.80000,435.00000,-55.00000,,-86.80000,-86.80000,-23.00000,-164.80000,-139.40000,-139.40000,1.30000,1.30000,-33.60000,59.70000,-112.00000,156.40000,16.40000,-33.60000
2013-12-31,132.80000,217.00000,63.60000,280.60000,-170.80000,-67.50000,146.10000,45.10000,-47.10000,366.30000,-47.10000,,,,,-47.10000,-563.30000,-563.30000,424.50000,424.50000,-7.30000,-22.20000,-168.30000,150.20000,46.60000,-7.30000
2012-12-31,119.00000,223.80000,-16.00000,207.80000,-10.40000,7.10000,0.80000,-6.90000,-9.40000,317.40000,-41.40000,,,,-0.30000,-41.70000,-308.50000,-308.50000,-0.70000,-0.70000,,-28.80000,-338.00000,-62.00000,22.10000,
2011-12-31,17.10000,220.60000,135.30000,355.90000,-183.40000,-29.00000,-19.80000,73.90000,-158.30000,214.70000,-45.70000,,,,-10.30000,-56.00000,-320.20000,-320.20000,-0.40000,-0.40000,,225.20000,-95.40000,63.30000,19.50000,
2010-12-31,-29.20000,227.40000,60.20000,287.60000,-81.50000,-34.90000,269.30000,12.40000,165.30000,423.70000,-41.50000,,,,-83.90000,-125.40000,-338.99990,-338.99990,,,,-11.10000,-350.10000,-51.40000,11.50000,
