,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-08-31,5915.00000,1900.00000,1140.00000,3040.00000,549.00000,-4003.00000,1891.00000,,-1563.00000,7392.00000,-3891.00000,,24.00000,,24.00000,-48.00000,-3915.00000,-800.00000,,-800.00000,-439.00000,-439.00000,-1706.00000,-1338.00000,-4283.00000,-1055.00000,724.00000,-1706.00000
2021-08-31,5079.00000,1781.00000,1095.00000,2876.00000,1057.00000,-1892.00000,1838.00000,,1003.00000,8958.00000,-3588.00000,,115.00000,,115.00000,-62.00000,-3535.00000,-94.00000,,-94.00000,-496.00000,-496.00000,-5748.00000,-150.00000,-6488.00000,-1019.00000,665.00000,-5748.00000
2020-08-31,4059.00000,1645.00000,959.00000,2604.00000,728.00000,-791.00000,2261.00000,,2198.00000,8861.00000,-2810.00000,-1163.00000,52.00000,,52.00000,30.00000,-3891.00000,792.00000,,792.00000,-196.00000,-196.00000,-1479.00000,-264.00000,-1147.00000,3893.00000,619.00000,-1479.00000
2019-08-31,3704.00000,1492.00000,751.00000,2243.00000,623.00000,-536.00000,322.00000,,409.00000,6356.00000,-2998.00000,,137.00000,,137.00000,-4.00000,-2865.00000,209.00000,210.00000,419.00000,-247.00000,-247.00000,-1038.00000,-281.00000,-1147.00000,2329.00000,595.00000,-1038.00000
2018-08-31,3179.00000,1437.00000,489.00000,1926.00000,421.00000,-1313.00000,1561.00000,,669.00000,5774.00000,-2969.00000,,18.00000,,18.00000,4.00000,-2947.00000,-86.00000,80.00000,-6.00000,-328.00000,-328.00000,-689.00000,-258.00000,-1281.00000,1509.00000,544.00000,-689.00000
2017-08-31,2714.00000,1370.00000,471.00000,1841.00000,,-894.00000,2258.00000,807.00000,2171.00000,6726.00000,-2502.00000,,106.00000,,106.00000,30.00000,-2366.00000,1582.00000,-236.00000,1346.00000,-469.00000,-469.00000,-3904.00000,-191.00000,-3218.00000,1167.00000,514.00000,-3904.00000
2016-08-31,2376.00000,1255.00000,671.00000,1926.00000,,-25.00000,-1532.00000,547.00000,-1010.00000,3292.00000,-2649.00000,,277.00000,,277.00000,27.00000,-2345.00000,-1103.00000,81.00000,-1022.00000,-706.00000,-706.00000,-746.00000,55.00000,-2419.00000,-1422.00000,459.00000,-746.00000
2015-08-31,2409.00000,1127.00000,202.00000,1329.00000,557.00000,-890.00000,880.00000,,547.00000,4285.00000,-2393.00000,,-67.00000,,-67.00000,-20.00000,-2480.00000,1124.00000,-45.00000,1079.00000,-659.00000,-659.00000,-2865.00000,121.00000,-2324.00000,-937.00000,394.00000,-2865.00000
2014-08-31,2088.00000,1029.00000,202.00000,1231.00000,699.00000,-563.00000,529.00000,,665.00000,3984.00000,-1993.00000,,-97.00000,,-97.00000,-3.00000,-2093.00000,117.00000,61.00000,178.00000,-498.00000,-498.00000,-584.00000,118.00000,-786.00000,1094.00000,327.00000,-584.00000
2013-08-31,2061.00000,946.00000,224.00000,1170.00000,386.00000,-898.00000,718.00000,,206.00000,3437.00000,-2083.00000,,-187.00000,,-187.00000,19.00000,-2251.00000,3717.00000,-31.00000,3686.00000,-157.00000,-157.00000,-3560.00000,75.00000,44.00000,1116.00000,285.00000,-3560.00000
2012-08-31,1767.00000,908.00000,202.00000,1110.00000,332.00000,-490.00000,338.00000,,180.00000,3057.00000,-1480.00000,,255.00000,,255.00000,-11.00000,-1236.00000,-770.00000,457.00000,-313.00000,-630.00000,-630.00000,-607.00000,-731.00000,-2281.00000,-481.00000,241.00000,-607.00000
2011-08-31,1542.00000,855.00000,269.00000,1124.00000,370.00000,-642.00000,804.00000,,532.00000,3198.00000,-1290.00000,,-662.00000,602.00000,-60.00000,170.00000,-1180.00000,,-540.00000,-540.00000,-400.00000,-400.00000,-389.00000,52.00000,-1277.00000,795.00000,207.00000,-389.00000
2010-08-31,1323.00000,795.00000,147.00000,942.00000,283.00000,-213.00000,445.00000,,515.00000,2780.00000,-1051.00000,,-1265.00000,309.00000,-956.00000,-8.00000,-2015.00000,-84.00000,13.00000,-71.00000,-358.00000,-358.00000,-338.00000,48.00000,-719.00000,57.00000,190.00000,-338.00000
2009-08-31,1099.00000,728.00000,262.00000,990.00000,142.00000,-394.00000,255.00000,,3.00000,2092.00000,-1243.00000,,-26.00000,183.00000,157.00000,-15.00000,-1101.00000,-6.00000,-130.00000,-136.00000,,,-296.00000,-7.00000,-439.00000,538.00000,181.00000,-296.00000
