,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,325.00000,791.00000,1433.00000,2224.00000,-340.00000,172.00000,299.00000,174.00000,2723.00000,-550.00000,,-91.00000,-1960.00000,-1960.00000,18.00000,-2583.00000,-94.00000,-94.00000,177.00000,177.00000,-427.00000,-344.00000,-257.00000,1401.00000
2021-12-31,230.00000,773.00000,1130.00000,1903.00000,-401.00000,55.00000,302.00000,58.00000,2191.00000,-392.00000,-7.00000,-785.00000,-437.00000,-437.00000,14.00000,-1607.00000,-61.00000,-61.00000,167.00000,167.00000,-612.00000,-506.00000,53.00000,1131.00000
2020-12-31,119.00000,578.00000,809.00000,1387.00000,-152.00000,-34.00000,291.00000,280.00000,1786.00000,-419.00000,-13.00000,-107.00000,-969.00000,-969.00000,1.00000,-1507.00000,960.00000,960.00000,146.00000,146.00000,-509.00000,597.00000,901.00000,870.00000
2019-12-31,627.00000,453.00000,78.00000,531.00000,-260.00000,21.00000,252.00000,78.00000,1236.00000,-265.00000,-73.00000,-7.00000,-403.00000,-403.00000,23.00000,-725.00000,,,108.00000,108.00000,-410.00000,-302.00000,209.00000,662.00000
2018-12-31,-26.70400,345.69500,364.42400,710.11900,-146.14800,-4.75700,209.58800,140.75400,811.08900,-224.46200,-24.40000,-37.44000,-61.12000,-61.12000,,-347.42200,,,104.16000,-325.48500,-281.94300,-607.42800,-159.29100,543.95300
2017-12-31,-116.84600,266.37400,388.28000,654.65410,-99.69300,-5.50400,144.70800,106.03700,642.94000,-150.51000,-6.67000,-58.20300,-668.56500,-668.56500,,-883.94800,772.12300,772.12300,81.63800,81.63800,-314.86900,538.89200,325.89700,394.00400
2016-12-31,-414.24900,185.92500,316.99600,502.92100,-126.41500,-3.55400,109.05400,66.64500,159.08100,-105.56200,-18.75000,-34.29700,50.37100,50.37100,,-108.23800,,,66.37800,66.37800,-122.13000,-55.75200,-10.85400,317.65400
2015-12-31,-198.42600,164.05800,256.43100,420.48900,-50.85500,14.78500,104.79700,101.91400,317.75400,-87.48100,-1.75000,-1.10000,-141.19000,-141.19000,,-231.52100,,,93.34800,93.34800,-13.01800,80.33000,160.05000,257.71300
2014-12-31,-179.38700,130.47200,153.12100,283.59300,-56.78500,10.22300,89.06700,41.20000,140.93700,-54.37900,,-99.81300,-162.68100,-162.68100,-0.05500,-316.92800,,,69.39600,69.39600,-0.66100,68.73500,-113.84800,154.31900
2013-12-31,-73.70800,61.77200,63.69200,125.46400,-29.50600,-0.25200,42.93300,29.43200,81.74600,-55.32100,,-13.33000,-333.96700,-333.96700,-0.17700,-402.79500,562.94100,562.94100,140.48400,140.48400,-134.85500,568.57000,247.31400,65.58100
2012-12-31,-37.34800,28.55300,25.49700,54.05000,-33.34100,4.88700,32.76600,29.21400,48.76600,-42.06600,,,-197.12800,-197.12800,0.04500,-239.14900,,,189.58400,189.58400,52.25500,241.83900,50.90100,27.93700
2011-12-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,9.83000,5.49500,2.81600,8.31100,-14.76200,0.25400,25.16700,19.26700,37.46800,-8.73300,,,,,0.35000,-8.38300,,,1.08900,1.08900,0.13800,1.22700,30.45100,2.95400
2010-12-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,-29.70500,2.55800,1.31100,3.86900,-5.17600,0.91200,13.66700,18.30400,-7.53200,-1.58400,,,,,0.12900,-1.45500,51.24500,51.24500,-20.57300,-20.57300,,30.67200,21.61400,0.54500
2009-12-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,-5.90600,0.62200,0.19300,0.81500,-1.98100,0.19100,4.59800,5.25100,0.16000,-0.32700,,,,,-0.52400,-0.85100,,,-2.20600,3.70100,,3.70100,3.01600,0.12700
