,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2646.00000,264.00000,261.00000,525.00000,-96.00000,-22.00000,-50.00000,48.00000,3219.00000,-196.00000,-81.00000,-175.00000,3.00000,-172.00000,,-449.00000,1402.00000,1402.00000,-3145.00000,-3145.00000,-463.00000,416.00000,-1790.00000,431.00000,397.00000,-463.00000
2021-12-31,1308.00000,326.00000,323.00000,649.00000,-119.00000,264.00000,-120.00000,225.00000,2182.00000,-137.00000,204.00000,15.00000,-33.00000,-18.00000,,49.00000,1753.00000,1753.00000,-3488.00000,-3488.00000,-447.00000,258.00000,-1924.00000,72.00000,449.00000,-447.00000
2020-12-31,2018.00000,413.00000,298.00000,711.00000,108.00000,186.00000,-223.00000,54.00000,2783.00000,-141.00000,-338.00000,-167.00000,-33.00000,-200.00000,,-679.00000,271.00000,271.00000,-1719.00000,-1719.00000,-412.00000,88.00000,-1772.00000,629.00000,312.00000,-412.00000
2019-12-31,1573.00000,564.00000,268.00000,832.00000,-371.00000,-28.00000,-151.00000,-570.00000,1835.00000,-225.00000,13.00000,35.00000,-52.00000,-17.00000,,-229.00000,1111.00000,1111.00000,-2091.00000,-2091.00000,-410.00000,1143.00000,-247.00000,1422.00000,317.00000,-410.00000
2018-12-31,1174.00000,769.00000,45.00000,814.00000,-806.00000,25.00000,445.00000,-302.00000,1686.00000,-240.00000,-68.00000,348.00000,-9.00000,339.00000,,31.00000,337.00000,337.00000,-1619.00000,-1619.00000,-382.00000,-35.00000,-1699.00000,-100.00000,338.00000,-382.00000
2017-12-31,1263.00000,891.00000,-446.00000,445.00000,-83.00000,96.00000,-73.00000,-974.00000,734.00000,-183.00000,3217.00000,-232.00000,4.00000,-228.00000,-19.00000,2787.00000,-345.00000,-345.00000,-2520.00000,-2520.00000,-364.00000,-36.00000,-3265.00000,325.00000,319.00000,-364.00000
2016-12-31,1430.00000,319.00000,563.00000,882.00000,490.00000,53.00000,-487.00000,14.00000,2326.00000,-156.00000,-772.00000,61.00000,-21.00000,40.00000,-66.00000,-954.00000,522.00000,522.00000,-1386.00000,-1386.00000,-345.00000,-77.00000,-1286.00000,47.00000,306.00000,-345.00000
2015-12-31,1422.00000,338.00000,354.00000,692.00000,502.00000,88.00000,-719.00000,-105.00000,2009.00000,-200.00000,189.00000,9.00000,-46.00000,-37.00000,-90.00000,-138.00000,253.00000,253.00000,-1580.00000,-1580.00000,-323.00000,-39.00000,-1689.00000,10.00000,320.00000,-323.00000
2014-12-31,1431.00000,594.00000,149.00000,743.00000,-44.00000,4.00000,-364.00000,-362.00000,1812.00000,-256.00000,-431.00000,110.00000,32.00000,142.00000,,-545.00000,1321.00000,1321.00000,-2355.00000,-2355.00000,-273.00000,4.00000,-1303.00000,-103.00000,328.00000,-273.00000
2013-12-31,1148.00000,635.00000,221.00000,856.00000,137.00000,110.00000,-382.00000,-251.00000,1753.00000,-229.00000,-14.00000,-174.00000,78.00000,-96.00000,,-339.00000,227.00000,227.00000,-1124.00000,-1124.00000,-212.00000,-27.00000,-1136.00000,186.00000,300.00000,-212.00000
2012-12-31,1020.00000,655.00000,117.00000,772.00000,-1296.00000,-37.00000,775.00000,-373.00000,1419.00000,-269.00000,-160.00000,440.00000,166.00000,606.00000,,177.00000,-344.00000,-344.00000,-1011.00000,-1011.00000,-231.00000,,-1586.00000,19.00000,212.00000,-231.00000
2011-12-31,1010.00000,582.00000,375.00000,957.00000,-508.00000,,-561.00000,-949.00000,1018.00000,-241.00000,-97.00000,-8.00000,160.00000,152.00000,,-186.00000,-15.00000,-15.00000,-651.00000,-651.00000,-230.00000,,-896.00000,-74.00000,235.00000,-230.00000
2010-12-31,732.00000,305.00000,340.00000,645.00000,747.00000,-280.00000,-1061.00000,-594.00000,783.00000,-180.00000,-2078.00000,-337.00000,56.00000,-281.00000,,-2539.00000,2089.00000,2089.00000,-71.00000,-71.00000,-195.00000,,1823.00000,129.00000,221.00000,-195.00000
2009-12-31,792.00000,242.00000,256.00000,498.00000,295.00000,-54.00000,-926.00000,-790.00000,500.00000,-140.00000,-263.00000,259.00000,-85.00000,174.00000,,-229.00000,-25.00000,-25.00000,-430.00000,-430.00000,-197.00000,,-652.00000,-365.00000,209.00000,-197.00000
