,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-01-31,985.83700,268.46000,303.18000,571.64000,-40.57300,-331.00300,66.15600,-215.73800,-498.21200,1059.26500,-172.18700,,-4.29700,-4.29700,-176.48400,,,-1497.21600,-1497.21600,,,-1497.21600,-614.49100,47.25900,
2021-01-31,175.83500,297.77200,351.00600,648.77800,-53.77200,125.48600,62.32400,-265.81100,-14.25800,810.35500,-151.86600,-1.22000,-5.66500,104.33500,-48.75100,,,-106.01900,-106.01900,,-1.91500,-107.93400,653.72600,27.58300,
2020-01-31,705.94500,295.59900,315.21800,610.81700,-20.63700,-79.37200,9.99300,-154.24600,-215.46900,1101.29300,-298.53400,,-62.94600,-172.94600,-471.48000,,,-646.73900,-646.73900,,,-646.73900,-16.92600,25.04500,
2019-01-31,658.55900,279.47200,63.60100,343.07300,-36.38700,-122.01900,78.25600,34.98900,-45.50500,956.12700,-319.40000,-13.60600,-2.10100,117.89900,-215.10700,,,-609.21410,-609.21410,,,-609.21400,131.80600,26.63600,
2018-01-31,555.23400,252.71300,4.82200,257.53500,-11.08800,-152.44900,66.24000,90.94800,-33.40300,779.36600,-440.71400,,,-90.00000,-530.71400,,,-355.63400,-355.63400,,-0.58300,-356.21700,-107.56500,24.39900,
2017-01-31,409.76000,210.29500,46.39800,256.69300,-23.63900,-182.18200,63.34400,34.03000,-32.06800,634.38500,-373.44700,,,100.00000,-273.44700,,,-330.82100,-330.82100,,9.05300,-321.76800,39.17000,19.34000,
2016-01-31,320.00800,165.04900,15.59600,180.64500,-12.55200,-180.56400,5.39600,22.22000,-124.77900,375.87400,-299.16700,,,20.20900,-278.95800,,,-149.72200,-149.72200,,9.49700,-140.22500,-43.30900,15.59400,
2015-01-31,257.13500,131.76400,25.40800,157.17200,-5.39100,-123.29600,42.49600,23.54800,-17.71500,396.59200,-249.06700,,,-150.20900,-399.27600,,,-30.87200,-30.87200,,3.22900,-27.64300,-30.32700,14.92300,
2014-01-31,202.84900,106.28300,10.39500,116.67800,-5.53400,-96.80800,29.39600,48.25600,8.19800,327.72500,-226.02400,,,,-226.02400,,,-16.07800,-16.07800,,13.37800,-2.70000,99.00100,16.00300,
2013-01-31,172.54900,88.23300,-24.22300,64.01000,-15.36200,-116.47800,32.44400,34.65200,2.44200,239.00100,-188.57800,,,,-188.57800,,,31.45100,31.45100,-62.48200,47.34500,16.31400,66.73700,13.37500,-62.48200
2012-01-31,120.26400,75.93100,-2.14300,73.78800,-3.86100,-26.13100,-0.65100,18.25100,26.83500,220.88700,-128.63600,,,,-128.63600,,,24.40300,24.40300,,25.89900,50.30200,142.55300,11.60500,0.00000
2011-01-31,71.03000,64.93600,7.73700,72.67300,-8.81500,-11.56800,30.70600,18.33600,32.84000,176.54300,-97.11500,,,,-97.11500,,,17.10000,17.10000,,10.64000,27.74000,107.16800,11.15500,0.00000
2010-01-31,39.35600,62.16600,8.56500,70.73100,4.79100,6.65400,8.57600,6.45200,62.74000,172.82700,-68.10500,,,,-68.10500,-106.04700,-106.04700,1.22800,1.22800,,0.47600,-104.34300,0.37900,5.94900,
2009-01-31,25.26800,51.44500,24.95300,76.39800,2.37500,-37.49300,-4.31100,24.94300,-26.46300,75.20300,-110.86300,,,,-110.86300,31.27700,31.27700,2.45800,2.45800,,1.77400,35.50900,-0.15100,3.87700,
