,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,359.91900,409.85100,183.13600,592.98690,-6.66900,-472.61000,53.11500,-427.21800,525.68800,-49.12500,-25.68100,,,,3.10400,-71.70200,-183.79200,-183.79200,-472.11800,-472.11800,,-33.26300,-689.17300,-242.99600,203.88000,
2021-12-31,276.55400,69.96100,116.02800,185.98900,-34.02100,458.75700,28.07400,449.95600,912.49900,-79.97100,-859.90500,,,,0.05100,-939.82500,-1012.84500,-1012.84500,56.95100,56.95100,,1067.00000,111.10600,76.21000,146.81600,
2020-12-31,221.60900,48.79600,511.00300,559.79900,-24.21300,24.15500,-9.71100,7.14400,788.55200,-42.37600,,,-9.11500,-9.11500,-3870.64000,-3922.13100,600.00000,600.00000,1428.50800,1428.50800,,-240.66200,1787.84600,-2401.05600,102.26800,
2019-12-31,566.52700,43.08200,41.34500,84.42700,-17.86100,33.74100,-14.68400,-2.96500,647.98900,-39.03500,-3.75900,,,,1.06400,-41.73000,936.57200,936.57200,-51.48300,-51.48300,,-231.06500,654.02400,1006.67300,89.72400,
2018-12-31,451.10400,36.14500,60.19200,96.33700,17.27200,21.38600,-1.54200,64.01400,611.45500,-31.39700,1.13600,,-3.80000,-3.80000,-4.14300,-38.20400,260.00000,260.00000,-143.42300,-143.42300,-105.12600,-210.21900,-198.76800,500.00300,66.03100,-105.12600
2017-12-31,358.00800,116.40800,37.24400,153.65200,-115.16900,-25.28900,44.84200,-94.96100,416.69900,-75.52300,39.22500,84.45900,-9.10600,75.35300,2.99400,42.04900,404.49900,404.49900,-161.74100,-161.74100,-20.18400,-419.44300,-196.86900,273.48300,264.61800,-20.18400
2016-12-31,-16.15100,426.46900,-46.99700,379.47200,1.28300,,22.99500,-19.08300,344.23800,-78.03900,153.82500,-61.57400,-12.56500,-74.13900,11.21500,12.86200,-176.40900,-176.40900,-246.48900,-246.48900,,-69.24200,-492.14000,-141.47400,104.82000,
2015-12-31,113.37400,216.21300,27.10100,243.31400,-29.68000,,45.74000,48.98300,405.67100,-62.04900,-617.40200,125.32800,-25.05700,100.27100,-3.54100,-582.72100,708.00000,708.00000,200.47600,200.47600,-113.19600,-116.89000,678.39000,491.04200,105.45000,-113.19600
2014-12-31,409.23000,119.08200,-21.35300,97.72900,-19.91800,,26.53600,-82.91100,424.04800,-57.23300,-259.39100,-154.18200,34.05400,-120.12800,-3.04200,-439.79400,,,-31.55600,-31.55600,-97.33800,47.91400,-80.98000,-110.03900,59.63400,-97.33800
2013-12-31,283.72500,118.75200,-10.03600,108.71600,10.42100,-0.76600,-40.32600,18.52000,410.96100,-80.31100,-40.43400,12.50200,32.01100,44.51300,-3.52900,-79.76100,484.15600,484.15600,-337.23800,-337.23800,-79.18900,-50.06300,17.66600,350.46700,53.00500,-79.18900
2012-12-31,160.79600,88.25200,105.10500,193.35700,-30.99100,-14.38400,-21.12700,-19.49200,354.52700,-51.20100,-400.25400,141.54900,-21.47800,120.07100,-9.92300,-341.30700,500.00000,500.00000,-433.88000,-433.88000,-68.16300,35.56300,33.52000,45.82400,85.62500,-68.16300
2011-12-31,171.57700,78.77600,67.91900,146.69500,-58.31400,,50.23700,42.10300,372.38600,-39.95400,-278.46900,380.96500,-75.03100,305.93400,-12.69700,-25.18600,,,-378.82300,-378.82300,-10.66800,17.25800,-372.23300,-37.94600,88.58800,-10.66800
2010-12-31,94.35200,119.40100,7.98100,127.38200,-32.90100,,11.01700,109.05300,340.70700,-39.82900,-17.33300,-74.82900,3.04100,-71.78800,10.85400,-118.09600,,,-513.65900,-513.65900,,-203.55100,-717.21000,-503.89800,84.28000,
2009-12-31,-979.91200,1151.15800,37.19500,1188.35300,-18.12100,,20.69600,130.40900,348.54700,-33.93800,-85.53400,-356.69100,57.56400,-299.12700,-4.04100,-422.64000,,,-393.55600,-393.55600,,-12.24100,-405.79700,-498.99700,70.08100,
