,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,1057.00000,1288.00000,-416.00000,872.00000,-461.00000,-259.00000,203.00000,338.00000,-198.00000,1810.00000,-4419.00000,2075.00000,,702.00000,702.00000,14.00000,-1628.00000,-191.00000,378.00000,187.00000,,,-489.00000,-43.00000,-345.00000,-163.00000,-440.00000
2021-12-31,1486.00000,1316.00000,-591.00000,725.00000,-98.00000,-140.00000,175.00000,-2292.00000,-2274.00000,22.00000,-3164.00000,22.00000,,1320.00000,1320.00000,-29.00000,-1851.00000,1346.00000,1105.00000,2451.00000,,,-492.00000,-43.00000,1916.00000,87.00000,-385.00000
2020-12-31,-773.00000,1189.00000,1397.00000,2586.00000,90.00000,9.00000,2.00000,22.00000,147.00000,1995.00000,-2596.00000,1215.00000,,,,116.00000,-1265.00000,-925.00000,-761.00000,-1686.00000,672.00000,1395.00000,-529.00000,-14.00000,-834.00000,-104.00000,-392.00000
2019-12-31,791.00000,1225.00000,49.00000,1274.00000,226.00000,-52.00000,-455.00000,-168.00000,-555.00000,1638.00000,-2506.00000,-5991.00000,,,,76.00000,-8421.00000,1614.00000,1891.00000,3505.00000,,,-695.00000,-34.00000,2776.00000,-4007.00000,-577.00000
2018-12-31,368.00000,1291.00000,195.00000,1486.00000,-154.00000,1.00000,220.00000,163.00000,270.00000,2136.00000,-1651.00000,,398.00000,,398.00000,46.00000,-1207.00000,2011.00000,-1582.00000,429.00000,1844.00000,3584.00000,-908.00000,-52.00000,3053.00000,3982.00000,-897.00000
2017-12-31,1792.00000,1060.00000,-1139.00000,-79.00000,-216.00000,-7.00000,136.00000,-268.00000,-320.00000,1417.00000,-1426.00000,-132.00000,,,,301.00000,-1257.00000,-115.00000,353.00000,238.00000,,,-461.00000,-22.00000,-245.00000,-85.00000,-461.00000
2016-12-31,432.00000,1152.00000,84.00000,1236.00000,-117.00000,34.00000,133.00000,10.00000,207.00000,1923.00000,-1414.00000,-102.00000,178.00000,-363.00000,-185.00000,667.00000,-1034.00000,-618.00000,464.00000,-154.00000,,,-621.00000,-33.00000,-808.00000,81.00000,-621.00000
2015-12-31,-692.00000,997.00000,1316.00000,2313.00000,345.00000,28.00000,-224.00000,65.00000,222.00000,1870.00000,-1584.00000,,32.00000,,32.00000,165.00000,-1387.00000,-444.00000,390.00000,-54.00000,,,-458.00000,-5.00000,-517.00000,-34.00000,-458.00000
2014-12-31,611.00000,1041.00000,78.00000,1119.00000,39.00000,-102.00000,-3.00000,-67.00000,-346.00000,1397.00000,-1372.00000,,,-1.00000,-1.00000,-11.00000,-1384.00000,63.00000,424.00000,487.00000,,,-408.00000,-2.00000,77.00000,90.00000,-408.00000
2013-12-31,311.00000,984.00000,172.00000,1156.00000,-256.00000,-22.00000,152.00000,200.00000,122.00000,1613.00000,-1286.00000,,9.00000,-38.00000,-29.00000,15.00000,-1300.00000,-523.00000,123.00000,-400.00000,4.00000,4.00000,-355.00000,,-751.00000,-438.00000,-355.00000
2012-12-31,417.00000,1082.00000,291.00000,1373.00000,10.00000,27.00000,-6.00000,91.00000,53.00000,1860.00000,-1212.00000,-360.00000,0.00000,-5.00000,-5.00000,-26.00000,-1603.00000,905.00000,-309.00000,596.00000,4.00000,4.00000,-346.00000,-85.00000,169.00000,426.00000,-346.00000
2011-12-31,1357.00000,916.00000,-619.00000,297.00000,40.00000,11.00000,-81.00000,58.00000,210.00000,1888.00000,-1303.00000,,0.00000,-12.00000,-12.00000,109.00000,-1206.00000,-359.00000,111.00000,-248.00000,6.00000,6.00000,-337.00000,-82.00000,-661.00000,21.00000,-337.00000
2010-12-31,442.00000,891.00000,174.00000,1065.00000,101.00000,-54.00000,-34.00000,8.00000,-119.00000,1386.00000,-1509.00000,,,-18.00000,-18.00000,107.00000,-1420.00000,-783.00000,181.00000,-602.00000,416.00000,416.00000,-319.00000,-2.00000,-507.00000,-541.00000,-319.00000
2009-12-31,372.00000,780.00000,402.00000,1182.00000,283.00000,236.00000,-237.00000,30.00000,271.00000,1841.00000,-1160.00000,,,208.00000,208.00000,56.00000,-896.00000,-498.00000,-98.00000,-596.00000,504.00000,504.00000,-276.00000,-4.00000,-372.00000,573.00000,-276.00000
