,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,459.79900,749.92300,189.09800,939.02100,-81.35100,-56.88700,-113.12000,1285.70000,-214.44300,-1176.09200,878.13800,-881.78100,-3.64300,0.52400,-1393.65400,569.88500,,569.88500,-393.36300,-393.36300,-306.76600,-5.23000,-135.47400,-246.34300,99.90900,-306.76600
2021-12-31,237.62400,817.82500,169.57600,987.40100,-38.23700,3.58100,-35.12900,1189.89600,-133.69400,-1257.70400,1730.47700,-1731.11100,-0.63390,-31.22800,-1423.26000,1173.46900,,1173.46900,-495.89000,-495.89000,-253.58000,-84.73500,339.26400,92.81800,84.40200,-253.58000
2020-12-31,24.04700,1001.88300,51.39000,1053.27300,38.19500,-2.65500,48.71300,1126.03300,-128.56600,-271.41800,1239.20600,-1288.70500,-49.49890,3.11700,-446.36600,746.23580,,746.23580,-760.20610,-760.20610,-207.68900,-247.35800,-469.01700,201.68800,68.89000,-207.68900
2019-12-31,147.28400,717.43600,109.79600,827.23190,-12.14600,13.62600,-4.47100,970.04500,-154.23600,-773.95700,-13.15600,,-13.15600,-5.80900,-947.15800,987.45800,-590.00000,397.45800,-336.69200,-336.69200,-83.38700,-39.69300,-62.31400,-37.18000,73.21400,-83.38700
2018-12-31,47.45100,692.40200,128.24500,820.64700,,-14.45900,-17.48000,850.61800,-149.81200,-451.82900,150.89000,-156.98300,-6.09300,-10.61300,-618.34700,591.68410,,591.68410,-735.70100,-735.70100,,-4.52000,-148.53700,74.00500,42.32700,
2017-12-31,103.65400,697.46300,47.02300,744.48600,,-33.22500,-29.67000,818.47000,-147.04400,-441.54700,0.23100,-0.39700,-0.16600,-16.35000,-605.10700,510.87210,,510.87210,-799.58400,-799.58400,,-5.86200,-294.57400,-81.67500,38.24900,
2016-12-31,76.23800,685.01800,9.60700,694.62500,,-17.82200,-28.33800,742.52500,-139.98200,-276.83500,0.71200,-0.10000,0.61200,-12.03000,-428.23500,248.73790,,248.73790,-545.68900,-545.68900,,8.39400,-288.55700,39.35100,32.91500,
2015-12-31,-175.65600,679.17500,255.10500,934.28000,,-42.96000,-35.59400,723.03000,-208.70700,-609.53000,89.72800,,89.72800,-8.55600,-737.06500,663.98400,,663.98400,-600.94700,-600.94700,,12.71400,75.75100,48.72300,28.74700,
2014-12-31,-24.29500,663.02800,25.49600,688.52410,,4.63600,10.11100,674.34000,-211.25100,-1585.22200,20.88900,,20.88900,11.45700,-1764.12700,1899.86500,,1899.86500,-884.98500,-884.98500,,-19.58200,995.29800,-80.51200,22.67100,
2013-12-31,-55.90900,572.71300,35.96700,608.68000,,-62.89500,-55.18400,497.58700,-168.89300,-677.37900,,,,29.07400,-817.19800,295.52310,,295.52310,-97.91200,-97.91200,,13.22600,210.83700,-110.98700,17.20500,
2012-12-31,-181.39000,427.72000,130.41600,558.13600,,-57.17300,-35.83200,340.91400,-113.26500,-2252.72400,,,,96.86900,-2269.12000,1807.22300,-5.00000,1802.22300,283.87200,283.87200,,24.38600,2110.48100,185.78300,13.96800,
2011-12-31,-126.89200,318.33400,81.34800,399.68200,,-27.60400,-23.73200,249.05800,-126.93800,-379.32000,,,,-1.63000,-507.88800,473.02200,-20.00000,453.02200,-209.27100,-209.27100,,-1.70400,242.04700,-16.93800,11.46900,
2010-12-31,-194.42100,287.82600,124.91900,412.74500,-5.91900,-4.65200,-17.18400,201.14000,-66.61800,-328.04500,,,,-30.37600,-425.03900,1181.78500,-959.36800,222.41690,-91.29300,-91.29300,,-4.30300,126.82100,-97.06300,10.50100,
2009-12-31,-141.11900,268.99300,67.92700,336.92000,-3.49700,4.67100,26.77100,222.57200,-46.13500,-180.79800,0.98000,-9.16400,-8.18400,6.04200,-229.07500,965.45900,-936.98600,28.47310,53.81600,53.81600,,6.68900,88.97800,82.46100,8.20000,
