,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1151.00000,122.00000,,122.00000,-152.00000,,-21.00000,638.00000,-82.00000,,,-5090.00000,-5090.00000,-4780.00000,-9952.00000,500.00000,3211.00000,3711.00000,-15.00000,-15.00000,-376.00000,-10403.00000,-7083.00000,-16397.00000,60.00000,-353.00000
2021-12-31,1168.00000,135.00000,-345.00000,-210.00000,13.00000,,145.00000,634.00000,-70.00000,,,-2285.00000,-2285.00000,4078.00000,1723.00000,-2800.00000,,-2800.00000,-695.00000,-695.00000,-392.00000,8442.00000,4555.00000,6912.00000,41.00000,-369.00000
2020-12-31,497.00000,123.00000,423.00000,546.00000,25.00000,,-4.00000,928.00000,-79.00000,,,-2413.00000,-2413.00000,-2110.00000,-4602.00000,-1675.00000,-71.00000,-1746.00000,-195.00000,199.00000,-383.00000,15553.00000,13623.00000,9949.00000,24.00000,-375.00000
2019-12-31,1202.00000,116.00000,100.00000,216.00000,17.00000,,-10.00000,1090.00000,-86.00000,,,-97.00000,-97.00000,-311.00000,-494.00000,700.00000,27.00000,727.00000,-1376.00000,-1376.00000,-402.00000,1712.00000,661.00000,1257.00000,39.00000,-402.00000
2018-12-31,1235.00000,123.00000,70.00000,193.00000,-45.00000,,4.00000,1616.00000,-90.00000,,,-36.00000,-36.00000,-1030.00000,-1156.00000,1850.00000,34.00000,1884.00000,-1286.00000,-1286.00000,-263.00000,-2079.00000,-1744.00000,-1284.00000,48.00000,-263.00000
2017-12-31,743.00000,127.00000,168.00000,295.00000,-33.00000,,8.00000,1085.00000,-69.00000,,,81.00000,81.00000,-132.00000,-120.00000,-516.00000,-15.00000,-531.00000,-442.00000,-442.00000,-180.00000,-1185.00000,-2338.00000,-1373.00000,39.00000,-180.00000
2016-12-31,477.00000,129.00000,229.00000,358.00000,-20.00000,,17.00000,486.00000,-95.00000,,,-59.00000,-59.00000,-100.00000,-254.00000,2150.00000,2.00000,2152.00000,-163.00000,-163.00000,-152.00000,-998.00000,839.00000,1071.00000,34.00000,-152.00000
2015-12-31,521.00000,131.00000,155.00000,286.00000,-12.00000,,-47.00000,865.00000,-119.00000,,,-2509.00000,-2509.00000,-627.00000,-3255.00000,410.00000,-93.00000,317.00000,-228.00000,-228.00000,-147.00000,2524.00000,2466.00000,76.00000,38.00000,-147.00000
2014-12-31,593.00000,136.00000,158.00000,294.00000,-4.00000,13.00000,-5.00000,639.00000,-70.00000,,,-550.00000,-550.00000,-3123.00000,-3743.00000,-810.00000,-137.00000,-947.00000,-211.00000,-211.00000,-137.00000,4019.00000,2724.00000,-380.00000,38.00000,-137.00000
2013-12-31,541.00000,145.00000,101.00000,246.00000,7.00000,6.00000,51.00000,836.00000,-102.00000,,,665.00000,665.00000,611.00000,1174.00000,-1080.00000,143.00000,-937.00000,-258.00000,-258.00000,-123.00000,1225.00000,-93.00000,1917.00000,35.00000,-123.00000
2012-12-31,521.00000,181.00000,271.00000,452.00000,5.00000,1.00000,41.00000,692.00000,-75.00000,,,-190.00000,-190.00000,-3411.00000,-3676.00000,-193.00000,40.00000,-153.00000,-305.00000,-305.00000,-97.00000,4517.00000,3962.00000,978.00000,37.00000,-97.00000
2011-12-31,393.00000,161.00000,258.00000,419.00000,-8.00000,3.00000,54.00000,796.00000,-121.00000,721.00000,33.00000,-880.00000,-847.00000,-602.00000,-849.00000,-1517.00000,-82.00000,-1599.00000,-112.00000,-112.00000,-73.00000,3310.00000,1526.00000,1473.00000,37.00000,-73.00000
2010-12-31,277.00000,150.00000,341.00000,491.00000,15.00000,-10.00000,62.00000,1286.00000,,,0.00000,37.00000,37.00000,1169.00000,1206.00000,-4992.00000,-332.00000,-5324.00000,845.00000,-1405.00000,-72.00000,775.00000,-6026.00000,-3534.00000,32.00000,-34.00000
2009-12-31,17.00000,117.00000,631.00000,748.00000,66.00000,16.00000,-229.00000,91.00000,-74.00000,7.00000,0.00000,2109.00000,2109.00000,7427.00000,9469.00000,-3880.00000,-1290.00000,-5170.00000,-1.00000,-1.00000,-185.00000,-2010.00000,-7366.00000,2194.00000,32.00000,-72.00000
