,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2023-01-31,4368.00000,1544.00000,1936.00000,3480.00000,822.00000,-2554.00000,-551.00000,-1265.00000,-2207.00000,5641.00000,-1833.00000,-49.00000,9334.00000,9334.00000,-77.00000,7375.00000,,,,-10039.00000,-10039.00000,-398.00000,-1180.00000,-11617.00000,1399.00000,2709.00000,-398.00000
2022-01-31,9752.00000,1174.00000,1545.00000,2719.00000,-2215.00000,-774.00000,568.00000,-1523.00000,-3363.00000,9108.00000,-976.00000,-263.00000,-8567.00000,-8567.00000,-24.00000,-9830.00000,4977.00000,-1000.00000,3977.00000,,,-399.00000,-1713.00000,1865.00000,1143.00000,2004.00000,-399.00000
2021-01-31,4332.00000,1098.00000,1095.00000,2193.00000,-550.00000,-524.00000,312.00000,-231.00000,-703.00000,5822.00000,-1128.00000,-8524.00000,-9989.00000,-9989.00000,-34.00000,-19675.00000,4968.00000,,4968.00000,,,-395.00000,-769.00000,3804.00000,-10049.00000,1397.00000,-395.00000
2020-01-31,2796.00000,381.00000,867.00000,1248.00000,-233.00000,597.00000,194.00000,105.00000,717.00000,4761.00000,-489.00000,-4.00000,6648.00000,6648.00000,-10.00000,6145.00000,,,,,,-390.00000,-402.00000,-792.00000,10114.00000,844.00000,-390.00000
2019-01-31,4141.00000,262.00000,197.00000,459.00000,-149.00000,-776.00000,-135.00000,-53.00000,-857.00000,3743.00000,-600.00000,,-3488.00000,-3488.00000,-9.00000,-4097.00000,,-16.00000,-16.00000,-1579.00000,-1579.00000,-371.00000,-900.00000,-2866.00000,-3220.00000,557.00000,-371.00000
2018-01-31,3047.00000,199.00000,71.00000,270.00000,-440.00000,,90.00000,21.00000,185.00000,3502.00000,-591.00000,,1869.00000,1869.00000,,1278.00000,,-812.00000,-812.00000,-909.00000,-909.00000,-341.00000,-482.00000,-2544.00000,2236.00000,391.00000,-341.00000
2017-01-31,1666.00000,187.00000,498.00000,685.00000,-321.00000,-375.00000,184.00000,-18.00000,-679.00000,1672.00000,-169.00000,,-624.00000,-624.00000,,-793.00000,1988.00000,-673.00000,1315.00000,-739.00000,-739.00000,-261.00000,-24.00000,291.00000,1170.00000,247.00000,-261.00000
2016-01-31,614.00000,226.00000,386.00000,612.00000,-32.00000,66.00000,-11.00000,-16.00000,-51.00000,1175.00000,-79.00000,,-345.00000,-345.00000,24.00000,-400.00000,,,,-587.00000,-587.00000,-213.00000,124.00000,-676.00000,99.00000,204.00000,-213.00000
2015-01-31,631.00000,248.00000,230.00000,478.00000,-49.00000,-95.00000,-27.00000,4.00000,-203.00000,906.00000,-101.00000,,-625.00000,-625.00000,-1.00000,-727.00000,,,,-660.00000,-660.00000,-186.00000,12.00000,-834.00000,-655.00000,158.00000,-186.00000
2014-01-31,440.00000,244.00000,138.00000,382.00000,29.00000,25.00000,-20.00000,12.00000,13.00000,835.00000,-230.00000,-17.00000,-554.00000,-554.00000,-5.00000,-806.00000,1309.00000,,1309.00000,-759.00000,-759.00000,-181.00000,21.00000,390.00000,419.00000,136.00000,-181.00000
2013-01-31,562.53600,226.23500,168.86400,395.09900,-118.94000,-78.94900,10.88500,36.18800,-133.46300,824.17200,-183.30900,,-561.03510,-561.03510,0.35200,-743.99200,-2.04900,,-2.04900,-35.06500,-35.06500,-46.86600,68.71000,-15.27000,64.91000,136.66200,-46.86600
2012-01-31,581.09000,204.20500,121.71200,325.91700,26.23600,18.88400,35.70800,-85.49700,2.14900,909.15600,-138.73500,-348.88400,-654.15490,-654.15490,-1.59000,-1143.36400,-1.60800,,-1.60800,195.85700,195.85700,,42.47400,236.72300,2.51500,136.35400,
2011-01-31,253.14600,186.98900,83.96300,270.95200,26.34100,-14.12800,-69.78600,12.85900,151.69900,675.79700,-97.89000,,-549.62500,-549.62500,-2.16300,-649.67800,-0.57100,,-0.57100,177.27600,177.27600,,15.31600,192.02100,218.14000,100.35300,
2010-01-31,-67.98700,196.66400,222.71500,419.37900,-56.74100,204.65600,119.36600,5.43700,136.41500,487.80700,-77.60100,,-441.51400,-441.51400,-0.21800,-519.33300,-0.92900,,-0.92900,59.95400,59.95400,,2.03400,61.05900,29.53300,242.82600,
2009-01-31,-30.04100,185.02300,127.71100,312.73400,348.87300,-177.29500,-283.20700,19.42000,-33.33300,249.36000,-407.67000,-27.94800,226.69300,226.69300,-0.44200,-209.36700,,,,-350.08900,-350.08900,,0.81500,-349.27400,-309.28100,162.70600,
