,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2358.00000,282.00000,-84.00000,198.00000,-473.00000,-193.00000,2363.00000,-331.00000,,,,,34.00000,-297.00000,179.00000,-182.00000,-3.00000,-2566.00000,-2566.00000,-321.00000,-72.00000,-2962.00000,-896.00000,192.00000,-321.00000
2021-12-31,1099.00000,295.00000,98.00000,393.00000,-34.00000,-315.00000,1177.00000,-171.00000,,,,,-16.00000,-187.00000,-381.00000,150.00000,-231.00000,2.00000,2.00000,,-234.00000,-463.00000,527.00000,182.00000,0.00000
2020-12-31,-267.00000,478.00000,794.00000,1272.00000,1112.00000,634.00000,1639.00000,125.00000,,,,,-90.00000,35.00000,1674.00000,-2290.00000,-616.00000,-150.00000,-150.00000,-156.00000,-111.00000,-1033.00000,641.00000,201.00000,-156.00000
2019-12-31,1273.00000,403.00000,188.00000,591.00000,21.00000,-179.00000,1685.00000,-258.00000,,,,,-26.00000,-284.00000,562.00000,951.00000,1513.00000,-2253.00000,-2253.00000,-612.00000,-156.00000,-1508.00000,-107.00000,187.00000,-612.00000
2018-12-31,1907.00000,284.00000,374.00000,658.00000,31.00000,-208.00000,2357.00000,-77.00000,,,,,25.00000,-52.00000,1249.00000,-129.00000,1120.00000,-2846.00000,-2846.00000,-543.00000,-105.00000,-2374.00000,-69.00000,184.00000,-543.00000
2017-12-31,1459.00000,279.00000,-517.00000,-238.00000,-30.00000,857.00000,2227.00000,1178.00000,,,,,33.00000,1211.00000,-310.00000,60.00000,-250.00000,-3007.00000,-3007.00000,-482.00000,-157.00000,-3896.00000,-458.00000,181.00000,-482.00000
2016-12-31,808.00000,159.00000,567.00000,726.00000,-106.00000,-3.00000,1619.00000,12.00000,,-2392.00000,,,34.00000,-2346.00000,1156.00000,1373.00000,2529.00000,-534.00000,-534.00000,-374.00000,-124.00000,1497.00000,770.00000,212.00000,-374.00000
2015-12-31,859.00000,139.00000,321.00000,460.00000,-41.00000,102.00000,1515.00000,368.00000,-121.00000,-137.00000,121.00000,121.00000,136.00000,367.00000,465.00000,-140.00000,325.00000,-1877.00000,-1877.00000,-253.00000,-85.00000,-1890.00000,-8.00000,113.00000,-253.00000
2014-12-31,753.00000,148.00000,284.00000,432.00000,-120.00000,-49.00000,1224.00000,24.00000,-65.00000,-184.00000,,,-88.00000,-313.00000,387.00000,235.00000,622.00000,-1332.00000,-1332.00000,-223.00000,,-933.00000,-22.00000,109.00000,-223.00000
2013-12-31,626.00000,127.00000,215.00000,342.00000,50.00000,123.00000,1140.00000,-296.00000,-61.00000,-112.00000,-81.00000,-81.00000,31.00000,-519.00000,-62.00000,311.00000,249.00000,-635.00000,-635.00000,-196.00000,-1.00000,-583.00000,38.00000,116.00000,-196.00000
2012-12-31,571.00000,102.00000,154.00000,256.00000,-137.00000,87.00000,989.00000,-372.00000,-61.00000,-210.00000,-15.00000,-15.00000,73.00000,-585.00000,566.00000,184.00000,750.00000,-966.00000,-966.00000,-191.00000,-11.00000,-418.00000,-14.00000,94.00000,-191.00000
2011-12-31,198.00000,144.00000,572.00000,716.00000,62.00000,175.00000,1089.00000,-163.00000,-74.00000,,-83.00000,-83.00000,73.00000,-247.00000,-146.00000,325.00000,179.00000,-1301.00000,-1301.00000,-134.00000,11.00000,-1245.00000,-403.00000,,-134.00000
2010-12-31,458.00000,178.00000,422.00000,600.00000,120.00000,93.00000,1151.00000,-193.00000,-56.00000,,-29.00000,-29.00000,14.00000,-264.00000,-170.00000,-425.00000,-595.00000,141.00000,141.00000,-43.00000,,-497.00000,390.00000,,-43.00000
2009-12-31,-353.00000,185.00000,1097.00000,1282.00000,106.00000,-61.00000,868.00000,-145.00000,-39.00000,,-12.00000,-12.00000,127.00000,-69.00000,-238.00000,-544.00000,-782.00000,27.00000,27.00000,-63.00000,,-818.00000,-19.00000,,-63.00000
