,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,14526.00000,3909.00000,2141.00000,6050.00000,-644.00000,-161.00000,-289.00000,-2018.00000,-2782.00000,19095.00000,-4388.00000,,-121.00000,-483.00000,-483.00000,32.00000,-4960.00000,-2251.00000,,-2251.00000,384.00000,384.00000,-7012.00000,-240.00000,-9119.00000,4606.00000,541.00000,-7012.00000
2021-12-31,12358.00000,3214.00000,584.00000,3798.00000,-2033.00000,-674.00000,405.00000,-1274.00000,-3839.00000,13122.00000,-4448.00000,,-12907.00000,1025.00000,1025.00000,-91.00000,-16421.00000,5617.00000,-3986.00000,1631.00000,-638.00000,-638.00000,-6610.00000,8714.00000,3097.00000,14.00000,479.00000,-6610.00000
2020-12-31,4523.00000,3486.00000,2915.00000,6401.00000,-1002.00000,-895.00000,684.00000,-3050.00000,-4601.00000,7617.00000,-4429.00000,,-6606.00000,2717.00000,2717.00000,-875.00000,-9193.00000,2462.00000,2549.00000,5011.00000,-1192.00000,-1192.00000,-6215.00000,-436.00000,-2832.00000,-1769.00000,441.00000,-6215.00000
2019-12-31,5606.00000,3310.00000,1691.00000,5001.00000,92.00000,-473.00000,443.00000,-663.00000,-2077.00000,8884.00000,-3369.00000,,-4954.00000,5420.00000,5420.00000,374.00000,-2529.00000,4958.00000,-3710.00000,1248.00000,-4419.00000,-4419.00000,-5695.00000,5.00000,-8861.00000,1967.00000,388.00000,-5695.00000
2018-12-31,6193.00000,4519.00000,785.00000,5304.00000,-418.00000,-911.00000,230.00000,-940.00000,-1553.00000,10922.00000,-2615.00000,,-431.00000,7258.00000,7258.00000,102.00000,4314.00000,-4287.00000,5124.00000,837.00000,-8500.00000,-8500.00000,-5172.00000,-325.00000,-13160.00000,1871.00000,348.00000,-5172.00000
2017-12-31,2418.00000,4676.00000,4184.00000,8860.00000,297.00000,-145.00000,254.00000,-1210.00000,-5017.00000,6451.00000,-1888.00000,,-396.00000,4925.00000,4925.00000,38.00000,2679.00000,-1103.00000,-26.00000,-1129.00000,-3515.00000,-3515.00000,-5167.00000,-195.00000,-10006.00000,-419.00000,312.00000,-5167.00000
2016-12-31,3941.00000,5471.00000,3352.00000,8823.00000,-619.00000,206.00000,278.00000,-572.00000,-2601.00000,10376.00000,-1614.00000,,-780.00000,-1298.00000,-1298.00000,482.00000,-3210.00000,-1307.00000,,-1307.00000,-2495.00000,-2495.00000,-5124.00000,-118.00000,-9044.00000,-2009.00000,300.00000,-5124.00000
2015-12-31,4459.00000,6375.00000,1098.00000,7473.00000,-480.00000,805.00000,-37.00000,-282.00000,-268.00000,12538.00000,-1283.00000,,-7428.00000,3732.00000,3732.00000,221.00000,-4758.00000,5032.00000,-1540.00000,3492.00000,-3701.00000,-3701.00000,-5117.00000,-61.00000,-5387.00000,1083.00000,299.00000,-5117.00000
2014-12-31,11934.00000,6691.00000,-12494.00000,-5803.00000,-554.00000,79.00000,593.00000,92.00000,1824.00000,7989.00000,-1317.00000,-1000.00000,11239.00000,-9830.00000,-9830.00000,534.00000,-374.00000,-3471.00000,-460.00000,-3931.00000,-6143.00000,-6143.00000,-5247.00000,79.00000,-15242.00000,-8180.00000,278.00000,-5247.00000
2013-12-31,4517.00000,6988.00000,684.00000,7672.00000,436.00000,-365.00000,522.00000,431.00000,-794.00000,11654.00000,-1548.00000,0.00000,-200.00000,-1693.00000,-1693.00000,293.00000,-3148.00000,4692.00000,-159.00000,4533.00000,-5306.00000,-5306.00000,-5277.00000,60.00000,-5990.00000,2170.00000,276.00000,-5277.00000
2012-12-31,6299.00000,6978.00000,853.00000,7831.00000,349.00000,-482.00000,-302.00000,-2950.00000,-4136.00000,10022.00000,-1954.00000,,,-5058.00000,-5058.00000,207.00000,-6805.00000,2540.00000,624.00000,3164.00000,-1281.00000,-1281.00000,-5236.00000,86.00000,-3267.00000,-80.00000,335.00000,-5236.00000
2011-12-31,6392.00000,7427.00000,-993.00000,6434.00000,-1168.00000,-678.00000,182.00000,-269.00000,-766.00000,12383.00000,-1723.00000,,-50.00000,-1176.00000,-1176.00000,59.00000,-2890.00000,-1547.00000,1076.00000,-471.00000,-1600.00000,-1600.00000,-4811.00000,-22.00000,-6904.00000,2631.00000,369.00000,-4811.00000
2010-12-31,982.00000,7381.00000,1152.00000,8533.00000,-1089.00000,1990.00000,124.00000,-258.00000,930.00000,10822.00000,-1678.00000,,-256.00000,-2636.00000,-2636.00000,1073.00000,-3497.00000,658.00000,90.00000,748.00000,-1230.00000,-1230.00000,-4853.00000,-106.00000,-5441.00000,1589.00000,509.00000,-4853.00000
2009-12-31,13022.00000,2576.00000,-8968.00000,-6392.00000,165.00000,1211.00000,-45.00000,334.00000,-2703.00000,3392.00000,-1461.00000,,-12973.00000,7871.00000,7871.00000,9719.00000,3156.00000,4203.00000,-2422.00000,1781.00000,186.00000,186.00000,-3479.00000,-126.00000,-1638.00000,4943.00000,415.00000,-3479.00000
