,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-03-31,600.10000,229.70000,55.70000,285.40000,32.40000,-269.30000,-65.00000,-169.60000,715.90000,-166.90000,,-546.00000,-546.00000,-5.00000,-717.90000,-23.10000,,-23.10000,-492.60000,-492.60000,-150.00000,,-665.70000,-716.00000,81.70000,-150.00000
2021-03-31,-121.10000,247.60000,178.50000,426.10000,-143.00000,3.70000,-40.60000,75.90000,380.90000,-107.80000,,302.60000,302.60000,0.20000,195.00000,928.00000,-475.00000,453.00000,-37.70000,-37.70000,-49.80000,-8.70000,356.80000,958.20000,72.70000,-49.80000
2020-03-31,384.30000,269.50000,26.90000,296.40000,57.60000,72.30000,50.80000,73.90000,754.60000,-249.50000,,950.70010,950.70010,0.90000,702.10000,-13.60000,475.00000,461.40000,-694.80000,-694.80000,-203.90000,-0.90000,-438.20000,1003.30000,100.60000,-203.90000
2019-03-31,430.90000,281.30000,141.40000,422.70000,10.10000,-83.60000,-21.30000,-69.80000,783.80000,-177.70000,,-673.30000,-673.30000,-28.30000,-879.30000,78.50000,-9.90000,68.60000,-480.80000,-480.80000,-190.70000,-2.80000,-605.70000,-729.00000,88.60000,-190.70000
2018-03-31,162.80000,295.20000,220.50000,515.70000,34.50000,65.40000,-33.00000,296.60000,975.10000,-161.60000,-4.60000,-22.90000,-22.90000,,-189.10000,-28.20000,10.10000,-18.10000,-17.00000,-17.00000,-162.40000,,-197.50000,643.70000,74.50000,-162.40000
2017-03-31,-99.30000,307.50000,510.80000,818.30000,54.10000,120.40000,-19.80000,233.60000,952.60000,-284.00000,-6.10000,82.00000,82.00000,,-208.10000,-27.30000,-116.10010,-143.40010,-210.20000,-210.20000,-164.80000,,-518.40000,209.70000,63.60000,-164.80000
2016-03-31,396.40000,309.40000,188.90000,498.30000,129.40000,-90.90000,8.00000,122.00000,1016.70000,-417.70000,-16.30000,-142.30000,-142.30000,,-576.30000,275.10000,-118.70020,156.39980,-467.20000,-467.20000,-170.30000,-1.90000,-483.00000,-35.40000,97.00000,-170.30000
2015-03-31,702.20000,294.40000,77.10000,371.50000,-95.60000,-97.50000,-15.40000,-180.40000,893.30000,-391.20000,-11.70000,-284.90000,-284.90000,-0.90000,-688.70000,-23.90000,233.89990,209.99990,-479.10000,-479.10000,-158.20000,6.70000,-420.60000,-297.70000,80.50000,-158.20000
2014-03-31,776.00000,258.00000,60.00000,318.00000,-104.00000,-77.00000,-108.00000,-187.00000,907.00000,-390.00000,-40.00000,-56.00000,-56.00000,-2.00000,-488.00000,22.00000,,22.00000,-506.00000,-506.00000,-149.00000,34.00000,-599.00000,-177.00000,93.00000,-149.00000
2013-03-31,750.00000,233.00000,93.00000,326.00000,82.00000,-68.00000,-1.00000,-57.00000,1019.00000,-276.00000,-22.00000,182.00000,182.00000,3.00000,-113.00000,-9.00000,,-9.00000,-498.00000,-498.00000,-128.00000,40.00000,-595.00000,302.00000,88.00000,-128.00000
2012-03-31,681.00000,225.00000,37.00000,262.00000,-114.00000,-148.00000,49.00000,-58.00000,885.00000,-272.00000,-12.00000,34.00000,34.00000,1.00000,-249.00000,-8.00000,,-8.00000,-358.00000,-358.00000,-74.00000,32.00000,-408.00000,219.00000,78.00000,-74.00000
2011-03-31,567.60000,194.10000,79.50000,273.60000,-50.70000,-173.50000,31.20000,-152.50000,688.70000,-255.00000,-70.90000,-2.00000,-2.00000,28.50000,-299.40000,-7.90000,,-7.90000,-506.30000,-506.30000,-38.50000,40.10000,-512.60000,-110.10000,70.40000,-38.50000
2010-03-31,479.50000,181.20000,49.80000,231.00000,92.20000,29.10000,8.20000,196.00000,906.50000,-201.30000,-30.80000,-278.50000,-278.50000,6.20000,-504.40000,-127.70000,,-127.70000,-180.50000,-180.50000,-24.70000,26.50000,-306.40000,81.90000,59.70000,-24.70000
2009-03-31,406.00000,184.40000,86.30000,270.70000,1.10000,-10.50000,39.60000,97.50000,774.20000,-185.00000,-46.30000,-253.60000,-253.60000,26.90000,-458.00000,-203.50000,,-203.50000,-140.80000,-140.80000,-19.90000,12.10000,-352.10000,-70.30000,49.70000,-19.90000
