,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,463.00000,208.00000,-210.00000,-2.00000,-5.00000,-341.00000,92.00000,237.00000,40.00000,488.00000,-75.00000,,-881.00000,-12.00000,-12.00000,-968.00000,1037.00000,1037.00000,-751.00000,-751.00000,-33.00000,253.00000,-227.00000,88.00000
2021-12-31,837.00000,189.00000,-24.00000,165.00000,-239.00000,18.00000,96.00000,90.00000,76.00000,1069.00000,-59.00000,,-452.00000,-35.00000,-35.00000,-546.00000,-257.00000,-257.00000,-57.00000,-57.00000,-57.00000,-371.00000,152.00000,76.00000
2020-12-31,504.00000,149.00000,45.00000,194.00000,130.00000,-42.00000,47.00000,114.00000,260.00000,962.00000,-67.00000,,-548.00000,-26.00000,-26.00000,-641.00000,-40.00000,-40.00000,-200.00000,-200.00000,83.00000,-157.00000,162.00000,51.00000
2019-12-31,544.00000,181.00000,23.00000,204.00000,-96.00000,51.00000,-5.00000,51.00000,-48.00000,685.00000,-61.00000,,-262.00000,-12.00000,-12.00000,-335.00000,-312.00000,-312.00000,-47.00000,-47.00000,-6.00000,-365.00000,-14.00000,48.00000
2018-12-31,421.00000,190.00000,34.00000,224.00000,-31.00000,-43.00000,122.00000,39.00000,146.00000,785.00000,-64.00000,,-72.00000,-1.00000,-1.00000,-137.00000,-657.00000,-657.00000,,,-4.00000,-661.00000,-18.00000,45.00000
2017-12-31,17.00000,301.00000,94.00000,395.00000,161.00000,-110.00000,-49.00000,33.00000,74.00000,478.00000,-50.00000,,,-1.00000,-1.00000,-51.00000,-454.00000,-454.00000,,,-63.00000,-517.00000,-94.00000,35.00000
2016-12-31,-137.00000,389.00000,-7.00000,382.00000,34.00000,34.00000,122.00000,14.00000,137.00000,380.00000,-77.00000,,39.00000,-1.00000,-1.00000,-39.00000,-382.00000,-382.00000,11.00000,11.00000,-13.00000,-384.00000,-36.00000,27.00000
2015-12-31,-158.00000,336.00000,-101.00000,235.00000,2.00000,-13.00000,-21.00000,9.00000,19.00000,122.00000,-122.00000,,-52.00000,26.00000,26.00000,-148.00000,-165.00000,-165.00000,17.00000,17.00000,-13.00000,-161.00000,-202.00000,31.00000
2014-12-31,32.00000,83.00000,-21.00000,62.00000,-70.00000,-2.00000,62.00000,-3.00000,146.00000,248.00000,-39.00000,,-3399.00000,327.00000,327.00000,-3111.00000,3189.00000,3189.00000,26.00000,26.00000,-23.00000,3192.00000,331.00000,20.00000
2013-12-31,134.00000,32.00000,17.00000,49.00000,-7.00000,3.00000,7.00000,2.00000,11.00000,194.00000,-20.00000,-2.00000,-95.00000,-36.00000,-36.00000,-153.00000,,,-40.00000,-40.00000,-4.00000,-44.00000,-2.00000,13.00000
2012-12-31,122.90400,35.29100,20.59700,55.88800,-8.64700,11.53000,-14.60500,11.65500,12.07500,183.33100,-22.44300,-3.50000,-32.29600,-47.29600,-47.29600,-105.53500,,,-51.01200,-51.01200,1.57800,-49.43400,28.32200,14.72700
2011-12-31,174.64300,24.00000,-44.74300,-20.74300,-3.26900,-19.54500,-5.43900,-26.85200,-81.17400,78.30800,-26.91800,-1.23200,161.20600,-79.83600,-79.83600,53.22000,,,-147.19100,-147.19100,1.39200,-145.79900,-11.13500,14.09500
2010-12-31,101.77800,31.20900,10.22200,41.43100,-4.60300,-33.88400,6.61900,0.79900,1.29700,141.83700,-30.72100,-3.49700,,-5.39800,-5.39800,-39.61600,,,-93.11600,-93.11600,0.24400,-92.87200,10.30400,11.87100
2009-12-31,47.10400,32.91300,24.73300,57.64600,8.74700,22.31500,-16.10500,4.23300,0.86700,105.69800,-24.89000,-0.42500,,-15.33600,-15.33600,-40.65100,,,-60.47300,-60.47300,0.01300,-60.46000,7.42200,11.46700
