,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,25.78300,1291.23500,19.72400,1310.95900,-84.38100,-409.60100,-79.47000,-667.58900,669.15300,-580.74200,-209.60200,165.00000,,165.00000,,-625.34400,528.16800,-0.25100,527.91700,-307.57200,-307.57200,-25.99800,194.34800,240.72800,22.40900
2021-12-31,1033.54800,591.71100,36.96700,628.67800,-207.04700,-519.22900,12.37800,-353.10700,1309.11900,-676.12000,-123.96900,243.33500,,243.33500,,-556.75400,-317.59400,-2.64100,-320.23500,-900.33400,-900.33400,-11.65600,-1232.22500,-499.73000,25.65100
2020-12-31,515.72700,607.50700,152.01200,759.51900,-54.97700,357.51600,-63.41200,494.59300,1769.83900,-425.55700,,-529.24100,,-529.24100,,-954.79800,24.44680,-4.25600,20.19080,-188.62500,-188.62500,-19.75100,-188.18500,633.84000,19.69700
2019-12-31,744.57100,636.35800,7.72700,644.08500,81.95300,7.21200,-6.99500,30.10500,1418.76100,-545.46200,-81.08200,10.50000,,10.50000,,-616.04400,-669.03420,-4.66400,-673.69820,-100.08000,-100.08000,-16.09900,-789.87700,15.73500,23.62000
2018-12-31,864.85500,521.76500,178.62400,700.38900,13.85600,-255.39100,-72.51800,-383.90000,1181.34400,-794.11000,-568.96000,30.86700,,30.86700,,-1332.20300,512.17970,5.75300,517.93270,-274.14400,-274.14400,-45.75900,198.02900,34.16600,31.38200
2017-12-31,974.69200,446.67200,2.11900,448.79100,-60.56600,-153.24500,-41.44200,-229.88800,1193.59500,-905.99800,-250.79900,-83.90400,,-83.90400,,-1240.70100,-347.62700,354.16700,6.54000,,,-13.53500,-6.99500,-36.78100,36.32200
2016-12-31,933.56600,457.37200,43.44500,500.81700,-158.88800,-81.92300,66.14500,-89.09400,1345.28900,-672.12500,,0.00000,,,,-672.12500,-630.08980,-1.75400,-631.84390,,,-9.79200,-641.63600,39.97300,35.05900
2015-12-31,616.98600,362.64700,39.76100,402.40800,-14.38300,6.40000,-88.73200,-90.24200,929.15200,-503.65700,-1370.56700,,,,,-1874.22400,955.60160,-2.05200,953.54960,,,-6.74600,946.80400,-16.18500,32.55200
2014-12-31,532.25400,345.57000,54.54000,400.11000,-107.70500,-67.01600,-46.25100,-270.17600,662.18800,-561.80400,0.01900,,,,-3.86700,-565.65200,-16.45020,-1.92000,-18.37020,,,-7.18000,-25.55000,43.81100,27.96100
2013-12-31,349.29100,308.87100,39.01400,347.88500,-96.31300,-20.21100,-31.56800,-172.01300,525.16300,-366.55000,-443.46600,,,,,-810.01600,-138.41210,-7.46800,-145.88010,46.77600,46.77600,-7.66900,-106.77300,-423.60600,18.31100
2012-12-31,250.89300,280.29300,46.46500,326.75800,10.88800,-17.07900,-23.05100,9.93900,587.59000,-208.29400,,,-7.00700,-7.00700,,-215.30100,-203.65410,7.89000,-195.76410,16.15300,16.15300,-37.22000,-216.83100,165.72700,14.08200
2011-12-31,178.22500,297.73400,28.59500,326.32900,-85.39100,-100.20500,-7.21500,-202.30400,300.99300,-275.57300,-24.09700,,,,,-299.67000,-365.67200,315.59000,-50.08200,3.78700,3.78700,13.17100,-33.12400,-42.27200,10.15900
2010-12-31,189.93500,296.77300,0.48900,297.26200,-12.27300,-118.90300,-18.10200,-167.48500,319.71200,-156.18000,,,-79.91700,-79.91700,4.61500,-231.48200,-200.80400,-17.90000,-218.70400,2.44500,2.44500,-38.94000,-255.19900,-177.24100,6.88800
2009-12-31,-1.01900,303.00400,48.30900,351.31300,102.79900,276.16900,3.94800,321.91100,672.20500,-108.92500,-5.92400,,,,,-114.84900,-40.46300,-57.80700,-98.27000,0.88400,0.88400,-28.45800,-125.84400,437.93900,9.65300
