,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,523.71000,137.28400,43.63400,180.91800,-114.98600,44.83200,-78.30500,631.00300,-24.37000,-386.26400,,,-0.73400,-411.36800,,,-179.97600,-179.97600,-65.53200,-245.50800,-53.27600,168.12800
2021-12-31,454.62700,129.06000,117.71500,246.77500,-149.01700,-41.02800,-154.62800,549.48200,-23.01800,-510.80500,,,-2.99000,-536.81300,-45.00000,-45.00000,-103.30200,-103.30200,-97.55000,-245.85200,-245.00500,166.33800
2020-12-31,433.88700,106.24600,121.12100,227.36700,-160.31900,3.12000,-116.12400,547.31000,-35.37000,-572.32800,,,-6.55500,-614.25300,300.00000,300.00000,-131.46900,-131.46900,-71.93400,96.59700,40.57800,145.61500
2019-12-31,451.29500,78.97500,104.60700,183.58200,-154.40300,-22.43400,-137.71900,499.93600,-44.94000,-787.19600,,,-1.41200,-833.54800,500.00000,500.00000,-25.02300,-25.02300,-45.56800,429.40900,94.95500,116.19000
2018-12-31,419.37500,59.25500,51.24800,110.50300,-74.45500,8.14900,-45.30000,484.98800,-21.76200,-283.02600,,,-7.44300,-312.23100,,,-228.78200,-228.78200,-33.89300,-262.67500,-104.36200,83.34600
2017-12-31,259.25100,67.67800,51.93500,119.61300,-14.40600,34.92100,48.77500,427.66000,-19.14900,-63.88500,,,-11.63100,-94.66500,,,-283.53900,-283.53900,-11.11200,-294.65100,59.02200,53.15400
2016-12-31,265.63600,69.58700,24.43500,94.02200,-17.38800,-3.55100,5.03200,365.98000,-12.44300,-7.89100,,,-11.83900,-32.17300,,,-282.52400,-282.52400,-6.10600,-288.63000,38.31100,33.34700
2015-12-31,252.52100,77.67000,20.05900,97.72900,6.04400,19.21500,24.03600,375.69900,-16.14500,-46.11700,,,0.23000,-62.03200,,,-294.28700,-294.28700,-5.64000,-299.92700,-3.89600,33.95100
2014-12-31,254.69000,81.92400,5.57500,87.49900,-5.55400,27.49400,42.25000,385.30700,-26.02300,-103.01600,,,-0.23100,-129.27000,,,-190.47000,-190.47000,4.82800,-185.64200,45.57800,36.86100
2013-12-31,245.32700,80.70100,2.76700,83.46800,-2.98300,-20.51500,4.11500,332.98300,-28.84800,-4.22400,,,-0.10500,-33.17700,-53.14900,-53.14900,-79.13800,-79.13800,2.52800,-129.75900,165.78300,35.29800
2012-12-31,203.48300,85.42200,0.56900,85.99100,-12.40100,-2.89100,8.87200,298.41500,-23.97700,-45.07500,0.09600,0.09600,,-68.95600,-74.42200,-74.42200,-61.07100,-61.07100,10.64700,-124.84600,104.87500,32.41500
2011-12-31,180.67500,65.95500,10.42500,76.38000,-8.08600,30.62200,50.42600,307.66100,-22.06300,-269.48600,-0.09400,-0.09400,,-291.64300,-31.97600,-31.97600,12.25400,12.25400,10.04600,-9.67600,-0.65100,23.08800
2010-12-31,153.13200,60.82600,-17.61800,43.20800,-11.14900,-45.47600,-29.47500,166.88400,-14.26000,,7.61200,7.61200,,-6.64800,-65.91300,-65.91300,24.52100,24.52100,11.75300,-29.63900,136.60100,19.01900
2009-12-31,116.39100,64.18600,-26.38400,37.80200,-6.43400,12.90900,19.38800,173.68900,-8.32300,,-2.40800,-2.40800,,-10.73100,-54.23000,-54.23000,-23.02800,-23.02800,13.16800,-64.09000,107.70200,13.21200
