,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,5764.00000,226.00000,2637.00000,2863.00000,-21.00000,14.00000,92.00000,-586.00000,8256.00000,-205.00000,1000.00000,,,,-13.00000,782.00000,-1105.00000,,-1105.00000,-1825.00000,-1825.00000,-6599.00000,-12.00000,-9541.00000,-503.00000,-6599.00000
2021-12-31,2475.00000,244.00000,5534.00000,5778.00000,-18.00000,57.00000,163.00000,3.00000,8405.00000,-169.00000,,1176.00000,,,205.00000,1212.00000,-1070.00000,,-1070.00000,-1675.00000,-1675.00000,-6446.00000,-838.00000,-10029.00000,-412.00000,-6446.00000
2020-12-31,4454.00000,257.00000,2713.00000,2970.00000,20.00000,2.00000,53.00000,249.00000,8385.00000,-231.00000,,,,,88.00000,-143.00000,993.00000,,993.00000,,,-6290.00000,-99.00000,-5396.00000,2846.00000,-6290.00000
2019-12-31,-1298.00000,226.00000,8510.00000,8736.00000,-8.00000,42.00000,-79.00000,-53.00000,7837.00000,-246.00000,,-421.00000,-1899.00000,-1899.00000,168.00000,-2398.00000,15121.00000,-12800.00000,2321.00000,-845.00000,-845.00000,-6069.00000,-119.00000,-4712.00000,727.00000,-6069.00000
2018-12-31,6967.00000,227.00000,43.00000,270.00000,,-129.00000,27.00000,1075.00000,8391.00000,-238.00000,,-15.00000,-12800.00000,-12800.00000,65.00000,-12988.00000,-864.00000,12800.00000,11936.00000,-1673.00000,-1673.00000,-5415.00000,-132.00000,4716.00000,119.00000,-5415.00000
2017-12-31,10227.00000,209.00000,-3640.00000,-3431.00000,10.00000,-171.00000,-55.00000,-1854.00000,4901.00000,-199.00000,,-415.00000,,,147.00000,-467.00000,,,,-2917.00000,-2917.00000,-4807.00000,-47.00000,-7771.00000,-3337.00000,-4807.00000
2016-12-31,14244.00000,204.00000,-10477.00000,-10273.00000,-27.00000,-34.00000,24.00000,-270.00000,3826.00000,-189.00000,,3150.00000,741.00000,741.00000,6.00000,3708.00000,1043.00000,,1043.00000,-1030.00000,-1030.00000,-4512.00000,-830.00000,-5329.00000,2205.00000,-4512.00000
2015-12-31,5243.00000,225.00000,-84.00000,141.00000,3.00000,-33.00000,26.00000,258.00000,5843.00000,-229.00000,,,222.00000,222.00000,-8.00000,-15.00000,-1793.00000,,-1793.00000,-554.00000,-554.00000,-4179.00000,-254.00000,-6780.00000,-952.00000,-4179.00000
2014-12-31,5070.00000,208.00000,-638.00000,-430.00000,-8.00000,-184.00000,-5.00000,-194.00000,4663.00000,-163.00000,,-102.00000,369.00000,369.00000,73.00000,177.00000,174.00000,,174.00000,-939.00000,-939.00000,-3892.00000,-37.00000,-4694.00000,146.00000,-3892.00000
2013-12-31,4535.00000,212.00000,230.00000,442.00000,78.00000,-133.00000,-76.00000,-558.00000,4375.00000,-131.00000,,,716.00000,716.00000,17.00000,602.00000,620.00000,,620.00000,-634.00000,-634.00000,-3612.00000,-1076.00000,-4702.00000,275.00000,-3612.00000
2012-12-31,4183.00000,225.00000,-1698.00000,-1473.00000,202.00000,33.00000,-13.00000,1194.00000,3885.00000,-124.00000,,,1049.00000,1049.00000,-5.00000,920.00000,187.00000,,187.00000,-1082.00000,-1082.00000,-3400.00000,-880.00000,-5175.00000,-370.00000,-3400.00000
2011-12-31,3393.00000,253.00000,-635.00000,-382.00000,-19.00000,24.00000,-92.00000,59.00000,3581.00000,-105.00000,,,,,492.00000,387.00000,1494.00000,,1494.00000,-1298.00000,-1298.00000,-3222.00000,14.00000,-3012.00000,956.00000,-3222.00000
2010-12-31,3907.00000,276.00000,-1184.00000,-908.00000,15.00000,7.00000,48.00000,-304.00000,2767.00000,-168.00000,,,,,427.00000,259.00000,232.00000,,232.00000,104.00000,104.00000,-2958.00000,39.00000,-2583.00000,443.00000,-2958.00000
2009-12-31,3208.00000,291.00000,-154.00000,137.00000,-7.00000,51.00000,-25.00000,21.00000,3443.00000,-273.00000,,-10244.00000,-9.00000,-9.00000,762.00000,-9764.00000,3346.00000,-205.00000,3141.00000,89.00000,89.00000,-2693.00000,-261.00000,276.00000,-6045.00000,-2693.00000
