,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1061.00000,1740.00000,-660.00000,1080.00000,-210.00000,-310.00000,-69.00000,90.00000,2158.00000,-220.00000,,5.00000,-47.00000,,-47.00000,12.00000,-250.00000,-10.00000,-10.00000,-1026.00000,-1026.00000,-864.00000,-51.00000,-1951.00000,-61.00000,325.00000,-864.00000
2021-12-31,1842.00000,1211.00000,-361.00000,850.00000,217.00000,-68.00000,-643.00000,126.00000,2687.00000,-325.00000,,1729.00000,-14.00000,,-14.00000,4.00000,1394.00000,-7.00000,-7.00000,-3578.00000,-3578.00000,-817.00000,-11.00000,-4413.00000,-335.00000,348.00000,-817.00000
2020-12-31,1086.00000,1799.00000,-197.00000,1602.00000,-250.00000,60.00000,39.00000,83.00000,2790.00000,-277.00000,,1040.00000,-12.00000,,-12.00000,,751.00000,-143.00000,-143.00000,-2234.00000,-2234.00000,-725.00000,-10.00000,-3112.00000,452.00000,310.00000,-725.00000
2019-06-30,949.00000,258.00000,34.00000,292.00000,-9.00000,-1.00000,25.00000,-92.00000,1185.00000,-161.00000,,,,,,2.00000,-159.00000,-281.00000,-281.00000,-150.00000,-150.00000,-325.00000,-25.00000,-781.00000,242.00000,141.00000,-325.00000
2018-06-30,699.00000,259.00000,-19.00000,240.00000,-101.00000,-19.00000,51.00000,-186.00000,751.00000,-136.00000,,,,,,-5.00000,-141.00000,-271.00000,-271.00000,-238.00000,-238.00000,-272.00000,-24.00000,-805.00000,-196.00000,82.00000,-272.00000
2017-06-30,543.00000,311.00000,-390.00000,-79.00000,24.00000,-32.00000,-16.00000,105.00000,569.00000,-119.00000,,1014.00000,,,,-25.00000,870.00000,-499.00000,-499.00000,-656.00000,-656.00000,-262.00000,-21.00000,-1438.00000,-3.00000,42.00000,-262.00000
2016-06-30,324.00000,361.00000,-129.00000,232.00000,192.00000,-28.00000,15.00000,368.00000,924.00000,-152.00000,,181.00000,,-19.00000,-19.00000,-11.00000,-1.00000,-669.00000,-669.00000,44.00000,44.00000,-252.00000,-16.00000,-893.00000,6.00000,39.00000,-252.00000
2015-06-30,334.00000,244.00000,190.00000,434.00000,-17.00000,20.00000,17.00000,86.00000,854.00000,-148.00000,,-3136.00000,,,,,-3284.00000,2729.00000,2729.00000,-103.00000,-103.00000,-198.00000,-55.00000,2373.00000,-80.00000,37.00000,-198.00000
2014-06-30,534.00000,204.00000,35.00000,239.00000,116.00000,50.00000,-89.00000,76.00000,849.00000,-201.00000,-3.00000,42.00000,,,,,-162.00000,-100.00000,-100.00000,-159.00000,-159.00000,-180.00000,-9.00000,-448.00000,240.00000,35.00000,-180.00000
2013-06-30,109.00000,221.00000,436.00000,657.00000,78.00000,-54.00000,92.00000,67.00000,833.00000,-178.00000,,147.00000,-1.00000,12.00000,11.00000,,-20.00000,-346.00000,-346.00000,-317.00000,-317.00000,-165.00000,-12.00000,-840.00000,-35.00000,33.00000,-165.00000
2012-06-30,27.80000,260.30000,564.50000,824.80000,-15.20000,-25.20000,22.80000,0.30000,852.90000,-233.80000,,-14.10000,-1.00000,,-1.00000,,-248.90000,-24.90000,-24.90000,-445.30000,-445.30000,-139.60000,,-609.80000,-10.90000,34.70000,-139.60000
2011-06-30,587.10000,212.00000,83.20000,295.20000,-42.90000,-64.70000,32.50000,-49.20000,833.10000,-324.90000,,-1082.60000,-10.00000,,-10.00000,,-1417.50000,851.40000,851.40000,-231.60000,-231.60000,-127.00000,,492.80000,-88.30000,46.10000,-127.00000
2010-06-30,561.60000,165.70000,28.80000,194.50000,40.00000,-13.90000,71.50000,46.60000,802.70000,-198.00000,,-52.10000,,,,,-250.10000,-76.80000,-76.80000,-189.10000,-189.10000,-115.00000,,-380.90000,174.00000,35.30000,-115.00000
2009-06-30,-124.60000,177.70000,621.40000,799.10000,32.70000,-68.30000,-2.90000,-7.70000,666.80000,-121.80000,,-745.30000,2.50000,,2.50000,,-864.60000,450.40000,450.40000,-126.70000,-126.70000,-106.60000,-100.00000,117.10000,-88.80000,41.90000,-106.60000
