,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1967.00000,1266.00000,49.00000,1315.00000,-227.00000,-333.00000,-51.00000,-726.00000,2556.00000,-649.00000,-809.00000,-148.00000,-148.00000,5.00000,-1601.00000,1107.00000,540.00000,1647.00000,-890.00000,-890.00000,-1691.00000,-18.00000,-952.00000,-57.00000,125.00000,-1691.00000
2021-12-31,2338.00000,1127.00000,57.00000,1184.00000,-84.00000,-72.00000,-55.00000,-197.00000,3325.00000,-567.00000,,0.00000,,-25.00000,-592.00000,-4.00000,-171.00000,-175.00000,-896.00000,-896.00000,-1679.00000,-24.00000,-2774.00000,-56.00000,135.00000,-1679.00000
2020-12-31,2860.00000,539.00000,-61.00000,478.00000,138.00000,-251.00000,-26.00000,381.00000,3719.00000,-410.00000,-353.00000,-19.00000,-19.00000,3.00000,-779.00000,-1085.00000,488.00000,-597.00000,-602.00000,-602.00000,-1654.00000,-66.00000,-2919.00000,5.00000,107.00000,-1654.00000
2019-12-31,2527.00000,519.00000,22.00000,541.00000,19.00000,-77.00000,87.00000,65.00000,3133.00000,-335.00000,-1711.00000,-53.00000,-53.00000,,-2099.00000,1137.00000,296.00000,1433.00000,-704.00000,-704.00000,-1614.00000,15.00000,-870.00000,157.00000,100.00000,-1614.00000
2018-12-31,2558.00000,511.00000,142.00000,653.00000,-79.00000,-58.00000,-36.00000,-155.00000,3056.00000,-436.00000,-728.00000,-13.00000,-13.00000,7.00000,-1170.00000,-725.00000,546.00000,-179.00000,-909.00000,-909.00000,-1591.00000,,-2679.00000,-809.00000,109.00000,-1591.00000
2017-12-31,2174.00000,475.00000,520.00000,995.00000,-15.00000,-8.00000,4.00000,-115.00000,3054.00000,-509.00000,,44.00000,44.00000,-6.00000,-471.00000,-29.00000,,-29.00000,-892.00000,-892.00000,-1529.00000,,-2450.00000,220.00000,127.00000,-1529.00000
2016-12-31,2586.00000,443.00000,20.00000,463.00000,-17.00000,-4.00000,13.00000,92.00000,3141.00000,-533.00000,-5.00000,42.00000,42.00000,-3.00000,-499.00000,164.00000,,164.00000,-889.00000,-889.00000,-1508.00000,,-2233.00000,345.00000,123.00000,-1508.00000
2015-12-31,1548.00000,449.00000,1074.00000,1523.00000,-75.00000,-13.00000,33.00000,-122.00000,2949.00000,-682.00000,208.00000,-143.00000,-143.00000,-68.00000,-685.00000,421.00000,,421.00000,-1204.00000,-1204.00000,-1493.00000,,-2276.00000,-119.00000,125.00000,-1493.00000
2014-12-31,2339.00000,442.00000,604.00000,1046.00000,-109.00000,-60.00000,25.00000,-87.00000,3298.00000,-733.00000,-87.00000,-57.00000,-57.00000,18.00000,-859.00000,435.00000,,435.00000,-1159.00000,-1159.00000,-1446.00000,,-2170.00000,127.00000,131.00000,-1446.00000
2013-12-31,2410.00000,439.00000,452.00000,891.00000,-37.00000,-97.00000,13.00000,-97.00000,3204.00000,-655.00000,-3.00000,-238.00000,-238.00000,6.00000,-890.00000,422.00000,,422.00000,-1182.00000,-1182.00000,-1382.00000,,-2142.00000,78.00000,128.00000,-1382.00000
2012-12-31,2631.00000,425.00000,117.00000,542.00000,19.00000,-21.00000,30.00000,23.00000,3196.00000,-493.00000,-29.00000,-398.00000,-398.00000,55.00000,-865.00000,441.00000,,441.00000,-1465.00000,-1465.00000,-1277.00000,,-2301.00000,6.00000,120.00000,-1277.00000
2011-12-31,2554.00000,421.00000,-72.00000,349.00000,-130.00000,-130.00000,54.00000,-7.00000,2896.00000,-274.00000,-966.00000,67.00000,67.00000,-40.00000,-1213.00000,1414.00000,,1414.00000,-1453.00000,-1453.00000,-1203.00000,,-1242.00000,388.00000,122.00000,-1203.00000
2010-12-31,2313.00000,376.00000,422.00000,798.00000,40.00000,-10.00000,135.00000,100.00000,3211.00000,-508.00000,,-141.00000,-141.00000,-9.00000,-658.00000,296.00000,,296.00000,-1778.00000,-1778.00000,-1142.00000,,-2624.00000,-110.00000,121.00000,-1142.00000
2009-12-31,2397.00000,351.00000,-2.00000,349.00000,57.00000,44.00000,136.00000,531.00000,3277.00000,-558.00000,,-289.00000,-289.00000,6.00000,-841.00000,-526.00000,,-526.00000,-763.00000,-763.00000,-981.00000,,-2270.00000,45.00000,117.00000,-981.00000
