,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-06-30,362.91600,177.62400,57.05200,234.67600,-41.50800,6.64600,-75.99300,-92.96100,504.63100,-43.10500,-148.23900,,-5.00000,-5.00000,-196.34400,14.87300,14.87300,-182.14300,-182.14300,-139.07000,-4.15200,-310.49200,-2.20500,24.78000,-139.07000
2021-06-30,311.46900,175.74800,35.51800,211.26600,-6.11200,-0.09400,-50.51800,-60.60600,462.12900,-23.30700,-128.34300,-2.30000,-8.30000,-8.30000,-162.25000,99.88600,99.88600,-420.59700,-420.59700,-133.80000,-7.72100,-462.23200,-162.35300,20.74600,-133.80000
2020-06-30,296.66800,171.80500,46.19900,218.00400,10.54000,-0.04700,-30.63000,-4.14000,510.53200,-42.40800,-123.97200,-30.37600,-1.15000,-1.15000,-197.90600,-0.03300,-0.03300,-61.71600,-61.71600,-127.42100,-3.73900,-192.90900,119.71700,16.88300,-127.42100
2019-06-30,296.66800,171.80500,46.19900,218.00400,10.54000,-0.04700,-30.63000,-4.14000,510.53200,-49.11800,-117.26200,-30.37600,-1.15000,-1.15000,-197.90600,-0.03300,-0.03300,-61.71600,-61.71600,-127.42100,-3.73900,-192.90900,119.71700,16.88300,-127.42100
2018-06-30,365.03400,151.98600,-64.08000,87.90600,21.48900,6.92200,-81.40800,-40.79800,412.14200,-136.47600,-13.13800,-137.21200,-5.00000,-5.00000,-291.82600,-50.00000,-50.00000,-41.28700,-41.28700,-105.02100,-7.33300,-203.64100,-83.32500,11.75800,-105.02100
2017-06-30,229.56100,139.78600,37.08700,176.87300,-33.09600,-7.81200,10.20600,-49.11200,357.32200,-40.97900,-106.23900,5.63200,,,-141.58600,49.80000,49.80000,-123.89400,-123.89400,-91.70700,-5.48000,-171.28100,44.45500,11.12900,-91.70700
2016-06-30,248.86700,129.64800,31.35600,161.00400,-13.73500,4.66300,-25.21300,-43.44900,366.42200,-53.48100,-108.23700,25.75500,,,-135.96300,-52.50000,-52.50000,-169.25400,-169.25400,-84.11800,-2.59000,-308.46200,-78.00300,10.72000,-84.11800
2015-06-30,211.22100,118.99600,34.50900,153.50500,-21.34600,-0.58300,6.70700,13.40700,373.79000,-131.09900,-14.02000,8.13500,,,-136.98400,39.21700,39.21700,-117.16800,-117.16800,-76.41000,-4.50900,-158.87000,77.93600,10.11200,-76.41000
2014-06-30,186.71500,107.77100,18.65300,126.42400,7.49800,-1.25200,23.38700,28.52000,341.65900,-87.59800,-16.28800,-27.89400,,,-131.78000,-22.15800,-22.15800,-170.80600,-170.80600,-71.25100,-3.19200,-267.40700,-57.52800,10.09100,-71.25100
2013-06-30,167.61000,100.34100,27.23800,127.57900,-12.73900,-4.58200,18.95700,13.98500,309.17400,-97.05800,-0.18600,,,,-97.24400,-145.18000,-145.18000,-47.65100,-47.65100,-48.20200,-0.30500,-241.33800,-29.40800,8.61500,-48.20200
2012-06-30,152.04000,94.61900,25.59400,120.21300,-10.79500,3.48800,-17.42300,-7.70300,264.55000,-76.54200,-0.72000,,1.00000,1.00000,-76.26200,-35.28000,-35.28000,-20.04500,-20.04500,-38.12800,-0.64700,-94.10000,94.18800,6.95000,-38.12800
2011-06-30,137.47100,90.51400,26.27400,116.78800,0.94000,-0.67100,-5.05600,-14.12700,240.13200,-59.03900,,,0.00100,0.00100,-59.03800,-229.45500,-229.45500,21.83200,21.83200,-34.39100,-1.47300,-243.48700,-62.39300,4.72300,-34.39100
2010-06-30,117.87000,71.50800,20.80900,92.31700,-1.53900,0.63000,4.31700,8.51100,218.69800,-79.06300,,-426.65300,0.00100,0.00100,-505.71500,303.16000,303.16000,33.15700,33.15700,-30.46100,-11.57200,294.28400,7.26700,3.25100,-30.46100
2009-06-30,103.10200,64.14700,10.25700,74.40400,21.21400,1.26000,23.91200,29.08900,206.58800,-56.20400,,-3.02700,0.00400,0.00400,-59.22700,-13.48900,-13.48900,-53.79600,-53.79600,-26.90300,-0.48700,-94.67500,52.68600,2.27200,-26.90300
