,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,1504.00000,1040.00000,-225.00000,815.00000,-59.00000,-162.00000,-34.00000,-145.00000,2174.00000,-918.00000,,311.00000,,311.00000,-1.00000,-608.00000,-6.00000,1.00000,-5.00000,-1284.00000,-1284.00000,-673.00000,-92.00000,-2054.00000,-491.00000,-673.00000
2021-12-31,1754.00000,1210.00000,-508.00000,702.00000,-596.00000,-263.00000,-86.00000,-426.00000,2030.00000,-448.00000,747.00000,,908.00000,908.00000,4847.00000,6054.00000,-5217.00000,65.00000,-5152.00000,-839.00000,-839.00000,-910.00000,-474.00000,-7375.00000,700.00000,-910.00000
2020-12-31,482.00000,1287.00000,970.00000,2257.00000,59.00000,35.00000,89.00000,324.00000,3063.00000,-743.00000,-25.00000,,500.00000,500.00000,-1.00000,-269.00000,-1695.00000,35.00000,-1660.00000,-42.00000,-42.00000,-806.00000,-192.00000,-2700.00000,84.00000,-806.00000
2019-12-31,1220.00000,1306.00000,742.00000,2048.00000,246.00000,-1.00000,-42.00000,342.00000,3610.00000,-1258.00000,-22.00000,,,,-20.00000,-1300.00000,-973.00000,-66.00000,-1039.00000,-535.00000,-535.00000,-796.00000,-19.00000,-2389.00000,-78.00000,-796.00000
2018-12-31,2017.00000,1328.00000,320.00000,1648.00000,-342.00000,-236.00000,-12.00000,-439.00000,3226.00000,-1549.00000,-8.00000,,,,-12.00000,-1569.00000,-518.00000,-1.00000,-519.00000,-732.00000,-732.00000,-789.00000,-6.00000,-2046.00000,-429.00000,-789.00000
2017-12-31,2144.00000,1423.00000,-1408.00000,15.00000,-370.00000,-87.00000,-59.00000,-402.00000,1757.00000,-1365.00000,-41.00000,,,,15.00000,-1391.00000,483.00000,26.00000,509.00000,-47.00000,-47.00000,-769.00000,-92.00000,-399.00000,-15.00000,-769.00000
2016-12-31,902.00000,1227.00000,278.00000,1505.00000,-94.00000,11.00000,56.00000,71.00000,2478.00000,-1329.00000,-2120.00000,,,,-49.00000,-3498.00000,1892.00000,,1892.00000,-132.00000,-132.00000,-733.00000,-45.00000,982.00000,-17.00000,-733.00000
2015-12-31,917.00000,1294.00000,591.00000,1885.00000,7.00000,-131.00000,-9.00000,-222.00000,2580.00000,-1450.00000,23.00000,,-198.00000,-198.00000,-114.00000,-1739.00000,-74.00000,-14.00000,-88.00000,-603.00000,-603.00000,-685.00000,-225.00000,-1601.00000,-831.00000,-685.00000
2014-12-31,536.00000,1414.00000,1285.00000,2699.00000,-97.00000,-103.00000,60.00000,-158.00000,3077.00000,-1305.00000,411.00000,,,,34.00000,-860.00000,-113.00000,30.00000,-83.00000,-996.00000,-996.00000,-620.00000,-387.00000,-2086.00000,79.00000,-620.00000
2013-12-31,1378.00000,1547.00000,589.00000,2136.00000,-134.00000,-114.00000,-128.00000,-486.00000,3028.00000,-1133.00000,221.00000,,,,85.00000,-827.00000,-604.00000,-123.00000,-727.00000,-214.00000,-364.00000,-554.00000,-43.00000,-1688.00000,500.00000,-554.00000
2012-12-31,799.00000,1486.00000,598.00000,2084.00000,377.00000,-28.00000,8.00000,84.00000,2967.00000,-1383.00000,-3260.00000,,-45.00000,-45.00000,-170.00000,-4858.00000,-356.00000,11.00000,-345.00000,73.00000,73.00000,-476.00000,-47.00000,-795.00000,-2692.00000,-476.00000
2011-12-31,1336.00000,1332.00000,512.00000,1844.00000,-128.00000,-56.00000,68.00000,-505.00000,2675.00000,-1159.00000,-329.00000,,,,1.00000,-1487.00000,1249.00000,-29.00000,1220.00000,-30.00000,-30.00000,-427.00000,-21.00000,742.00000,1921.00000,-427.00000
2010-12-31,712.00000,1456.00000,-79.00000,1377.00000,-327.00000,-186.00000,107.00000,-458.00000,1631.00000,-775.00000,-152.00000,,,,93.00000,-834.00000,-383.00000,38.00000,-345.00000,-26.00000,-26.00000,-175.00000,-42.00000,-588.00000,181.00000,-175.00000
2009-12-31,681.00000,1472.00000,1722.00000,3194.00000,604.00000,316.00000,181.00000,780.00000,4655.00000,-534.00000,-17.00000,,,,-42.00000,-593.00000,-3089.00000,20.00000,-3069.00000,-10.00000,-10.00000,-140.00000,-157.00000,-3376.00000,748.00000,-140.00000
