,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,2305.60000,3285.70000,-169.00000,3116.70000,-681.70000,-313.90000,489.20000,266.70000,-134.30000,5288.00000,-6453.70000,-1308.00000,-40.39990,-40.39990,50.30000,-7751.80000,1994.80000,1498.20000,3493.00000,826.50000,826.50000,-1645.20000,-105.40000,2568.90000,105.10000,-1645.20000
2021-12-31,2488.10000,3046.40000,-1624.10000,1422.30000,-119.70000,300.20000,200.60000,-670.30000,-70.50000,3839.90000,-5540.70000,-871.70000,-53.70000,-53.70000,32.20000,-6433.90000,3433.00000,134.70000,3567.70000,600.50000,600.50000,-1519.50000,-41.60000,2607.10000,13.10000,-1519.50000
2020-12-31,2196.70000,2906.80000,-70.90000,2835.90000,-129.30000,-142.90000,-35.30000,-912.30000,-1199.70000,3832.90000,-6175.20000,-69.70000,-34.50000,-34.50000,45.50000,-6233.90000,4224.60000,-359.00000,3865.60000,155.00000,155.00000,-1424.90000,-189.00000,2406.70000,5.70000,-1424.90000
2019-12-31,1919.80000,2740.10000,-72.20000,2667.90000,247.80000,-248.20000,5.80000,-461.90000,-317.60000,4270.10000,-6051.40000,-1010.70000,-81.80010,-81.80010,-0.60000,-7144.50000,3245.10000,928.30000,4173.40000,65.30000,65.30000,-1350.00000,-25.80000,2862.90000,-11.50000,-1350.00000
2018-12-31,1931.30000,2400.40000,63.80000,2464.20000,145.90000,20.70000,36.60000,471.30000,827.70000,5223.20000,-6310.90000,-46.10000,-57.80010,-57.80010,61.20000,-6353.60000,2098.60000,271.40000,2370.00000,73.60000,73.60000,-1255.50000,-26.20000,1161.90000,31.50000,-1255.50000
2017-12-31,1928.90000,2126.30000,619.60000,2745.90000,28.50000,17.90000,-58.00000,-484.70000,-404.40000,4270.40000,-3531.70000,-108.00000,-58.39990,-58.39990,41.70000,-3656.40000,652.80000,-74.40000,578.40000,12.20000,12.20000,-1191.90000,-3.60000,-604.90000,9.10000,-1191.90000
2016-12-31,618.00000,2090.90000,2225.10000,4316.00000,-226.60000,60.20000,164.90000,-453.50000,-412.20000,4521.80000,-4889.00000,-128.50000,-44.60010,-44.60010,15.50000,-5046.60000,693.39990,913.00000,1606.40000,34.20000,34.20000,-1121.00000,-15.70000,503.90000,-23.40000,-1121.00000
2015-12-31,2052.30000,2154.70000,537.40000,2692.10000,200.20000,-38.60000,16.50000,-294.00000,4.30000,4748.70000,-4513.30000,-92.00000,-64.30010,-64.30010,97.00000,-4572.60000,847.00020,-546.00000,301.00020,81.60000,81.60000,-1059.00000,14.70000,-661.70000,5.30000,-1059.00000
2014-12-31,1638.00000,2041.80000,448.20000,2490.00000,-60.30000,100.80000,-74.90000,508.40000,474.40000,4602.40000,-4194.80000,-116.20000,-56.20000,-56.20000,-38.70000,-4405.90000,178.40000,589.00000,767.40000,73.60000,73.60000,-997.60000,5.70000,-150.90000,45.00000,-997.60000
2013-12-31,1484.20000,1843.10000,842.80000,2685.90000,22.90000,119.20000,94.10000,-396.30000,-73.90000,4096.20000,-3648.40000,-153.70000,-69.00000,-69.00000,53.30000,-3817.80000,648.20020,-221.00000,427.20020,83.20000,83.20000,-954.30000,5.20000,-438.70000,-161.20000,-954.30000
2012-12-31,1262.00000,1918.00000,840.00000,2758.00000,-16.00000,-224.00000,-60.00000,-90.00000,-216.00000,3804.00000,-3101.00000,-107.00000,-59.00000,-59.00000,-124.00000,-3391.00000,1142.00000,-669.00000,473.00000,83.00000,83.00000,-916.00000,5.00000,-355.00000,58.00000,-916.00000
2011-12-31,1949.00000,1792.00000,-646.00000,1146.00000,107.00000,176.00000,-44.00000,261.00000,693.00000,3788.00000,-2565.00000,-320.00000,58.00000,58.00000,-63.00000,-2890.00000,-408.00000,304.00000,-104.00000,92.00000,28.00000,-900.00000,5.00000,-971.00000,-73.00000,-898.00000
2010-12-31,1218.00000,1780.00000,-82.00000,1698.00000,-866.00000,221.00000,-36.00000,248.00000,-254.00000,2662.00000,-2313.00000,-91.00000,-101.00000,-101.00000,-18.00000,-2523.00000,-818.00000,1220.00000,402.00000,93.00000,93.00000,-827.00000,-3.00000,-335.00000,-196.00000,-824.00000
2009-12-31,1365.00000,1660.00000,570.00000,2230.00000,41.00000,-475.00000,8.00000,-224.00000,-1120.00000,2475.00000,-2618.00000,-169.00000,-105.00000,-105.00000,-24.00000,-2916.00000,1408.00000,-1850.00000,-442.00000,1728.00000,1728.00000,-761.00000,-5.00000,520.00000,79.00000,-758.00000
