,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,994.00000,3113.00000,2929.00000,6042.00000,-985.00000,-216.00000,556.00000,-2732.00000,-3336.00000,3700.00000,-7591.00000,579.00000,0.00000,424.00000,424.00000,-158.00000,-6746.00000,4027.00000,1109.00000,5136.00000,1866.00000,256.00000,-2209.00000,-204.00000,2979.00000,-67.00000,-2209.00000
2021-12-31,3314.00000,2768.00000,129.00000,2897.00000,-183.00000,-74.00000,156.00000,-2114.00000,-2174.00000,4037.00000,-5960.00000,1421.00000,,-816.00000,-816.00000,-892.00000,-6247.00000,2650.00000,1194.00000,3844.00000,192.00000,934.00000,-2036.00000,-371.00000,2371.00000,161.00000,-2036.00000
2020-12-31,-550.00000,2836.00000,3791.00000,6627.00000,-292.00000,39.00000,35.00000,-579.00000,-850.00000,5227.00000,-6020.00000,3376.00000,,-284.00000,-284.00000,12.00000,-2916.00000,3698.00000,209.00000,3907.00000,-2921.00000,-2921.00000,-2873.00000,-446.00000,-2333.00000,-22.00000,-2873.00000
2019-12-31,1376.00000,2977.00000,1771.00000,4748.00000,-105.00000,-90.00000,-225.00000,-422.00000,-920.00000,5204.00000,-4980.00000,48.00000,,201.00000,201.00000,109.00000,-4622.00000,-4855.00000,404.00000,-4451.00000,6175.00000,6966.00000,-2983.00000,-236.00000,-704.00000,-122.00000,-2983.00000
2018-12-31,2549.00000,2280.00000,185.00000,2465.00000,-110.00000,-29.00000,67.00000,-157.00000,-241.00000,4773.00000,-4254.00000,-151.00000,,2024.00000,2024.00000,23.00000,-2358.00000,753.00000,-2964.00000,-2211.00000,2461.00000,2461.00000,-2185.00000,-274.00000,-2209.00000,206.00000,-2185.00000
2017-12-31,3120.00000,2202.00000,-46.00000,2156.00000,-103.00000,15.00000,-89.00000,-661.00000,-774.00000,4502.00000,-5504.00000,-405.00000,,-341.00000,-341.00000,308.00000,-5942.00000,2308.00000,-107.00000,2201.00000,1320.00000,1320.00000,-1931.00000,-287.00000,1303.00000,-137.00000,-1931.00000
2016-12-31,2212.00000,1849.00000,576.00000,2425.00000,-286.00000,1.00000,97.00000,-501.00000,-486.00000,4151.00000,-6085.00000,-4421.00000,-1504.00000,1224.00000,-280.00000,95.00000,-10691.00000,6112.00000,-1254.00000,4858.00000,2634.00000,3124.00000,-1727.00000,-25.00000,6230.00000,-310.00000,-1727.00000
2015-12-31,1923.00000,1669.00000,788.00000,2457.00000,294.00000,-26.00000,-199.00000,78.00000,95.00000,4475.00000,-5575.00000,-915.00000,-1326.00000,1289.00000,-37.00000,24.00000,-6503.00000,2070.00000,934.00000,3004.00000,786.00000,786.00000,-1536.00000,63.00000,2317.00000,289.00000,-1536.00000
2014-12-31,1326.00000,1560.00000,895.00000,2455.00000,131.00000,-43.00000,-202.00000,-187.00000,-342.00000,3439.00000,-5345.00000,-19.00000,-1241.00000,1320.00000,79.00000,104.00000,-5181.00000,2092.00000,848.00000,2940.00000,597.00000,338.00000,-1409.00000,-125.00000,1744.00000,2.00000,-1398.00000
2013-12-31,1720.00000,1390.00000,529.00000,1919.00000,-98.00000,-29.00000,50.00000,-102.00000,-206.00000,3433.00000,-4065.00000,426.00000,-1493.00000,1636.00000,143.00000,38.00000,-3458.00000,2890.00000,-743.00000,2147.00000,278.00000,278.00000,-1319.00000,-1013.00000,93.00000,68.00000,-1302.00000
2012-12-31,329.00000,1443.00000,1939.00000,3382.00000,292.00000,33.00000,-61.00000,174.00000,426.00000,4137.00000,-4145.00000,,-1392.00000,1471.00000,79.00000,226.00000,-3840.00000,-175.00000,998.00000,823.00000,265.00000,265.00000,-1225.00000,-14.00000,-151.00000,146.00000,-1209.00000
2011-12-31,1426.00000,1288.00000,835.00000,2123.00000,365.00000,-185.00000,-413.00000,-117.00000,-566.00000,2983.00000,-3652.00000,,-1824.00000,1757.00000,-67.00000,398.00000,-3321.00000,1683.00000,429.00000,2112.00000,-563.00000,-563.00000,-1146.00000,-25.00000,378.00000,40.00000,-1129.00000
2010-12-31,2825.00000,1258.00000,-2439.00000,-1181.00000,-60.00000,35.00000,119.00000,-79.00000,181.00000,1825.00000,-3422.00000,4191.00000,,-37.00000,-37.00000,-313.00000,419.00000,-402.00000,91.00000,-311.00000,-826.00000,-826.00000,-1093.00000,-2.00000,-2232.00000,12.00000,-1076.00000
2009-12-31,1304.00000,1319.00000,618.00000,1937.00000,458.00000,-10.00000,-156.00000,334.00000,545.00000,3786.00000,-3837.00000,,,-76.00000,-76.00000,218.00000,-3695.00000,1248.00000,-735.00000,513.00000,456.00000,456.00000,-1056.00000,-25.00000,-112.00000,-21.00000,-1039.00000
