,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,1136.43800,860.06000,-584.57500,275.48500,-7.16700,10.00900,1421.93200,-698.62900,,-14.26900,-14.26900,152.47900,-560.41900,205.23300,205.23300,20.02000,20.02000,-890.89090,-5.41800,-671.05600,190.45700,-890.03090
2021-12-31,1004.35600,794.24400,-605.42700,188.81700,5.50500,9.99700,1203.17000,-729.55800,,-53.53600,-53.53600,159.04100,-624.05300,526.93400,526.93400,31.87400,31.87400,-890.03800,-17.63100,-348.86100,230.25600,-888.69800
2020-12-31,827.70600,738.26800,-320.89600,417.37200,-28.67500,-25.46300,1219.61500,-361.17000,,-36.08800,-36.08800,217.82500,-179.43300,262.18910,262.18910,-180.41200,-180.41200,-884.64390,-51.39700,-854.26400,185.91800,-883.64390
2019-12-31,786.10300,696.13600,-149.93800,546.19810,-19.11800,-10.49700,1321.80400,-1191.37900,,-10.18300,-10.18300,7.69300,-1193.86900,252.48400,252.48400,409.72500,409.72500,-841.53110,-38.86300,-218.18500,-90.25000,-840.13100
2018-12-31,974.17500,661.11600,-354.43100,306.68490,12.58300,20.25100,1301.11100,-682.19300,,-11.01700,-11.01700,96.55900,-596.65100,80.28000,80.28000,52.26100,52.26100,-806.82700,-14.21600,-688.50200,15.95800,-805.70700
2017-12-31,876.66000,603.81200,-260.04500,343.76700,9.38200,35.83000,1256.25700,-1013.21500,,-24.49300,-24.49300,72.32700,-965.38100,271.64990,271.64990,111.09300,111.09300,-775.11700,-26.57300,-418.94700,-128.07100,-773.11700
2016-12-31,1033.70800,535.31100,-422.73000,112.58100,-5.40300,13.98300,1160.27200,-1134.47700,,-9.75000,-9.75000,111.87500,-1032.35200,450.00900,450.00900,15.52600,15.52600,-729.15700,-39.64900,-303.27100,-175.35100,-727.19700
2015-12-31,741.73300,475.85400,-184.89200,290.96200,12.78300,41.97200,1074.66700,-1343.02800,,-6.58200,-6.58200,150.09300,-1199.51700,19.48400,19.48400,690.18400,690.18400,-670.06800,-14.50700,25.09300,-99.75700,-655.65800
2014-12-31,697.32700,428.03100,-242.29000,185.74100,-3.38600,3.57300,886.64100,-1044.19100,,-5.66200,-5.66200,233.09300,-816.76000,420.14100,420.14100,346.13400,339.83400,-593.93100,-7.82000,158.22400,228.10500,-593.93100
2013-12-31,352.77100,552.42800,-157.54900,394.87900,-34.33200,-23.33500,724.31500,-1232.11700,,-26.79100,-26.79100,77.73400,-1181.17400,-1375.41900,-1375.41900,4.70300,-30.52100,-526.39900,-63.06500,-1995.40400,-2452.26300,-526.39900
2012-12-31,423.56200,258.81400,-151.35500,107.45900,14.53500,9.79800,540.81900,-937.64600,,-20.11400,-20.11400,334.37400,-623.38600,208.98600,208.98600,2430.19000,2430.19000,-365.90000,-73.94400,2199.33200,2116.76500,-365.90000
2011-12-31,441.37000,239.80600,-249.14700,-9.34100,-11.72000,-2.67500,429.35400,-426.95700,-1.70100,-30.93400,-32.63500,16.45100,-443.14100,-390.06600,-390.06600,1049.83500,1049.83500,-318.44500,-15.09100,326.23300,312.44600,-318.44500
2010-12-31,174.07900,234.22400,-59.84300,174.38100,-20.23000,-16.35400,332.10600,-253.03600,-24.00000,-49.03900,-73.03900,27.13900,-298.93600,91.09700,91.09700,381.36500,381.36500,-298.37300,-6.52400,167.56500,200.73500,-298.37300
2009-12-31,154.27400,218.71800,-6.19900,212.51900,-2.06200,9.78800,376.58100,-382.68600,0.00000,-13.88700,-13.88700,63.01400,-333.55900,183.34700,183.34700,108.86000,108.86000,-283.76700,-12.72500,-4.28500,38.73700,-283.76700
