,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,6746.00000,2937.00000,-1647.00000,1290.00000,-2275.00000,-1055.00000,3334.00000,616.00000,620.00000,8656.00000,-1295.00000,4835.00000,-272.00000,-272.00000,-170.00000,3098.00000,-500.00000,-2059.00000,-2559.00000,-7218.00000,-7218.00000,-1384.00000,-79.00000,-11240.00000,428.00000,-1384.00000
2021-12-31,5415.00000,2923.00000,-275.00000,2648.00000,-3499.00000,-557.00000,1884.00000,1300.00000,-872.00000,7191.00000,-1154.00000,-1894.00000,-660.00000,-660.00000,97.00000,-3611.00000,-454.00000,975.00000,521.00000,-7416.00000,-7416.00000,-1341.00000,24.00000,-8212.00000,-4697.00000,-1341.00000
2020-12-31,8489.00000,2802.00000,-4539.00000,-1737.00000,-1573.00000,-504.00000,4237.00000,1438.00000,3598.00000,10350.00000,-1094.00000,5453.00000,-1406.00000,-1406.00000,23.00000,2976.00000,-4796.00000,60.00000,-4736.00000,-3666.00000,-3666.00000,-15.00000,-116.00000,-8533.00000,4834.00000,-15.00000
2019-12-31,5120.00000,3651.00000,-488.00000,3163.00000,-990.00000,149.00000,1151.00000,892.00000,1202.00000,9485.00000,-1050.00000,-153.00000,480.00000,480.00000,-11.00000,-734.00000,-4494.00000,-681.00000,-5175.00000,-1763.00000,-1763.00000,-15.00000,-234.00000,-7187.00000,1556.00000,-15.00000
2018-12-31,2646.00000,695.00000,-20.00000,675.00000,471.00000,-107.00000,-510.00000,595.00000,449.00000,3770.00000,-528.00000,-24455.00000,-1383.00000,-1383.00000,-12.00000,-26378.00000,22725.00000,1487.00000,24212.00000,-274.00000,-274.00000,,-423.00000,23515.00000,883.00000,
2017-12-31,2232.00000,566.00000,326.00000,892.00000,-118.00000,-72.00000,731.00000,421.00000,962.00000,4086.00000,-471.00000,-209.00000,-1023.00000,-1023.00000,,-1703.00000,18.00000,80.00000,98.00000,-2594.00000,-2594.00000,,-155.00000,-2651.00000,-213.00000,
2016-12-31,1843.00000,610.00000,-95.00000,515.00000,909.00000,30.00000,125.00000,604.00000,1668.00000,4026.00000,-461.00000,-4.00000,-2008.00000,-2008.00000,-101.00000,-2574.00000,,-148.00000,-148.00000,-103.00000,-103.00000,,26.00000,-225.00000,1217.00000,
2015-12-31,2077.00000,585.00000,64.00000,649.00000,-890.00000,,423.00000,699.00000,207.00000,2933.00000,-510.00000,-99.00000,-1127.00000,-1127.00000,,-1736.00000,-44.00000,-21.00000,-65.00000,-517.00000,-517.00000,,-27.00000,-609.00000,548.00000,
2014-12-31,2094.00000,588.00000,-176.00000,412.00000,-758.00000,,202.00000,97.00000,-348.00000,2158.00000,-473.00000,,-1369.00000,-1369.00000,-24.00000,-1866.00000,,-112.00000,-112.00000,-1502.00000,-1502.00000,,-21.00000,-1635.00000,-1375.00000,
2013-12-31,1478.00000,597.00000,-16.00000,581.00000,259.00000,,-483.00000,1136.00000,856.00000,719.00000,-527.00000,-76.00000,660.00000,660.00000,-42.00000,15.00000,-15.00000,-101.00000,-116.00000,-853.00000,-853.00000,,39.00000,-930.00000,-183.00000,
2012-12-31,1624.00000,560.00000,151.00000,711.00000,-9.00000,,-132.00000,127.00000,15.00000,2350.00000,-408.00000,-3581.00000,132.00000,132.00000,,-3857.00000,-326.00000,98.00000,-228.00000,-87.00000,-87.00000,-11.00000,98.00000,-228.00000,-1712.00000,-11.00000
2011-12-31,1261.00000,345.00000,130.00000,475.00000,-31.00000,,344.00000,-312.00000,-245.00000,1491.00000,-422.00000,-102.00000,-746.00000,-746.00000,,-1270.00000,2225.00000,-1.00000,2224.00000,509.00000,509.00000,-11.00000,145.00000,2867.00000,3085.00000,-11.00000
2010-12-31,1283.00000,292.00000,100.00000,392.00000,99.00000,,-272.00000,239.00000,68.00000,1743.00000,-300.00000,-539.00000,-503.00000,-503.00000,,-1342.00000,273.00000,59.00000,332.00000,-137.00000,-137.00000,-11.00000,90.00000,274.00000,681.00000,-11.00000
2009-12-31,1305.00000,268.00000,329.00000,597.00000,79.00000,,-1321.00000,30.00000,-1157.00000,745.00000,-307.00000,,-1178.00000,-1178.00000,,-1485.00000,146.00000,53.00000,199.00000,30.00000,30.00000,-11.00000,89.00000,307.00000,-418.00000,-11.00000
