,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,9708.00000,11290.00000,-1189.00000,10101.00000,-4483.00000,-2581.00000,6144.00000,-5248.00000,-2977.00000,16043.00000,-6953.00000,,-37754.00000,,-37754.00000,26825.00000,-17882.00000,4086.00000,373.00000,4459.00000,-2500.00000,-2500.00000,-397.00000,-1178.00000,383.00000,-1594.00000,-397.00000
2021-12-31,9945.00000,12051.00000,-763.00000,11288.00000,493.00000,-3155.00000,-1166.00000,1436.00000,-3366.00000,15188.00000,-7718.00000,,-32624.00000,,-32624.00000,23987.00000,-16355.00000,-770.00000,2912.00000,2142.00000,,,-186.00000,-212.00000,1744.00000,425.00000,-186.00000
2020-12-31,6321.00000,12815.00000,36.00000,12851.00000,-1341.00000,-104.00000,42.00000,2865.00000,-399.00000,16670.00000,-7134.00000,,-34353.00000,,-34353.00000,19661.00000,-21826.00000,6356.00000,277.00000,6633.00000,-90.00000,-90.00000,-669.00000,-322.00000,5552.00000,174.00000,-669.00000
2019-12-31,6667.00000,14118.00000,-1102.00000,13016.00000,-563.00000,-761.00000,-492.00000,-613.00000,-3789.00000,15021.00000,-10694.00000,,-22348.00000,,-22348.00000,22143.00000,-10899.00000,-2219.00000,-312.00000,-2531.00000,,457.00000,-2350.00000,-253.00000,-4677.00000,-553.00000,-2350.00000
2018-12-31,8075.00000,13669.00000,-3434.00000,10235.00000,492.00000,399.00000,-537.00000,-2387.00000,-1376.00000,15256.00000,-14633.00000,,-23383.00000,,-23383.00000,17253.00000,-20763.00000,10478.00000,1186.00000,11664.00000,,2862.00000,-2242.00000,-830.00000,11454.00000,5648.00000,-2242.00000
2017-12-31,330.00000,12261.00000,8220.00000,20481.00000,1402.00000,440.00000,-362.00000,-2254.00000,-3015.00000,17328.00000,-20966.00000,,-15821.00000,,-15821.00000,9215.00000,-27572.00000,18595.00000,-140.00000,18455.00000,-4492.00000,-3507.00000,-2233.00000,-131.00000,12584.00000,2688.00000,-2233.00000
2016-12-31,9269.00000,9819.00000,-2167.00000,7652.00000,-1249.00000,-75.00000,3195.00000,-2338.00000,580.00000,16607.00000,-25325.00000,-804.00000,-18079.00000,,-18079.00000,8565.00000,-35643.00000,21309.00000,-282.00000,21027.00000,-2500.00000,-2500.00000,-2368.00000,918.00000,17077.00000,-2172.00000,-2368.00000
2015-12-31,9590.00000,7487.00000,-3730.00000,3757.00000,-16.00000,-1209.00000,1658.00000,-872.00000,-1208.00000,11769.00000,-20814.00000,-927.00000,-13030.00000,,-13030.00000,7061.00000,-27710.00000,18078.00000,-61.00000,18017.00000,-3520.00000,-3520.00000,-2242.00000,1353.00000,13608.00000,-3857.00000,-2242.00000
2014-12-31,4018.00000,7238.00000,-1516.00000,5722.00000,-1248.00000,-309.00000,19.00000,-4159.00000,247.00000,10061.00000,-11334.00000,-53.00000,-15143.00000,,-15143.00000,11171.00000,-15359.00000,11849.00000,391.00000,12240.00000,-3277.00000,-3277.00000,-3165.00000,-123.00000,5675.00000,-853.00000,-3165.00000
2013-12-31,5331.00000,8041.00000,1325.00000,9366.00000,8.00000,59.00000,-485.00000,-1531.00000,-1326.00000,12630.00000,-7565.00000,-2623.00000,-10702.00000,-1358.00000,-12060.00000,7886.00000,-14362.00000,7850.00000,156.00000,8006.00000,-2438.00000,-2438.00000,-1687.00000,-150.00000,3731.00000,1599.00000,-1687.00000
2012-12-31,6136.00000,38762.00000,-35712.00000,3050.00000,-460.00000,-326.00000,162.00000,58.00000,630.00000,10605.00000,-8068.00000,-44.00000,780.00000,-1032.00000,-252.00000,4859.00000,-3505.00000,1659.00000,-247.00000,1412.00000,-5098.00000,-5098.00000,-939.00000,-116.00000,-4741.00000,2351.00000,-939.00000
2011-12-31,9287.00000,7587.00000,-5252.00000,2335.00000,-1572.00000,-2760.00000,2139.00000,-842.00000,-4122.00000,8166.00000,-6249.00000,-53.00000,-15633.00000,3984.00000,-11649.00000,5211.00000,-12740.00000,566.00000,131.00000,697.00000,,,-916.00000,-139.00000,-358.00000,-5185.00000,-916.00000
2010-12-31,6503.00000,7065.00000,-5933.00000,1132.00000,-641.00000,-2229.00000,2257.00000,-324.00000,-966.00000,6780.00000,-4202.00000,-3042.00000,-6363.00000,306.00000,-6057.00000,14534.00000,1233.00000,-10325.00000,-1097.00000,-11422.00000,3395.00000,3395.00000,-1572.00000,-171.00000,-9770.00000,-1423.00000,-1572.00000
2009-12-31,105217.00000,15421.00000,-131020.00000,-115599.00000,392.00000,3194.00000,-3483.00000,2073.00000,-6857.00000,-17239.00000,-5274.00000,-2127.00000,-4.00000,-812.00000,-816.00000,-10761.00000,-18978.00000,48771.00000,-2716.00000,46055.00000,,,-97.00000,-1384.00000,44574.00000,8626.00000,-97.00000
