,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,21748.00000,17099.00000,2528.00000,19627.00000,-1978.00000,627.00000,-33.00000,928.00000,-456.00000,37141.00000,-23087.00000,-3653.00000,281.00000,,,-2203.00000,-28662.00000,4242.00000,106.00000,4348.00000,,,-10805.00000,-2072.00000,-8529.00000,-50.00000,-10805.00000
2021-12-31,22618.00000,16206.00000,1698.00000,17904.00000,-1592.00000,-905.00000,1457.00000,150.00000,-890.00000,39539.00000,-20286.00000,-47596.00000,57.00000,,,672.00000,-67153.00000,22554.00000,,22554.00000,,,-10445.00000,-3832.00000,8277.00000,-19337.00000,-10445.00000
2020-12-31,18348.00000,16720.00000,3864.00000,20584.00000,189.00000,-369.00000,-966.00000,1202.00000,56.00000,41768.00000,-18192.00000,-3896.00000,-520.00000,,,-904.00000,-23512.00000,14269.00000,-9.00000,14260.00000,,,-10232.00000,-2703.00000,1325.00000,19581.00000,-10232.00000
2019-12-31,19788.00000,16682.00000,2496.00000,19178.00000,-1471.00000,-76.00000,-2359.00000,-2807.00000,-6713.00000,35746.00000,-17939.00000,-898.00000,-1.00000,,,1257.00000,-17581.00000,-5231.00000,,-5231.00000,,,-10016.00000,-2917.00000,-18164.00000,1.00000,-10016.00000
2018-12-31,16039.00000,17403.00000,1855.00000,19258.00000,-2667.00000,-324.00000,1777.00000,37.00000,-1177.00000,34339.00000,-16658.00000,-1429.00000,-230.00000,,,383.00000,-17934.00000,-3781.00000,,-3781.00000,,,-9772.00000,-1824.00000,-15377.00000,1028.00000,-9772.00000
2017-12-31,30550.00000,16954.00000,-17924.00000,-970.00000,-5674.00000,168.00000,-459.00000,27.00000,-5938.00000,24318.00000,-17247.00000,-583.00000,-2266.00000,,,1640.00000,-18456.00000,7760.00000,,7760.00000,,,-9472.00000,-4439.00000,-6151.00000,-289.00000,-9472.00000
2016-12-31,13608.00000,15928.00000,2007.00000,17935.00000,-5067.00000,61.00000,-1089.00000,-660.00000,-6755.00000,21689.00000,-17059.00000,-534.00000,6117.00000,,,1602.00000,-9874.00000,-1209.00000,,-1209.00000,,,-9262.00000,-2905.00000,-13376.00000,-1561.00000,-9262.00000
2015-12-31,18375.00000,16017.00000,3506.00000,19523.00000,-945.00000,-99.00000,2545.00000,942.00000,2443.00000,39027.00000,-17775.00000,-9942.00000,-3497.00000,,,1171.00000,-30043.00000,-2673.00000,-344.00000,-3017.00000,-5134.00000,-5134.00000,-8538.00000,1577.00000,-15112.00000,-6128.00000,-8538.00000
2014-12-31,11956.00000,16533.00000,7390.00000,23923.00000,-2745.00000,-132.00000,1412.00000,-695.00000,-2160.00000,30631.00000,-17191.00000,2013.00000,-62.00000,,,-616.00000,-15856.00000,13298.00000,-475.00000,12823.00000,34.00000,34.00000,-7803.00000,-62759.00000,-57705.00000,-42930.00000,-7803.00000
2013-12-31,23547.00000,16606.00000,1624.00000,18230.00000,-843.00000,56.00000,925.00000,-143.00000,-5.00000,38818.00000,-16604.00000,1531.00000,-494.00000,,,734.00000,-14833.00000,41003.00000,-142.00000,40861.00000,-68.00000,-68.00000,-5936.00000,-8407.00000,26450.00000,50435.00000,-5936.00000
2012-12-31,10557.00000,16460.00000,8295.00000,24755.00000,-1717.00000,-136.00000,1144.00000,306.00000,-403.00000,31486.00000,-16175.00000,-3935.00000,-913.00000,,,521.00000,-20502.00000,-1914.00000,-1437.00000,-3351.00000,315.00000,315.00000,-5230.00000,-12987.00000,-21253.00000,-10269.00000,-5230.00000
2011-12-31,10198.00000,16496.00000,8265.00000,24761.00000,-966.00000,208.00000,-1607.00000,86.00000,-2279.00000,29780.00000,-16244.00000,-221.00000,-1797.00000,35.00000,35.00000,977.00000,-17250.00000,-745.00000,1928.00000,1183.00000,241.00000,241.00000,-5555.00000,-1705.00000,-5836.00000,6694.00000,-5555.00000
2010-12-31,10217.00000,16405.00000,8469.00000,24874.00000,-859.00000,299.00000,1075.00000,-313.00000,202.00000,33363.00000,-16458.00000,-786.00000,1942.00000,-3.00000,-3.00000,251.00000,-15054.00000,-8136.00000,-1097.00000,-9233.00000,3083.00000,3083.00000,-5412.00000,-2088.00000,-13650.00000,4659.00000,-5412.00000
2009-12-31,11601.00000,16534.00000,6752.00000,23286.00000,-1393.00000,235.00000,-1251.00000,-102.00000,-2511.00000,31390.00000,-16872.00000,,-5958.00000,84.00000,84.00000,-410.00000,-23156.00000,-7220.00000,-1652.00000,-8872.00000,,,-5271.00000,-1864.00000,-16007.00000,-7773.00000,-5271.00000
