,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,739.70400,624.40700,127.26600,751.67300,,828.02800,36.78400,864.81200,1422.19400,-27.92900,-69.72100,-44.97600,-800.38910,-845.36510,,-943.01500,100.49200,-159.08000,-58.58800,-348.04600,-348.04600,-80.54700,-5.27200,-492.45300,0.39600,-80.54700
2021-12-31,744.95900,603.83800,12.60000,616.43800,,854.77000,18.14400,872.91400,1437.68000,-38.24400,-53.12100,38.63700,-803.94190,-765.30490,-56.70000,-913.37000,25.00000,10.73600,35.73600,-471.60900,-471.60900,-80.04300,-7.68700,-523.60300,-2.68400,-80.04300
2020-12-31,731.77300,575.77000,92.52800,668.29800,,798.93600,33.81000,832.74600,1476.43400,-41.75600,-37.86700,-69.49700,-1025.55900,-1095.05600,-7.05100,-1181.73000,313.12500,-107.37300,205.75200,-395.77300,-395.77300,-78.19200,-5.84400,-274.05700,18.91400,-78.19200
2019-12-31,760.79000,551.72600,65.35800,617.08400,,661.56700,15.90000,677.46700,1363.87400,-42.20300,-23.89300,34.00300,-777.25010,-743.24710,0.03200,-809.31100,-6.87500,-133.03900,-139.91400,-376.40600,-376.40600,-74.18800,,-590.50800,-45.09300,-74.18800
2018-12-31,701.46600,516.69000,72.44800,589.13810,,664.99700,17.13400,682.13100,1277.64700,-45.09200,-23.40400,63.78300,-893.49690,-829.71390,1.98700,-896.22300,222.23800,-149.71000,72.52800,-385.65800,-385.65800,-71.42100,-6.96900,-391.52000,2.46300,-71.42100
2017-12-31,1454.49400,490.40300,-642.82900,-152.42600,,687.40700,31.78400,719.19100,1429.05800,-20.28500,-19.89000,-55.03100,-831.63590,-886.66690,0.01800,-926.82400,-1.87500,-29.84000,-31.71500,-351.77400,-351.77400,-68.83100,-1.66100,-453.98100,42.40000,-68.83100
2016-12-31,549.77900,469.06300,324.59300,793.65600,,645.84400,24.66800,670.51200,1398.70800,-25.16200,-32.08400,-17.27400,-988.00600,-1005.28000,0.09000,-1062.43600,150.00000,-49.76700,100.23300,-343.45500,-343.45500,-66.93100,-9.63800,-319.79100,14.78000,-66.93100
2015-12-31,527.10000,445.62500,99.71000,545.33500,,631.20200,14.60900,645.81100,1120.05000,-36.95700,-41.23100,-38.88400,-516.27800,-555.16190,,-633.35000,,-93.81500,-93.81500,-382.56800,-382.56800,-66.89900,17.57700,-525.70500,-4.63600,-66.89900
2014-12-31,542.93900,415.91400,-91.69900,324.21500,,585.63200,12.52100,598.15300,864.70800,-10.61500,-56.08300,61.00800,-344.47300,-283.46500,,-350.16300,,-60.46400,-60.46400,-393.01400,-393.01400,-65.00600,18.52400,-499.96000,29.07600,-65.00600
2013-12-31,528.47200,400.86900,111.89100,512.76000,,578.21700,-7.15100,571.06600,1119.28000,-10.59800,-51.17600,-26.01700,-526.58700,-552.60400,,-614.37800,-94.05000,-17.82500,-111.87500,-384.44800,-384.44800,-60.91100,21.31500,-535.91900,-24.76700,-60.91100
2012-12-31,529.32400,385.16700,84.70500,469.87200,-89.67700,497.30600,-8.11500,399.51400,942.83900,-4.61100,-258.81200,-69.96900,-364.64700,-434.61600,,-698.03900,144.18800,8.76800,152.95600,-389.14300,-389.14300,-55.52700,22.60200,-269.11200,-22.40300,-55.52700
2011-12-31,497.16100,364.58300,5.45000,370.03300,-22.56500,431.36200,-2.77600,406.02100,859.46400,-2.29700,-28.22400,198.09900,-479.71090,-281.61190,,-312.13300,,21.46200,21.46200,-809.94300,-809.94300,-49.12500,13.12100,-824.48500,-281.56600,-49.12500
2010-12-31,498.86600,376.98800,63.14900,440.13700,-24.71600,544.08600,1.11000,520.48000,1028.59300,-9.10400,289.72000,127.97300,-966.23000,-838.25700,,-557.64100,-8.91300,-65.95900,-74.87200,-208.14300,-208.14300,-50.06100,3.45500,-329.62100,133.76100,-50.06100
2009-12-31,404.95300,429.25300,235.71100,664.96400,-43.47100,533.46600,-18.17200,471.82300,976.11300,-6.49900,-24.55600,-240.47400,-665.57020,-906.04420,,-937.09900,196.85700,41.07700,237.93400,-43.13400,-43.13400,-46.61500,0.25300,148.43800,185.51800,-46.61500
