,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,1221.00000,952.00000,2089.00000,3041.00000,-1560.00000,-252.00000,1295.00000,-3356.00000,-3902.00000,360.00000,-258.00000,,-62.00000,,-6.00000,-6.00000,-6.00000,-332.00000,-5.00000,,-5.00000,-606.00000,-606.00000,-332.00000,1986.00000,1043.00000,1068.00000,-332.00000
2021-12-31,2187.00000,1032.00000,1790.00000,2822.00000,-1232.00000,-61.00000,476.00000,-3644.00000,-4516.00000,493.00000,561.00000,,-3559.00000,,-41.00000,-41.00000,,-3039.00000,-761.00000,,-761.00000,-47.00000,-47.00000,-319.00000,855.00000,-272.00000,-2820.00000,-319.00000
2020-12-31,510.00000,674.00000,616.00000,1290.00000,,27.00000,-56.00000,108.00000,37.00000,1837.00000,-149.00000,,-284.00000,,-51.00000,-51.00000,-10.00000,-494.00000,2899.00000,-83.00000,2816.00000,-228.00000,-228.00000,-295.00000,-89.00000,2204.00000,3545.00000,-295.00000
2019-12-31,4441.00000,594.00000,-3311.00000,-2717.00000,5.00000,22.00000,-177.00000,-86.00000,-311.00000,1413.00000,1066.00000,,-355.00000,,-126.00000,-126.00000,-29.00000,556.00000,-738.00000,83.00000,-655.00000,-1437.00000,-1437.00000,-32.00000,-24.00000,-2148.00000,-228.00000,-32.00000
2018-12-31,268.00000,632.00000,658.00000,1290.00000,-83.00000,29.00000,113.00000,-48.00000,-181.00000,1377.00000,1176.00000,19.00000,-511.00000,,-98.00000,-98.00000,-791.00000,-205.00000,1100.00000,-1734.00000,-634.00000,-1229.00000,-1229.00000,-37.00000,374.00000,-1526.00000,-473.00000,-37.00000
2017-12-31,-2337.00000,809.00000,3503.00000,4312.00000,-83.00000,143.00000,44.00000,-381.00000,-365.00000,1610.00000,176.00000,66.00000,-14.00000,,-68.00000,-68.00000,-799.00000,-639.00000,,-706.00000,-706.00000,-2.00000,-2.00000,-38.00000,-392.00000,-1138.00000,226.00000,-38.00000
2016-12-31,-891.00000,932.00000,1550.00000,2482.00000,24.00000,60.00000,-59.00000,365.00000,317.00000,1908.00000,-303.00000,,,,-74.00000,-74.00000,-380.00000,-757.00000,-734.00000,,-734.00000,1.00000,-225.00000,-76.00000,267.00000,-768.00000,-182.00000,
2015-12-31,-6436.00000,1633.00000,6135.00000,7768.00000,113.00000,-59.00000,-180.00000,172.00000,17.00000,1349.00000,-1002.00000,41.00000,-31.00000,,-393.00000,-393.00000,-143.00000,-1528.00000,-358.00000,,-358.00000,-436.00000,-436.00000,-201.00000,563.00000,-432.00000,-349.00000,
2014-12-31,132.00000,1688.00000,198.00000,1886.00000,-2.00000,-245.00000,-12.00000,-223.00000,-508.00000,1510.00000,-706.00000,-16.00000,-2936.00000,,-122.00000,-122.00000,877.00000,-2903.00000,736.00000,,736.00000,-18.00000,-18.00000,-196.00000,743.00000,1265.00000,-138.00000,-196.00000
2013-12-31,-352.00000,1331.00000,592.00000,1923.00000,-224.00000,11.00000,275.00000,-249.00000,-301.00000,1270.00000,-1974.00000,5.00000,-494.00000,-48.00000,-26.00000,-74.00000,9.00000,-2528.00000,842.00000,,842.00000,-9.00000,-9.00000,-154.00000,748.00000,1427.00000,167.00000,
2012-12-31,315.00000,1207.00000,-582.00000,625.00000,-131.00000,-172.00000,-132.00000,413.00000,209.00000,1149.00000,-3259.00000,-1.00000,902.00000,-66.00000,-62.00000,-128.00000,224.00000,-2262.00000,3097.00000,-1260.00000,1837.00000,,,-50.00000,312.00000,2099.00000,982.00000,
2011-12-31,197.00000,1162.00000,-200.00000,962.00000,-119.00000,145.00000,9.00000,83.00000,7.00000,1166.00000,-2303.00000,-19.00000,-377.00000,-215.00000,-87.00000,-302.00000,-46.00000,-3047.00000,648.00000,,648.00000,-428.00000,-428.00000,-9.00000,-178.00000,33.00000,-1846.00000,
2010-12-31,476.00000,944.00000,205.00000,1149.00000,138.00000,91.00000,-261.00000,78.00000,-2.00000,1623.00000,-663.00000,-34.00000,-1006.00000,,-57.00000,-57.00000,137.00000,-1623.00000,863.00000,,863.00000,-178.00000,-178.00000,-9.00000,-25.00000,651.00000,647.00000,
2009-12-31,941.00000,1077.00000,338.00000,1415.00000,88.00000,-83.00000,-176.00000,-127.00000,-250.00000,2106.00000,-728.00000,-38.00000,-427.00000,14.00000,252.00000,266.00000,-27.00000,-954.00000,169.00000,,169.00000,-498.00000,-498.00000,-33.00000,19.00000,-343.00000,810.00000,
