,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1381.06200,55.87200,-358.90500,-303.03300,-268.17100,2150.84400,-408.44200,1470.69700,2568.60400,-98.60400,-49.57200,14.33700,-2605.71600,-2591.37900,848.20000,-1891.35500,-429.81200,-429.81200,-94.14000,-94.14000,-235.19200,-12.84800,-771.99200,-119.49700,49.41100,-235.19200
2021-12-31,1022.49000,129.68200,-247.81200,-118.13000,-364.39500,2422.40100,-823.95600,1190.16000,2183.98700,100.25200,,-17.98300,-3145.04300,-3163.02600,73.62900,-2989.14600,529.15500,529.15500,-122.42600,-122.42600,-355.73600,-45.16200,5.83100,-803.52300,46.68000,-355.73600
2020-12-31,530.67000,135.06500,-139.33700,-4.27200,-173.61800,1592.00500,-420.15900,1047.24900,1616.68600,140.76300,,-26.51500,7.02340,-19.49160,-1.57500,119.69600,88.88610,88.88610,-346.35700,-346.35700,-84.14700,-56.22500,-397.84300,1348.65600,49.65800,-84.14700
2019-12-31,681.94400,113.38700,-131.45200,-18.06500,-189.15100,913.60900,-212.50800,499.42000,1143.79300,-207.20900,,2.84400,-418.65040,-415.80640,198.14400,-424.87100,-165.38600,-165.38600,-18.22500,-18.22500,-308.19100,-21.39100,-513.19300,206.10800,49.27400,-308.19100
2018-12-31,640.74900,131.10800,-293.69000,-162.58200,-43.81300,423.15700,-176.59200,190.80200,620.19900,-563.92400,-6.63700,4.26200,-63.77000,-59.50800,-84.17500,-714.24400,290.03800,290.03800,-24.75000,-24.75000,-254.95100,-17.74000,-7.40300,-132.86900,36.59100,-254.95100
2017-12-31,549.09400,112.95600,-377.35100,-264.39500,-67.75200,442.69000,-41.09500,359.70200,710.88300,-351.75800,-70.57000,-4.37200,-181.30270,-185.67470,274.53900,-333.46400,6.96300,6.96300,-47.80700,-47.80700,-188.19900,-6.04300,-235.08600,155.18600,40.49000,-188.19900
2016-12-31,601.91600,86.05100,-318.55100,-232.50000,-60.40300,721.87900,-272.00000,432.10800,848.37600,-349.95200,-53.45100,20.99200,-971.22070,-950.22870,559.14400,-794.48800,313.28200,313.28200,-132.39200,-132.39200,-183.99900,-3.82300,-6.93200,31.65400,37.17400,-183.99900
2015-12-31,503.69400,85.13900,-74.75600,10.38300,-60.94200,540.38400,-68.96300,430.90700,881.30400,-286.22100,-7.31200,-22.66600,-80.89700,-103.56300,226.33300,-170.76300,-272.03000,-272.03000,-223.65200,-223.65200,-58.03400,-1.60200,-555.31800,89.19000,32.12300,-58.03400
2014-12-31,648.88400,88.83600,-326.90200,-238.06600,-104.17400,654.44300,-127.05100,382.28300,734.84700,88.60600,-65.42100,32.61700,-970.82300,-938.20600,106.71000,-808.31100,350.31200,350.31200,-238.93300,-238.93300,-181.48900,0.33700,-69.77300,-165.29700,28.06800,-181.48900
2013-12-31,499.92500,103.09000,-103.81500,-0.72500,-138.02700,695.16200,-233.71100,277.81100,819.79800,-170.50200,-56.87800,-26.15500,-24.27490,-50.42990,-267.55400,-545.36400,-118.56700,-118.56700,-166.42000,-166.42000,-52.71700,7.44200,-330.26200,-65.93200,23.78400,-52.71700
2012-12-31,510.59200,103.41900,-247.42600,-144.00700,-228.75600,686.74900,-257.04800,206.85900,675.45800,-296.94200,-42.77900,-25.79900,-362.70190,-388.50090,-46.84600,-775.06800,369.29100,369.29100,-120.00300,-120.00300,-183.94700,31.85100,97.19200,-6.07200,26.76300,-183.94700
2011-12-31,391.21100,88.01200,-53.28500,34.72700,-122.46800,564.25700,-207.71700,234.07200,670.27900,-141.87200,-261.99200,-16.19400,237.52080,221.32680,-21.73700,-204.27400,-1.31000,-1.31000,21.96300,-165.20000,-43.25300,14.55000,-195.21300,268.79000,27.17500,-43.25300
2010-12-31,446.40500,82.86700,82.85800,165.72500,-41.16700,-100.33100,-38.83000,-180.32800,451.31600,-49.60500,,-0.29700,117.91090,117.61390,-30.66200,37.34700,146.34500,146.34500,-453.27700,-453.27700,-49.34800,-2.79500,-359.07500,127.52200,27.40700,-49.34800
2009-12-31,309.05700,78.87500,177.04500,255.92000,17.15900,-15.33800,-374.43100,-372.61000,316.05400,-30.45500,-33.81200,144.02300,-1097.61600,-953.59320,-98.37400,-1116.23400,322.42400,322.42400,-141.71800,-141.71800,-28.84300,21.52200,173.38500,-619.40500,24.46500,-28.84300
