,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,1423.96000,679.54200,224.83880,904.38070,-503.36500,94.59900,64.10200,-1.99500,-479.90300,1629.08800,-260.14000,,-173.58200,,-100.72000,-100.72000,-298.01300,-832.45500,189.54200,,189.54200,-1888.25000,-1888.25000,-67.38500,-1766.09300,-1134.93200,160.32500
2021-12-31,1841.91500,534.18600,-156.27350,377.91240,-765.95900,-54.65800,104.74900,729.70300,262.12800,2364.17800,-209.85100,,-781.48900,212.72200,-220.00100,-7.27900,-282.27800,-1280.89700,187.82100,,187.82100,-407.46700,-407.46700,-270.98500,-490.63100,500.53400,184.93400
2020-12-31,755.86800,673.10900,-53.94810,619.16100,371.00900,-105.61900,105.49100,-100.14200,444.38700,1830.77900,-266.57500,,-27.84800,-402.50000,,-402.50000,-47.16200,-744.08500,-433.80400,,-433.80400,-93.86300,-93.86300,304.91100,-222.75600,945.50200,60.39100
2019-12-31,1291.45000,537.67300,-40.70840,496.96460,-821.13400,31.42000,306.67700,244.89500,-512.57800,1223.38000,-293.51400,,-355.92600,,,,-71.58400,-721.02400,-103.99290,,-103.99290,-163.56300,-163.56300,-4.39300,-271.94900,229.80100,127.73800
2018-12-31,1065.94800,487.16300,-91.40410,395.75890,-773.36100,-4.58600,273.78200,270.37100,-280.86800,1131.24900,-227.80300,,-322.57300,,,,-10.30800,-560.68400,-305.00880,,-305.00880,-190.42000,-190.42000,-11.17100,-506.60000,39.12500,128.17100
2017-12-31,703.57600,416.89700,-144.48030,272.41670,-534.19000,2.47200,159.14500,217.26100,-47.16100,894.41100,-178.04200,,-118.42700,,-3.48700,-3.48700,-2.64400,-302.60000,-551.87600,,-551.87600,-29.54900,-29.54900,-46.31700,-627.74200,-6.59300,93.08700
2016-12-31,585.17000,377.86200,-185.07740,192.78460,-336.34200,,15.38200,229.51900,-97.77500,616.98500,-191.20500,,-21.07700,,41.71600,41.71600,20.04200,-150.52400,-149.29490,,-149.29490,-27.42600,-27.42600,-43.95600,-220.67700,218.24500,63.48400
2015-12-31,558.87700,326.40700,-249.49610,76.91090,-230.30700,,177.56700,78.06000,68.40500,651.89700,-139.46400,,-1582.76900,2.28500,3.58400,5.86900,97.40500,-1618.95900,851.55690,,851.55690,-24.52300,-24.52300,-37.48600,789.54800,-200.48100,74.70900
2014-12-31,513.50300,278.25600,-212.69900,65.55700,-307.97900,47.27600,31.52600,372.79800,100.42700,661.78000,-171.24200,25.54100,-147.05700,-1.67100,66.31700,64.64600,76.55600,-151.55600,-183.11400,,-183.11400,-10.48200,-10.48200,-38.47300,-232.06900,248.97200,59.75700
2013-12-31,348.79500,327.74700,-110.10700,217.64000,-76.94600,168.13300,40.20000,62.27600,196.74000,745.10800,-156.35800,32.01600,-504.14700,4.57700,110.68200,115.25900,48.23600,-464.99400,-704.38890,,-704.38890,-10.84800,-10.84800,-151.04400,-866.28100,-597.38500,48.42900
2012-12-31,304.78700,200.24900,-65.03000,135.21900,-142.78600,-0.75900,43.47500,-15.53700,-143.33600,291.08100,-150.23200,40.20600,-52.57800,-4.60400,54.62400,50.02000,-85.08700,-197.67100,-90.55900,,-90.55900,20.32400,20.32400,-30.45400,-100.68900,-3.88500,51.71200
2011-12-31,290.32500,124.38300,-24.60300,99.78000,-123.66900,84.73100,-62.85000,84.08200,-22.59700,361.21900,-147.98000,27.03500,-630.68500,-3.80200,216.20500,212.40300,58.97200,-480.25500,833.57520,,833.57520,7.13600,7.13600,-129.38600,711.32500,586.60800,44.32700
2010-12-31,156.00900,137.97500,-1.95300,136.02200,-180.12900,26.45700,45.14500,289.24800,322.81100,616.58700,-68.46400,28.94400,-70.39000,,59.95300,59.95300,-12.54600,-62.50300,-768.95290,-6.04800,-775.00090,2.40100,2.40100,-11.62200,-784.22200,-234.98300,46.80100
2009-12-31,-27.63800,137.85700,98.71900,236.57600,-13.37900,2.94600,-11.30600,-46.45900,4.07800,213.64500,-28.20000,12.28300,-30.67000,,-23.24800,-23.24800,-49.52700,-119.36200,58.03800,-4.31000,53.72800,455.61600,455.61600,-32.57600,476.76800,582.73400,37.92500
