,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-09-30,3230.00000,1039.00000,-832.00000,207.00000,-214.00000,-469.00000,122.00000,-65.00000,-515.00000,2922.00000,-531.00000,-5101.00000,438.00000,438.00000,-140.00000,-5334.00000,2453.00000,1238.00000,3691.00000,-500.00000,-500.00000,-1223.00000,80.00000,2048.00000,-550.00000,144.00000,-1223.00000
2021-09-30,2327.00000,969.00000,76.00000,1045.00000,-165.00000,-126.00000,370.00000,-99.00000,203.00000,3575.00000,-581.00000,-1577.00000,,,38.00000,-2120.00000,-308.00000,-504.00000,-812.00000,-500.00000,-500.00000,-1210.00000,100.00000,-2422.00000,-961.00000,224.00000,-1210.00000
2020-09-30,1990.00000,854.00000,91.00000,945.00000,207.00000,-6.00000,-196.00000,33.00000,148.00000,3083.00000,-538.00000,-126.00000,,,-76.00000,-740.00000,1730.00000,-90.00000,1640.00000,-942.00000,-942.00000,-1209.00000,2.00000,-509.00000,1821.00000,110.00000,-1209.00000
2019-09-30,2328.00000,822.00000,6.00000,828.00000,51.00000,-87.00000,-37.00000,-87.00000,-150.00000,3006.00000,-594.00000,-455.00000,,,-125.00000,-1174.00000,1035.00000,-6.00000,1029.00000,-1250.00000,-1250.00000,-1209.00000,39.00000,-1391.00000,401.00000,120.00000,-1209.00000
2018-09-30,2224.00000,758.00000,-7.00000,751.00000,-175.00000,17.00000,115.00000,-42.00000,-83.00000,2892.00000,-617.00000,-2002.00000,,,-101.00000,-2720.00000,-241.00000,343.00000,102.00000,-1000.00000,-1000.00000,-1229.00000,35.00000,-2092.00000,-1969.00000,216.00000,-1229.00000
2017-09-30,1550.00000,636.00000,-434.00000,202.00000,-25.00000,32.00000,135.00000,-12.00000,160.00000,1912.00000,-476.00000,-2951.00000,,,4941.00000,1514.00000,-254.00000,-1725.00000,-1979.00000,-400.00000,-400.00000,-1239.00000,27.00000,-3591.00000,-120.00000,110.00000,-1239.00000
2016-09-30,1664.00000,568.00000,556.00000,1124.00000,162.00000,58.00000,-22.00000,-4.00000,93.00000,2881.00000,-447.00000,-132.00000,,,-47.00000,-626.00000,-254.00000,56.00000,-198.00000,-601.00000,-601.00000,-1227.00000,-19.00000,-2045.00000,128.00000,,-1227.00000
2015-09-30,2733.00000,573.00000,-596.00000,-23.00000,241.00000,-11.00000,-256.00000,-140.00000,-181.00000,2529.00000,-588.00000,1488.00000,,,-309.00000,591.00000,496.00000,345.00000,841.00000,-2501.00000,-2501.00000,-1269.00000,-19.00000,-2948.00000,-95.00000,,-1269.00000
2014-09-30,2184.00000,569.00000,780.00000,1349.00000,-163.00000,-103.00000,232.00000,61.00000,159.00000,3692.00000,-651.00000,-247.00000,,,-261.00000,-1159.00000,-328.00000,622.00000,294.00000,-1048.00000,-1048.00000,-1210.00000,-595.00000,-2559.00000,-126.00000,,-1210.00000
2013-09-30,2066.00000,1315.00000,226.00000,1541.00000,-84.00000,83.00000,14.00000,-32.00000,42.00000,3649.00000,-678.00000,-16.00000,,,-95.00000,-789.00000,-25.00000,374.00000,349.00000,-1110.00000,-1110.00000,-1181.00000,9.00000,-1933.00000,908.00000,,-1181.00000
2012-09-30,2024.00000,1351.00000,18.00000,1369.00000,-536.00000,-49.00000,143.00000,19.00000,-340.00000,3053.00000,-665.00000,-62.00000,,,-79.00000,-806.00000,-258.00000,348.00000,90.00000,-797.00000,-797.00000,-1171.00000,-21.00000,-1899.00000,315.00000,,-1171.00000
2011-09-30,2530.00000,886.00000,118.00000,1004.00000,-475.00000,12.00000,194.00000,41.00000,-301.00000,3233.00000,-647.00000,-129.00000,,,-72.00000,-848.00000,-56.00000,185.00000,129.00000,-935.00000,-935.00000,-1039.00000,-42.00000,-1887.00000,460.00000,,-1039.00000
2010-09-30,2217.00000,816.00000,-50.00000,766.00000,-341.00000,-160.00000,498.00000,-69.00000,309.00000,3292.00000,-524.00000,-1997.00000,,,4.00000,-2517.00000,-82.00000,398.00000,316.00000,-100.00000,-100.00000,-1009.00000,67.00000,-726.00000,32.00000,,-1009.00000
2009-09-30,1771.00000,727.00000,-32.00000,695.00000,1011.00000,580.00000,-709.00000,42.00000,620.00000,3086.00000,-531.00000,-772.00000,,,-6.00000,-1309.00000,568.00000,-684.00000,-116.00000,-718.00000,-718.00000,-998.00000,-116.00000,-1948.00000,-217.00000,,-998.00000
