,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,511.64300,657.33200,191.11500,848.44700,,,-229.77800,-229.77800,1130.31200,-365.57200,-1.15200,-195.08700,-78.08400,-78.08400,22.70400,-617.19100,-32.31930,-15.65700,-47.97630,-127.76200,-127.76200,-41.05800,-94.27500,-311.07100,201.32700,105.60000,-41.05800
2021-12-31,491.98300,429.30000,118.78900,548.08890,,,-457.68200,-457.68200,582.39000,-336.66600,-0.86700,-2451.70300,-139.02100,-139.02100,29.64400,-2898.61300,2534.33900,11.39100,2545.73000,-66.68700,-66.68700,-34.02200,-84.14400,2360.87700,45.07900,88.25900,-34.02200
2020-12-31,451.95900,307.08600,44.06900,351.15500,,,312.86300,312.86300,1115.97700,-224.66200,-0.52200,-273.78800,-14.85600,-14.85600,14.50500,-499.32300,-216.95630,-4.84600,-221.80230,-247.24900,-247.24900,-28.89100,-103.42300,-601.36500,17.06300,91.64100,-28.89100
2019-12-31,406.81500,282.06800,-5.52700,276.54100,,,-156.80500,-156.80500,526.55100,-230.62000,-0.50800,-387.96600,-47.05600,-47.05600,48.55400,-617.59600,270.28610,-28.29200,241.99410,-20.09200,-20.09200,-23.23600,-20.97900,177.68700,86.48900,52.01300,-23.23600
2018-12-31,296.00700,247.78300,215.53200,463.31500,,,-400.53300,-400.53300,358.78900,-261.81500,-14.44800,-94.91700,-36.90900,-36.90900,5.41900,-402.67000,414.02420,33.79000,447.81420,-443.15200,-443.15200,,-21.23200,-16.57000,-60.51900,52.48400,
2017-12-31,318.22500,217.33400,78.09600,295.43000,,,-241.76400,-241.76400,371.89100,-221.30300,,-361.21700,-56.52800,-56.52800,66.96400,-572.08400,302.57300,-2.78300,299.79000,-49.97500,-49.97500,,-22.05100,227.76400,29.36500,46.44800,
2016-12-31,200.09800,203.28100,36.03600,239.31700,,,-48.66600,-48.66600,390.74900,-190.58000,,-68.78800,-13.15000,-13.15000,8.13900,-264.37900,-123.17920,-1.95700,-125.13620,0.40100,0.40100,,-9.10100,-133.83600,-14.36100,42.84300,
2015-12-31,321.82400,198.94400,-114.22700,84.71700,,,222.10800,222.10800,628.64900,-183.79000,,-112.91400,-6.07400,-6.07400,-4.33500,-307.11300,410.95000,-0.29790,410.65200,-1605.98900,-1605.98900,,-32.50700,-1227.84400,-61.74400,36.93900,
2014-12-31,315.08200,176.45700,145.46400,321.92100,,,-389.26100,-389.26100,247.74200,-232.76800,,-262.21800,-3.12700,-3.12700,9.52700,-488.58600,41.76900,5.05600,46.82500,-92.30300,-92.30300,,-12.86900,-58.34700,-298.26200,37.44900,
2013-12-31,421.30900,145.77600,-134.71200,11.06400,-69.59900,5.98600,-17.45600,-61.81500,370.55800,-207.15700,,-283.83700,186.18500,186.18500,26.45000,-278.35900,-0.53300,,-0.53300,1.02800,1.02800,,-17.14600,-16.65100,94.07600,34.38100,
2012-12-31,322.65600,148.74900,32.62100,181.37000,-341.82500,26.43500,-144.94000,-337.18700,166.83900,-197.08300,,-68.72700,-53.75000,-53.75000,-1.54100,-321.10100,-0.05600,,-0.05600,2.38500,2.38500,,-17.67300,-15.34400,79.35200,25.99000,
2011-12-31,144.41600,128.39900,7.92300,136.32200,-270.24800,-13.58100,5.27900,-76.66000,204.07800,-153.14300,,-79.66000,-35.00000,-35.00000,-4.45500,-272.25800,-1.33700,,-1.33700,-148.68000,-148.68000,,-8.71600,-158.73300,-223.87200,19.48000,
2010-12-31,155.55700,127.02500,51.76000,178.78500,-17.48300,-16.59100,-65.20800,-116.78400,217.55800,-119.66900,,-130.25100,,,,-249.92000,-146.00500,,-146.00500,0.53400,0.53400,,-0.23400,-145.70500,-160.40800,20.64000,
2009-12-31,163.53500,112.74800,63.80900,176.55700,253.07000,7.53600,-53.79000,36.80600,376.89800,-155.91600,,36.23400,,,,-119.68200,2.01500,,2.01500,0.97500,0.97500,,-1.50900,1.48100,261.72800,19.87500,
