,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-06-30,856.30000,195.30000,168.40000,363.70000,-96.00000,-311.70000,86.40000,-29.40000,-366.80000,853.20000,-93.90000,,,-159.70000,-159.70000,-253.60000,98.50000,,98.50000,-1525.30000,-1525.30000,-264.40000,-86.90000,-1778.10000,-1217.90000,72.20000,-264.40000
2021-06-30,834.20000,218.70000,40.50000,259.20000,-9.60000,32.20000,307.30000,-239.90000,230.30000,1323.70000,-92.10000,,,1.10000,1.10000,-91.00000,-11.50000,-700.00000,-711.50000,61.20000,61.20000,,-15.70000,-666.00000,581.40000,64.10000,
2020-06-30,-652.10000,248.30000,891.10000,1139.40000,61.90000,-58.60000,-91.70000,0.50000,-80.30000,407.00000,-205.40000,,,249.70000,249.70000,44.30000,700.00000,,700.00000,-295.70000,-295.70000,-380.30000,-18.10000,5.90000,457.10000,53.10000,-380.30000
2019-06-30,643.40000,268.20000,153.40000,421.60000,25.70000,-104.70000,-39.80000,-125.00000,-272.60000,792.40000,-274.20000,,-43.50000,-256.50000,-256.50000,-574.20000,-0.70000,,-0.70000,-64.70000,-64.70000,-390.70000,-29.50000,-485.60000,-274.20000,84.80000,-390.70000
2018-06-30,397.50000,260.30000,169.70000,430.00000,-5.60000,30.40000,-77.30000,238.60000,170.00000,997.50000,-267.40000,,-2375.80000,478.40000,478.40000,-2164.80000,-0.80000,,-0.80000,165.70000,165.70000,-384.10000,-31.50000,-250.70000,-1429.50000,81.30000,-384.10000
2017-06-30,591.00000,212.80000,146.50000,359.30000,-29.40000,-20.00000,8.40000,-5.40000,-96.50000,853.80000,-157.10000,1.80000,,748.30000,748.30000,593.00000,712.20000,,712.20000,70.40000,70.40000,-378.00000,-35.10000,369.50000,1813.90000,73.60000,-378.00000
2016-06-30,460.50000,210.60000,50.20000,260.80000,-28.30000,40.70000,-48.40000,43.20000,37.30000,758.60000,-396.40000,-8.90000,-165.90000,-238.80000,-238.80000,-810.00000,-15.00000,,-15.00000,29.10000,29.10000,-374.50000,-24.50000,-384.90000,-432.80000,86.80000,-374.50000
2015-06-30,402.40000,191.80000,174.20000,366.00000,0.30000,29.20000,64.40000,11.90000,169.00000,937.40000,-199.30000,-10.50000,-658.70000,255.60000,255.60000,-612.90000,896.20000,-140.00000,756.20000,36.50000,36.50000,-371.80000,-31.60000,389.30000,699.90000,88.90000,-371.80000
2014-06-30,781.30000,189.40000,177.10000,366.50000,-23.70000,-64.10000,-30.20000,-58.50000,-162.40000,985.40000,-219.60000,,-91.00000,-397.10000,-397.10000,-707.70000,-0.50000,140.00000,139.50000,-476.30000,-476.30000,-376.50000,-34.80000,-748.10000,-470.90000,95.10000,-376.50000
2013-06-30,1034.40000,163.00000,113.60000,276.60000,-14.20000,-38.60000,30.40000,26.50000,103.00000,1414.00000,-241.40000,,-147.20000,-181.90000,-181.90000,-570.50000,-22.30000,,-22.30000,-319.60000,-319.60000,-339.70000,-7.50000,-689.10000,145.60000,120.50000,-339.70000
2012-06-30,1038.91000,132.90900,67.83400,200.74300,-26.56500,-71.68000,36.49400,-40.39300,-17.96400,1221.68900,-184.30900,,-53.23500,-21.88200,-21.88200,-259.42600,-0.79500,,-0.79500,-514.92900,-514.92900,-260.27600,34.11900,-741.88100,217.43300,107.51100,-260.27600
2011-06-30,880.80000,125.10600,89.19400,214.30000,-31.83100,-64.72000,9.74200,-28.75300,-61.82900,1033.27100,-147.74400,,-9.55900,97.67200,97.67200,-59.63100,-0.74600,,-0.74600,-735.84300,-735.84300,-178.11500,39.57800,-875.12600,103.31200,95.83000,-178.11500
2010-06-30,734.94000,126.74400,25.52800,152.27200,4.34400,-33.87800,1.01900,64.11700,103.66500,990.87700,-81.11600,,-1.20000,-99.92800,-99.92800,-182.24400,-0.67900,-7.49600,-8.17500,-936.70200,-936.70200,-94.32400,19.30200,-1019.89900,-203.89200,81.42000,-94.32400
2009-06-30,623.36900,123.01400,93.13300,216.14700,3.30900,4.07000,-37.01700,31.36600,-30.36400,809.15200,-240.32900,,-24.40000,,,-264.72900,7.21100,,7.21100,-446.42300,-446.42300,,-0.87100,-440.08300,101.45700,67.54200,0.00000
