,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-09-30,867.00000,251.00000,90.00000,341.00000,-190.00000,-134.00000,58.00000,-56.00000,-260.00000,948.00000,-119.00000,-434.00000,,,,-553.00000,-275.00000,,-275.00000,-780.00000,-780.00000,-1091.00000,-2.00000,-2148.00000,-1786.00000,153.00000,-1091.00000
2021-09-30,681.00000,238.00000,118.00000,356.00000,-78.00000,79.00000,3.00000,-33.00000,-124.00000,913.00000,-105.00000,-704.00000,,,24.00000,-785.00000,-125.00000,,-125.00000,128.00000,128.00000,-73.00000,,-70.00000,70.00000,129.00000,-73.00000
2020-09-30,700.00000,280.00000,120.00000,400.00000,352.00000,-62.00000,-62.00000,-16.00000,113.00000,1213.00000,-105.00000,904.00000,,,,799.00000,3072.00000,,3072.00000,97.00000,97.00000,-1928.00000,-11.00000,1230.00000,3250.00000,93.00000,-1928.00000
2019-09-30,892.00000,293.00000,40.00000,333.00000,-82.00000,-36.00000,-1.00000,-27.00000,-210.00000,1015.00000,-102.00000,-3787.00000,,,,-3889.00000,3853.00000,49.00000,3902.00000,82.00000,82.00000,-1712.00000,-1.00000,2271.00000,-606.00000,93.00000,-1712.00000
2018-09-30,957.00000,148.00000,-82.00000,66.00000,-44.00000,-18.00000,18.00000,-5.00000,-1.00000,1022.00000,-73.00000,-668.00000,,,57.00000,-684.00000,1095.00000,,1095.00000,58.00000,58.00000,-56.00000,-11.00000,1086.00000,1422.00000,58.00000,-56.00000
2017-09-30,596.88700,179.27500,116.06700,295.34200,-54.66900,5.12700,-10.35400,-10.56400,-103.49600,788.73300,-71.01300,-215.99000,,,,-287.00300,1424.61400,99.47100,1524.08500,-368.64400,-368.64400,-2581.55200,-17.57100,-1443.68200,-936.43300,45.52400,-2581.55200
2016-09-30,586.41400,137.88100,69.90800,207.78900,-80.11400,-2.07300,-6.65700,-4.91900,-110.90500,683.29800,-43.98200,-1399.06400,,,,-1443.04600,1816.69000,,1816.69000,-177.64300,-177.64300,-3.00000,-3.58000,1632.46700,872.96100,48.30600,-3.00000
2015-09-30,447.21200,109.46000,-11.41200,98.04800,-25.41800,-25.97400,13.48000,-12.39200,-24.32200,520.93800,-54.87100,-1624.27800,,,,-1679.14900,935.93900,,935.93900,61.67400,61.67400,-3.36500,60.69900,1054.94700,-105.51500,31.50000,-3.36500
2014-09-30,306.91000,110.32000,96.02500,206.34500,-24.30900,-8.39200,-2.41500,-5.70300,27.96700,541.22200,-34.14600,-295.49200,,,,-329.63800,1377.63200,199.16400,1576.79600,-133.11400,-133.11400,-1451.39100,51.68200,43.97300,254.80800,26.33200,-1451.39100
2013-09-30,302.78900,85.44800,10.35000,95.79800,-25.00600,-15.28900,23.51000,1.15500,71.61800,470.20500,-35.53500,-483.25700,16.35000,16.35000,,-502.44200,2059.81000,,2059.81000,21.53400,21.53400,-1991.35000,66.20100,156.19500,124.21600,48.88400,-1991.35000
2012-09-30,324.96900,80.77100,-3.60400,77.16700,-1.95700,-0.41600,-3.62000,-10.56400,11.74900,413.88500,-25.24600,-851.04600,,,,-876.29200,465.06600,,465.06600,14.86400,14.86400,-3.29900,50.55500,527.18600,64.34100,22.15100,-3.29900
2011-09-30,172.13400,70.30200,50.59600,120.89800,-14.99300,-9.66100,4.48400,-2.69200,-32.64600,260.38600,-18.02600,-1650.36300,,,271.36100,-1397.02800,1248.71300,,1248.71300,9.20800,9.20800,-2.81100,23.41100,1278.52100,142.07100,12.57400,-2.81100
2010-09-30,163.44500,37.74300,-8.85500,28.88800,-17.72100,2.89300,4.93300,0.51300,4.97100,197.30400,-10.00200,-166.55700,,,,-176.55900,404.24800,,404.24800,6.36100,6.36100,-404.86800,17.45900,23.20000,43.94500,6.70400,-404.86800
2009-09-30,162.90200,30.77200,5.33500,36.10700,-0.34600,-4.51800,8.80800,-2.33500,-1.89700,197.11200,-13.15500,-155.23300,,,,-168.38800,,,,-6.89700,-6.89700,,9.27800,2.38100,31.10500,5.81300,
