,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,2501.00000,5480.00000,542.00000,6022.00000,-1349.00000,3941.00000,1165.00000,3757.00000,9808.00000,-809.00000,-1033.00000,-48.00000,-114.00000,-3.00000,-117.00000,-953.00000,-2960.00000,-1271.00000,-170.00000,-1441.00000,29.00000,29.00000,-4364.00000,-1047.00000,-6823.00000,-55.00000,-4364.00000
2021-12-31,-265.00000,6530.00000,141.00000,6671.00000,-961.00000,1577.00000,1405.00000,2021.00000,5963.00000,-1078.00000,-522.00000,-9263.00000,96.00000,601.00000,697.00000,-892.00000,-11058.00000,8170.00000,-516.00000,7654.00000,29.00000,29.00000,-3856.00000,-178.00000,3649.00000,-1508.00000,-3856.00000
2020-12-31,3916.00000,3149.00000,-332.00000,2817.00000,-739.00000,-621.00000,1721.00000,361.00000,4799.00000,-855.00000,-694.00000,-822.00000,745.00000,1262.00000,2007.00000,79.00000,-285.00000,1359.00000,81.00000,1440.00000,30.00000,30.00000,-3572.00000,-101.00000,-2203.00000,2323.00000,-3572.00000
2019-12-31,1548.00000,3762.00000,-103.00000,3659.00000,-898.00000,-316.00000,868.00000,-346.00000,2969.00000,-942.00000,595.00000,-709.00000,194.00000,5.00000,199.00000,200.00000,-657.00000,-1000.00000,-702.00000,-1702.00000,3525.00000,3525.00000,-3592.00000,4.00000,-1765.00000,552.00000,-3592.00000
2018-12-31,1993.00000,3753.00000,-1276.00000,2477.00000,-523.00000,-13.00000,-103.00000,-639.00000,2618.00000,-1031.00000,2010.00000,-349.00000,405.00000,-78.00000,327.00000,6.00000,963.00000,1571.00000,-98.00000,1473.00000,34.00000,34.00000,-3484.00000,-67.00000,-2044.00000,1499.00000,-3484.00000
2017-12-31,2227.00000,3036.00000,-483.00000,2553.00000,83.00000,-548.00000,415.00000,-50.00000,3578.00000,-1243.00000,1082.00000,-1450.00000,-345.00000,-26.00000,-371.00000,-346.00000,-2328.00000,238.00000,322.00000,560.00000,43.00000,43.00000,-3519.00000,-20.00000,-2936.00000,-1752.00000,-3519.00000
2016-12-31,3552.00000,2357.00000,-1601.00000,756.00000,1610.00000,-343.00000,-341.00000,926.00000,4145.00000,-1364.00000,559.00000,-2564.00000,-166.00000,-227.00000,-393.00000,-207.00000,-3969.00000,2491.00000,-319.00000,2172.00000,47.00000,47.00000,-3561.00000,18.00000,-1324.00000,-1127.00000,-3561.00000
2015-12-31,3069.00000,2852.00000,-698.00000,2154.00000,152.00000,-315.00000,114.00000,-49.00000,3324.00000,-1281.00000,-330.00000,-3025.00000,283.00000,36.00000,319.00000,78.00000,-4239.00000,5044.00000,-672.00000,4372.00000,43.00000,43.00000,-3486.00000,-51.00000,878.00000,-113.00000,-3486.00000
2014-12-31,1246.00000,3282.00000,1756.00000,5038.00000,311.00000,108.00000,2089.00000,2508.00000,7058.00000,-854.00000,-1740.00000,-4461.00000,34.00000,-71.00000,-37.00000,60.00000,-7032.00000,169.00000,484.00000,653.00000,279.00000,279.00000,-3521.00000,-116.00000,-2705.00000,-2831.00000,-3521.00000
2013-12-31,3267.00000,4583.00000,703.00000,5286.00000,-383.00000,135.00000,414.00000,166.00000,7400.00000,-673.00000,-1281.00000,-1158.00000,130.00000,-53.00000,77.00000,146.00000,-2889.00000,,-32.00000,-32.00000,482.00000,482.00000,-3461.00000,-36.00000,-3047.00000,1399.00000,-3461.00000
2012-12-31,7646.00000,2518.00000,78.00000,2596.00000,755.00000,-150.00000,-1311.00000,-706.00000,6948.00000,-473.00000,-3947.00000,-1187.00000,3619.00000,-3.00000,3616.00000,132.00000,-1859.00000,230.00000,670.00000,900.00000,-2206.00000,-2206.00000,-3665.00000,48.00000,-4923.00000,162.00000,-3665.00000
2011-12-31,12283.00000,2550.00000,-1568.00000,982.00000,-1108.00000,-256.00000,467.00000,-897.00000,7821.00000,-737.00000,-458.00000,,-2743.00000,-11.00000,-2754.00000,1927.00000,-2022.00000,,46.00000,46.00000,-5606.00000,-5606.00000,-3764.00000,3.00000,-9321.00000,-3547.00000,-3764.00000
2010-12-31,10977.00000,2741.00000,54.00000,2795.00000,10.00000,88.00000,-16.00000,82.00000,10680.00000,-708.00000,-1180.00000,-348.00000,-125.00000,-29.00000,-154.00000,164.00000,-2226.00000,-1741.00000,-8.00000,-1749.00000,-2110.00000,-2110.00000,-3361.00000,-114.00000,-7334.00000,1153.00000,-3361.00000
2009-12-31,10807.00000,2087.00000,,2087.00000,,,,1329.00000,11739.00000,-824.00000,,0.00000,,,-1399.00000,-253.00000,-2476.00000,,-137.00000,-650.00000,,135.00000,-2977.00000,,-3629.00000,5705.00000,
