,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-01-31,975.32200,224.20600,60.44900,284.65500,,-323.60900,117.65500,90.32100,129.13100,1389.10800,-394.50200,,-33.38900,-427.89100,-812.60200,-812.60200,-32.38500,-844.98700,109.35400,69.13700
2021-01-31,588.91300,185.47800,76.49400,261.97200,,-96.54800,82.66300,-54.73400,-47.54900,803.33600,-229.22600,-452.58100,-13.72500,-695.53200,-63.66300,-63.66300,-17.12500,-80.78800,57.01200,50.79700
2020-01-31,645.59600,161.93300,55.85800,217.79100,,-117.59100,-14.81000,-32.21100,-194.07100,669.31600,-283.04800,,4.64000,-278.40800,-173.39900,-173.39900,-3.77400,-177.17300,212.18500,45.59300
2019-01-31,483.80100,122.48400,23.61900,146.10300,,-85.94200,71.96200,76.11500,112.87500,742.77900,-225.80700,,-16.98700,-242.79400,-598.34000,-598.34000,8.12600,-590.21400,-109.18100,28.56800
2018-01-31,258.66200,108.23500,24.23900,132.47400,,-21.17800,-1.55100,54.64200,98.20100,489.33700,-157.86400,,-15.52800,-173.39200,-100.26100,-100.26100,2.39900,-97.86200,255.65500,17.61000
2017-01-31,303.38100,87.69700,-5.28900,82.40800,,-5.40300,14.08000,11.78200,0.60300,386.39200,-149.51100,,,-149.51100,-29.32700,-29.32700,2.71600,-26.61100,233.36400,16.82200
2016-01-31,266.04700,73.38300,19.05300,92.43600,19.56300,-83.28600,1.24700,34.70800,-59.74300,298.74000,-143.48700,,,-143.48700,-269.48900,-269.48900,-4.20400,-273.69300,-162.99700,10.35600
2015-01-31,239.03300,58.36400,8.47500,66.83900,3.78800,-26.80600,-2.19800,29.19000,8.57700,314.44900,-119.73300,,,-119.73300,-144.51800,-144.51800,-4.55900,-149.07700,-34.17000,8.26900
2014-01-31,279.54700,49.06800,-0.20400,48.86400,,-38.50700,11.62700,-3.10000,-50.07200,278.33900,-106.40800,,,-106.40800,8.17100,8.17100,0.73600,8.90700,108.47000,10.08700
2013-01-31,271.43100,43.00000,-2.06000,40.94000,,-51.22200,-13.48100,1.50200,-32.25800,280.11300,-93.22900,,,-93.22900,11.01400,11.01400,-16.50500,-5.49100,180.74200,15.63700
2012-01-31,184.96400,30.25900,2.12200,32.38100,,-46.07200,7.86100,27.40500,-13.73000,203.61500,-122.31100,,,-122.31100,9.61400,9.61400,5.75000,15.36400,93.15100,10.34000
2011-01-31,122.19700,24.61400,9.21800,33.83200,,-7.95400,-5.16700,16.56900,23.96600,179.99500,-42.83900,,,-42.83900,5.83600,5.83600,7.86300,13.69900,156.71300,7.27300
2010-01-31,58.28100,20.83200,8.05700,28.88900,-3.97400,11.29600,6.02500,16.41400,30.79000,117.96000,-15.49700,,-0.81000,-16.30700,1.20900,1.20900,-3.85800,-2.64900,102.77600,5.61600
2009-01-31,39.36300,15.82300,-5.38500,10.43800,-1.17300,-19.78200,0.83200,5.02100,-3.36300,46.43800,-43.93200,,-2.86300,-46.79500,1.43600,1.43600,12.02400,13.46000,4.25200,6.53200
