,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1513.00000,319.00000,344.00000,663.00000,-231.00000,,37.00000,154.00000,44.00000,2220.00000,-91.00000,-135.00000,,-4769.00000,-4769.00000,1.00000,-4994.00000,,,47.00000,47.00000,-367.00000,-214.00000,-534.00000,-3352.00000,462.00000,-367.00000
2021-12-31,2699.00000,440.00000,554.00000,994.00000,71.00000,,-7.00000,-1077.00000,-1279.00000,2414.00000,-80.00000,,,32.00000,32.00000,-11.00000,-59.00000,,,90.00000,90.00000,-365.00000,-246.00000,-521.00000,1786.00000,508.00000,-365.00000
2020-12-31,2197.00000,446.00000,217.00000,663.00000,-194.00000,,-10.00000,-250.00000,-608.00000,2252.00000,-78.00000,,,-100.00000,-100.00000,,-178.00000,944.00000,944.00000,170.00000,170.00000,-316.00000,-87.00000,711.00000,2854.00000,218.00000,-316.00000
2019-12-31,1503.00000,553.00000,-118.00000,435.00000,182.00000,,31.00000,-243.00000,-107.00000,1831.00000,-116.00000,,153.00000,-65.00000,88.00000,6.00000,-22.00000,,,105.00000,105.00000,-283.00000,-59.00000,-237.00000,1569.00000,166.00000,-283.00000
2018-12-31,1848.00000,998.00000,227.00000,1225.00000,-114.00000,,-65.00000,-550.00000,-1283.00000,1790.00000,-131.00000,,,-93.00000,-93.00000,-6.00000,-230.00000,-1740.00000,-1740.00000,99.00000,99.00000,-259.00000,-120.00000,-2020.00000,-491.00000,209.00000,-259.00000
2017-12-31,273.00000,1199.00000,80.00000,1279.00000,-165.00000,-26.00000,85.00000,-178.00000,661.00000,2213.00000,-155.00000,,,-55.00000,-55.00000,3.00000,-207.00000,-510.00000,-510.00000,178.00000,178.00000,-226.00000,-66.00000,-624.00000,1458.00000,176.00000,-226.00000
2016-12-31,966.00000,1171.00000,276.00000,1447.00000,84.00000,32.00000,-50.00000,-407.00000,-258.00000,2155.00000,-136.00000,-4586.00000,,,,-7.00000,-4729.00000,774.00000,774.00000,106.00000,106.00000,-195.00000,-185.00000,500.00000,-2130.00000,147.00000,-195.00000
2015-12-31,892.00000,501.00000,108.00000,609.00000,-40.00000,-54.00000,-25.00000,-356.00000,-242.00000,1259.00000,-111.00000,-46.00000,,,,-3559.00000,-3716.00000,-250.00000,-250.00000,106.00000,106.00000,-170.00000,112.00000,-202.00000,-3025.00000,92.00000,-170.00000
2014-12-31,835.00000,353.00000,100.00000,453.00000,-177.00000,-2.00000,-12.00000,144.00000,43.00000,1331.00000,-107.00000,,,21.00000,21.00000,2.00000,-84.00000,-375.00000,-375.00000,175.00000,175.00000,-147.00000,-66.00000,-413.00000,438.00000,104.00000,-147.00000
2013-12-31,1010.00000,316.00000,273.00000,589.00000,198.00000,6.00000,7.00000,-610.00000,-335.00000,1264.00000,-74.00000,,,376.00000,376.00000,6.00000,308.00000,4744.00000,4744.00000,-5672.00000,-5672.00000,-216.00000,-79.00000,-1223.00000,451.00000,108.00000,-216.00000
2012-12-31,1149.00000,328.00000,125.00000,453.00000,-46.00000,-75.00000,-54.00000,-60.00000,-257.00000,1345.00000,-73.00000,,,-49.00000,-49.00000,-2.00000,-124.00000,,,-282.00000,-282.00000,-204.00000,-11.00000,-497.00000,794.00000,126.00000,-204.00000
2011-12-31,1085.00000,435.00000,178.00000,613.00000,13.00000,-42.00000,31.00000,-569.00000,-746.00000,952.00000,-72.00000,,323.00000,10.00000,333.00000,5.00000,266.00000,,,-623.00000,-623.00000,-194.00000,9.00000,-808.00000,353.00000,103.00000,-194.00000
2010-12-31,418.00000,517.00000,158.00000,675.00000,43.00000,124.00000,70.00000,-3.00000,283.00000,1376.00000,-97.00000,,-800.00000,580.00000,-220.00000,5.00000,-312.00000,,,-878.00000,-878.00000,-189.00000,14.00000,-1053.00000,44.00000,131.00000,-189.00000
2009-12-31,113.00000,628.00000,232.00000,860.00000,235.00000,21.00000,-18.00000,85.00000,210.00000,1183.00000,-69.00000,,-425.00000,46.00000,-379.00000,5.00000,-443.00000,,,-1028.00000,-1028.00000,,79.00000,-949.00000,-190.00000,156.00000,0.00000
