,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,807.79900,196.52000,131.61200,328.13200,-240.69600,308.09900,-34.50900,1101.42200,-108.05000,-9.50800,,,,-117.55800,-5.93100,-5.93100,-1021.51100,-1021.51100,,-1027.44200,-62.00300,90.56600
2021-12-31,793.56000,216.56700,161.46100,378.02800,-145.34600,164.98500,140.88200,1312.47000,-59.83400,-22.93900,,,2.30600,-80.46700,487.08500,487.08500,-1637.37400,-1637.37400,-7.32000,-1157.60900,48.01900,98.57000
2020-12-31,266.74500,237.72800,133.85800,371.58600,99.40900,53.59900,264.94700,903.27800,-83.88800,,,,,-83.88800,-201.46900,-201.46900,-158.21700,-158.21700,-56.53800,-416.22400,431.74700,62.54000
2019-12-31,233.29000,218.27600,92.64200,310.91800,-66.72900,142.57000,21.22800,565.43600,-149.01600,-25.98900,14.12000,14.12000,,-160.88500,-104.57900,-104.57900,-181.41300,-181.41300,,-285.99200,122.17300,69.00800
2018-12-31,122.45600,269.41600,22.24900,291.66500,-115.00300,116.80500,57.03700,471.15800,-126.87300,510.92400,,,,384.05100,-1010.97200,-1010.97200,-246.14300,-246.14300,,-1257.11500,-408.39500,66.17200
2017-12-31,3.27900,255.23300,-138.47100,116.76200,-368.51600,316.18100,134.47600,254.51700,-110.76500,-2641.78000,,,,-2752.54500,2620.56200,2620.56200,-29.56100,-29.56100,-51.17100,2539.83000,67.70400,78.94300
2016-12-31,193.58200,65.05100,41.51300,106.56400,-68.66100,77.70700,65.48600,365.63200,-49.86300,-48.19600,,,,-98.05900,-120.00000,-120.00000,-49.71100,-49.71100,-4.97500,-174.68600,87.24700,46.66100
2015-12-31,175.63500,48.64300,32.63300,81.27600,-44.47600,50.60300,88.65000,345.56100,-46.12800,-196.22900,,,,-242.35700,420.00000,420.00000,-501.55000,-501.55000,13.86000,-67.69000,7.67400,46.14900
2014-12-31,183.76600,42.05700,17.89300,59.95000,-76.42400,82.85800,103.06300,346.77900,-38.48600,-124.29100,,,,-162.77700,200.00000,200.00000,-424.23900,-424.23900,15.56900,-208.67000,-58.68800,38.84500
2013-12-31,182.80100,37.15200,26.00600,63.15800,-28.09700,55.87500,69.69500,315.65400,-36.49800,,,,,-36.49800,,,-175.69400,-175.69400,21.83900,-153.85500,124.13800,34.73500
2012-12-31,165.90300,31.77900,16.04700,47.82600,-38.61700,67.28300,66.08400,279.81300,-44.33700,-10.33600,,,,-54.67300,5.00000,5.00000,-98.87400,-98.87400,21.30400,-72.57000,157.11300,36.37800
2011-12-31,136.90200,34.35200,6.32800,40.68000,-58.88700,92.77400,77.98400,255.56600,-41.95400,,,,,-41.95400,-20.15600,-20.15600,-191.97500,-191.97500,25.57200,-186.55900,22.55800,32.86500
2010-12-31,96.28500,37.44100,11.66100,49.10200,-48.17700,48.64600,60.11200,205.49900,-21.69400,-12.15100,,,,-33.84500,-113.62700,-113.62700,-76.29300,-76.29300,18.36400,-171.55600,3.60700,32.63400
2009-12-31,82.96400,28.50300,28.67700,57.18000,25.34900,1.94200,21.79300,161.93700,-15.14200,-104.52300,,,,-119.66500,-87.25000,-87.25000,11.07800,11.07800,2.39200,-73.78000,-24.35500,26.06600
