,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2023-01-31,3498.00000,887.00000,427.00000,1314.00000,-124.00000,58.00000,-600.00000,-1.00000,-821.00000,4084.00000,-1457.00000,,-13.00000,,-13.00000,,-1470.00000,,,-1934.00000,-1934.00000,-1339.00000,-33.00000,-3306.00000,-750.00000,122.00000,-1339.00000
2022-01-31,3282.81500,1057.05000,206.39900,1263.44900,-61.45200,-1657.75300,-338.09100,-96.49900,-1473.57100,3057.48500,-1044.79400,,-1.59200,,-1.59200,,-1046.38600,-2975.51800,-2975.51800,-1946.85900,-1946.85900,-1251.83300,-25.54800,-6199.75800,-4242.80500,,-1251.83300
2021-01-31,90.47000,929.27700,165.33700,1094.61400,-71.09100,588.75600,2111.18900,142.79300,3419.64700,4561.88900,-568.02100,,-10.57600,,-10.57600,,-578.59700,3568.51500,3568.51500,9.68900,9.68900,-278.25600,-71.68600,3228.26200,7252.81800,,-278.25600
2020-01-31,3272.19300,992.26000,9.82100,1002.08100,-42.99800,-296.54100,29.33800,12.53300,-114.44200,4066.54000,-1223.11600,,-16.11800,-230.15600,-246.27400,7.41900,-1461.97100,,,-1319.88600,-1319.88600,-1071.56200,-23.42300,-2414.87100,186.52300,,-1071.56200
2019-01-31,3059.79800,923.21200,-34.81900,888.39310,-23.53200,-465.42900,198.21200,220.89000,155.97600,4088.45900,-1125.13900,,474.93500,,474.93500,26.65200,-623.55200,,,-2151.75600,-2151.75600,-922.59600,-23.12900,-3097.48100,271.75200,,-922.59600
2018-01-31,2607.94800,825.20700,-27.20700,797.99990,-62.35800,-450.37700,205.11100,-317.85000,-385.44400,3025.62400,-1057.61700,,44.88100,,44.88100,,-1012.73600,,,-1510.89400,-1510.89400,-764.04000,-22.41200,-2297.34600,-171.37200,101.36200,-764.04000
2017-01-31,2298.23400,658.79600,113.90200,772.69800,-23.23500,11.86200,48.25300,-9.60000,563.44500,3626.85900,-1024.74700,,-187.80700,,-187.80700,-2.32400,-1214.87800,566.95590,566.95590,-1535.80800,-1535.80800,-650.98800,32.96300,-1586.87700,834.37600,102.25100,-650.98800
2016-01-31,2277.65800,616.69600,64.01400,680.71000,-27.35700,-506.63300,216.26500,-40.10300,-4.88500,2956.91500,-889.38000,-57.10400,-116.63100,,-116.63100,,-1063.11500,,,-1696.26400,-1696.26400,-544.27100,45.10800,-2195.42700,-398.30200,94.10700,-544.27100
2015-01-31,2215.12800,676.98900,27.73400,704.72290,-9.05200,-332.27100,285.22300,-8.75600,100.92100,3008.36900,-911.52200,,-43.11500,,-43.11500,,-954.63700,333.11800,333.11800,-1507.69900,-1507.69900,-465.90200,80.94100,-1559.54200,344.02900,,-465.90200
2014-01-31,2137.39600,548.82300,53.68100,602.50400,11.97900,35.23300,-152.27100,-3.35400,-127.00900,2600.46600,-946.67800,2.65300,-101.74300,,-101.74300,,-1045.76800,499.55500,499.55500,-1324.60100,-1324.60100,-393.75500,74.99800,-1143.80300,337.78900,76.08000,-393.75500
2013-01-31,1906.68700,508.92900,27.08500,536.01400,-18.41800,27.18600,211.68900,-53.70500,611.72900,3055.72000,-978.22800,-190.37400,-152.84200,,-152.84200,34.49000,-1286.95400,-1.45600,-1.45600,-1211.31100,-1211.31100,-323.92200,61.10200,-1475.58700,304.84500,64.41600,-323.92200
2012-01-31,1496.09000,485.70100,176.35300,662.05400,-4.41000,-187.15700,-36.55300,-20.70900,-238.17900,1916.03400,-803.33000,,-19.36300,,-19.36300,11.65200,-811.04100,-2.72700,-2.72700,-1101.81300,-1101.81300,-275.01600,43.84400,-1335.71200,-234.63900,64.17500,-275.01600
2011-01-31,1343.14100,458.05200,177.42300,635.47500,-23.58700,-211.82300,163.82300,0.49500,-5.04700,1976.48100,-707.13400,,60.58600,,60.58600,-1.06500,-647.61300,-2.35500,-2.35500,-1017.22100,-1017.22100,-229.32900,24.97700,-1223.92800,127.14400,58.80400,-229.32900
2010-01-31,1213.57200,490.36300,45.93100,536.29390,-1.86200,147.80500,197.49600,21.21900,548.55500,2271.92600,-429.28200,,-125.41700,,-125.41700,-5.57800,-560.27700,378.51600,378.51600,-774.90000,-774.90000,-197.66200,10.29200,-583.75400,1161.08000,,-197.66200
2009-01-31,880.61700,452.93600,168.83200,621.76800,-8.24500,-68.48900,-141.58000,-118.83000,-382.15700,1154.57200,-582.93200,,0.00000,14.37900,14.37900,-0.03400,-568.58700,-2.00800,-2.00800,-608.94300,-608.94300,-176.74900,18.87900,-768.82100,-279.08500,,-176.74900
