,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,813.00000,1126.00000,29.00000,1155.00000,-677.00000,-450.00000,,10.00000,-1113.00000,855.00000,-2374.00000,5.00000,,,-107.00000,-2476.00000,1793.00000,20.00000,1813.00000,69.00000,69.00000,-546.00000,-9.00000,1327.00000,-294.00000,-546.00000
2021-12-31,1330.00000,1114.00000,-579.00000,535.00000,-103.00000,-93.00000,,-3.00000,-46.00000,1819.00000,-2076.00000,898.00000,,,-55.00000,-1233.00000,100.00000,,100.00000,26.00000,250.00000,-509.00000,-136.00000,-295.00000,291.00000,-509.00000
2020-12-31,752.00000,1043.00000,-494.00000,549.00000,-5.00000,28.00000,,-104.00000,-25.00000,1276.00000,-2311.00000,,,,-556.00000,-2867.00000,1169.00000,-90.00000,1079.00000,253.00000,253.00000,-467.00000,754.00000,1619.00000,28.00000,-467.00000
2019-12-31,682.00000,989.00000,154.00000,1143.00000,48.00000,44.00000,,-56.00000,-35.00000,1790.00000,-2097.00000,,,,-719.00000,-2816.00000,866.00000,-7.00000,859.00000,12.00000,12.00000,-436.00000,573.00000,1008.00000,-18.00000,-436.00000
2018-12-31,659.00000,933.00000,6.00000,939.00000,15.00000,14.00000,,54.00000,105.00000,1703.00000,-2074.00000,,146.00000,146.00000,-678.00000,-2606.00000,1410.00000,-73.00000,1337.00000,41.00000,41.00000,-407.00000,-97.00000,874.00000,-29.00000,-407.00000
2017-12-31,462.00000,881.00000,536.00000,1417.00000,-66.00000,-46.00000,,-111.00000,-174.00000,1705.00000,-1665.00000,,,,-203.00000,-1868.00000,700.00000,-228.00000,472.00000,83.00000,83.00000,-377.00000,-68.00000,110.00000,-53.00000,-377.00000
2016-12-31,553.00000,811.00000,258.00000,1069.00000,-155.00000,146.00000,,-43.00000,7.00000,1629.00000,-1672.00000,,,,-243.00000,-1915.00000,399.00000,149.00000,548.00000,72.00000,72.00000,-347.00000,-18.00000,255.00000,-31.00000,-347.00000
2015-12-31,525.00000,750.00000,143.00000,893.00000,120.00000,147.00000,,-19.00000,222.00000,1640.00000,-1564.00000,-154.00000,,,-346.00000,-2064.00000,553.00000,189.00000,742.00000,43.00000,43.00000,-322.00000,,463.00000,39.00000,-322.00000
2014-12-31,479.00000,685.00000,333.00000,1018.00000,-31.00000,-36.00000,,1.00000,-16.00000,1481.00000,-1577.00000,,,,-321.00000,-1898.00000,627.00000,123.00000,750.00000,43.00000,43.00000,-295.00000,-36.00000,462.00000,45.00000,-295.00000
2013-12-31,454.00000,628.00000,341.00000,969.00000,-120.00000,202.00000,,-88.00000,-2.00000,1421.00000,-1325.00000,,,,-207.00000,-1532.00000,242.00000,185.00000,427.00000,36.00000,36.00000,-273.00000,,190.00000,79.00000,-273.00000
2012-12-31,384.00000,598.00000,415.00000,1013.00000,-147.00000,104.00000,-35.00000,-78.00000,-156.00000,1241.00000,-1227.00000,,,,-123.00000,-1350.00000,88.00000,175.00000,263.00000,30.00000,30.00000,-252.00000,,41.00000,-68.00000,-252.00000
2011-12-31,417.00000,546.00000,112.00000,658.00000,119.00000,-14.00000,30.00000,-7.00000,94.00000,1169.00000,-882.00000,,,,-176.00000,-1058.00000,-72.00000,98.00000,26.00000,29.00000,29.00000,-211.00000,-43.00000,-199.00000,-86.00000,-211.00000
2010-12-31,343.00000,576.00000,73.00000,649.00000,-72.00000,133.00000,-7.00000,-109.00000,-33.00000,959.00000,-821.00000,,,,-182.00000,-1003.00000,484.00000,109.00000,593.00000,10.00000,-229.00000,-162.00000,,202.00000,157.00000,-162.00000
2009-12-31,240.00000,570.00000,45.00000,615.00000,-91.00000,86.00000,-50.00000,54.00000,-7.00000,848.00000,-818.00000,,,,-117.00000,-935.00000,41.00000,79.00000,120.00000,9.00000,5.00000,-125.00000,-35.00000,-35.00000,-117.00000,-114.00000
