,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-1364.00000,847.00000,1188.00000,2035.00000,-630.00000,7044.00000,-1243.00000,4450.00000,5121.00000,-211.00000,,792.00000,-2309.00000,-1517.00000,,-1728.00000,,,-2438.00000,-2438.00000,-1031.00000,49.00000,-3420.00000,-27.00000,-926.00000
2021-12-31,1566.00000,1082.00000,2108.00000,3190.00000,-2063.00000,4050.00000,-1976.00000,360.00000,5116.00000,-345.00000,-1535.00000,4017.00000,-1627.00000,2390.00000,,510.00000,-436.00000,-436.00000,-3006.00000,-3456.00000,-999.00000,-349.00000,-5240.00000,386.00000,-885.00000
2020-12-31,5576.00000,682.00000,-1407.00000,-725.00000,-14.00000,554.00000,332.00000,640.00000,5491.00000,-308.00000,1.00000,-3871.00000,737.00000,-3134.00000,,-3441.00000,1189.00000,1189.00000,-1674.00000,-1962.00000,-776.00000,-462.00000,-2011.00000,39.00000,-668.00000
2019-12-31,4847.00000,641.00000,-1025.00000,-384.00000,21.00000,293.00000,-135.00000,666.00000,5129.00000,-433.00000,-18.00000,-725.00000,-1631.00000,-2356.00000,,-2807.00000,174.00000,174.00000,-1615.00000,-1333.00000,-787.00000,-537.00000,-2483.00000,-161.00000,-653.00000
2018-12-31,2160.00000,511.00000,1993.00000,2504.00000,-1052.00000,1384.00000,559.00000,511.00000,5175.00000,-277.00000,-558.00000,,-281.00000,-281.00000,-603.00000,-1719.00000,98.00000,98.00000,-2230.00000,-2058.00000,-748.00000,-866.00000,-3574.00000,-118.00000,-614.00000
2017-12-31,3554.00000,608.00000,8.00000,616.00000,-342.00000,765.00000,-227.00000,144.00000,4314.00000,-299.00000,-1356.00000,2610.00000,-2135.00000,475.00000,-30.00000,-1210.00000,,,-1360.00000,-1360.00000,-641.00000,-922.00000,-2923.00000,181.00000,-525.00000
2016-12-31,1877.00000,382.00000,811.00000,1193.00000,-306.00000,993.00000,-181.00000,923.00000,3993.00000,-313.00000,,-2446.00000,284.00000,-2162.00000,-51.00000,-2526.00000,1219.00000,1219.00000,-1173.00000,-1173.00000,-602.00000,-970.00000,-1526.00000,-59.00000,-486.00000
2015-12-31,2171.00000,371.00000,728.00000,1099.00000,-312.00000,1111.00000,-334.00000,346.00000,3616.00000,-303.00000,,385.00000,712.00000,1097.00000,-52.00000,742.00000,-20.00000,-20.00000,-2678.00000,-2678.00000,-599.00000,-1223.00000,-4520.00000,-162.00000,-483.00000
2014-12-31,2850.00000,366.00000,300.00000,666.00000,-1325.00000,1307.00000,-467.00000,-280.00000,3236.00000,-288.00000,378.00000,272.00000,1213.00000,1485.00000,46.00000,1621.00000,-1006.00000,-1006.00000,-2035.00000,-1070.00000,-564.00000,-2235.00000,-4875.00000,-18.00000,-477.00000
2013-12-31,2280.00000,368.00000,1863.00000,2231.00000,-934.00000,547.00000,-455.00000,-269.00000,4242.00000,-207.00000,-24.00000,-427.00000,2141.00000,1714.00000,97.00000,1580.00000,-356.00000,-356.00000,-1664.00000,-883.00000,-358.00000,-4356.00000,-5953.00000,-131.00000,-352.00000
2012-12-31,2306.00000,388.00000,971.00000,1359.00000,-1685.00000,520.00000,-144.00000,-611.00000,3054.00000,-285.00000,13.00000,-698.00000,2493.00000,1795.00000,58.00000,1581.00000,141.00000,141.00000,-828.00000,-828.00000,-534.00000,-3384.00000,-4605.00000,30.00000,-534.00000
2011-12-31,787.00000,252.00000,1149.00000,1401.00000,-683.00000,-40.00000,331.00000,-259.00000,1929.00000,-246.00000,-916.00000,2182.00000,5556.00000,7738.00000,-415.00000,6161.00000,,,-934.00000,-934.00000,-435.00000,-6507.00000,-7876.00000,214.00000,-435.00000
2010-12-31,911.00000,94.00000,2615.00000,2709.00000,-255.00000,198.00000,-66.00000,69.00000,3689.00000,-162.00000,7.00000,-382.00000,3388.00000,3006.00000,-519.00000,2332.00000,-2.00000,-2.00000,-124.00000,-124.00000,-430.00000,-5515.00000,-6071.00000,-50.00000,-430.00000
2009-12-31,854.00000,-91.00000,2702.00000,2611.00000,-59.00000,-824.00000,59.00000,836.00000,4301.00000,-189.00000,12.00000,5981.00000,-2024.00000,3957.00000,-340.00000,3440.00000,251.00000,251.00000,-1.00000,-1.00000,-542.00000,-7252.00000,-7544.00000,197.00000,-542.00000
