,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,92.57900,679.57200,51.26800,730.84000,-3.34800,-3.34800,820.07100,-434.03500,-341.14900,,-160.60400,-160.60400,6.26000,-929.52800,78.85900,-1.53100,77.32800,580.52400,580.52400,-522.26000,-24.35900,111.23300,1.77600,27.50500,-517.87900
2021-12-31,160.99300,619.83300,-94.85900,524.97400,-22.00700,-22.00700,663.96000,-344.55300,-1244.50800,,167.75600,167.75600,149.05200,-1272.25300,240.45600,1.52200,241.97800,899.05300,899.05300,-471.66800,-56.82300,612.54000,4.24700,22.05200,-467.44300
2020-12-31,68.97000,618.62900,-36.45800,582.17110,-46.82500,-46.82500,604.31600,-295.35300,-409.35900,,201.81300,201.81300,42.05700,-460.84200,284.51000,11.44100,295.95100,82.43900,82.43900,-455.60500,-75.37900,-152.59400,-9.12000,19.61600,-451.38800
2019-12-31,199.57900,507.92300,-73.68800,434.23500,-3.11000,-3.11000,630.70400,-209.74800,-1382.93000,,-55.05900,-55.05900,-38.95000,-1686.68700,598.94810,16.56700,615.51510,725.31500,725.31500,-418.72200,-41.72500,880.38300,-175.60000,24.33000,-414.65900
2018-12-31,221.54200,435.67900,-107.65200,328.02690,11.10700,11.10700,560.67600,-267.44700,-1.00000,,135.00600,135.00600,19.89300,-113.54800,-98.13400,-21.75100,-119.88500,279.83700,279.83700,-378.53400,-41.48500,-260.06700,187.06100,14.24400,-374.69800
2017-12-31,132.65500,436.46200,-36.91600,399.54600,-13.28600,-13.28600,518.91500,-374.65800,-96.79100,,-52.60700,-52.60700,116.65000,-407.40600,271.74900,0.41700,272.16600,,,-362.59000,-21.36100,-111.78500,-0.27600,12.86200,-358.88200
2016-12-31,320.38000,425.63800,-167.96700,257.67100,-41.48300,-41.48300,536.56800,-274.45800,-163.01500,,261.63700,261.63700,63.11600,-112.72000,-120.36100,-128.65000,-249.01100,173.21100,173.21100,-342.32800,-11.15400,-429.28200,-5.43400,13.39800,-338.61100
2015-12-31,357.15900,381.27700,-265.56700,115.71000,-14.24200,-14.24200,458.62700,-220.65400,-244.76900,,170.00800,170.00800,29.95400,-265.46100,-92.58800,-2.50000,-95.08800,210.01100,210.01100,-297.54400,-19.02700,-201.64800,-8.48200,18.01700,-293.82200
2014-12-31,159.84200,363.92900,-119.77600,244.15300,-6.69200,-6.69200,397.30300,-353.66900,-228.81000,,160.95600,160.95600,122.92000,-298.60300,-89.00300,152.50000,63.49700,99.84900,99.84900,-269.75300,-7.31800,-113.72500,-15.02500,13.95400,-266.02900
2013-12-31,46.28200,348.23100,-22.77700,325.45400,-31.83400,-31.83400,339.90200,-441.91800,,,206.75200,206.75200,111.95700,-123.20900,130.87900,-76.00000,54.87900,,,-244.89400,-8.54400,-198.55900,18.13400,9.53100,-241.17000
2012-12-31,220.30300,354.50500,-238.75300,115.75200,-8.86800,-8.86800,327.18700,-399.74700,-108.21500,,309.79800,309.79800,-13.41800,-211.58200,-195.23500,-345.00000,-540.23500,756.13800,674.52900,-223.45700,-26.83000,-115.99300,-0.38800,,-216.50300
2011-12-31,20.58500,374.27400,-102.76600,271.50800,-40.68200,-40.68200,251.41100,-203.42600,-989.02900,9.79900,217.49200,227.29100,-89.51900,-1054.68300,-269.68300,389.25000,119.56700,879.75400,876.15700,-170.70400,-18.73100,806.28900,3.01700,,-161.39300
2010-12-31,-106.58800,320.77600,5.47800,326.25400,-4.62100,-5.48600,214.18000,-170.46100,-347.58200,39.48800,-90.18300,-50.69500,-15.01600,-583.75400,201.02600,-157.55000,43.47600,473.01100,472.37400,-134.53100,-8.24400,373.07500,3.50100,11.41100,-125.04300
2009-12-31,-91.62300,295.78800,18.56100,314.34900,3.80300,6.65700,229.38300,-274.82900,-28.52800,-30.94100,-24.98800,-55.92900,201.24100,-158.04500,-140.93500,189.30000,48.36500,66.75100,45.24600,-163.05400,-8.65000,-78.09300,-6.75500,7.60500,-151.85100
