,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2802.00000,845.00000,336.00000,1181.00000,-54.00000,658.00000,604.00000,4587.00000,-1120.00000,2364.00000,-2250.00000,-2250.00000,,-1006.00000,-2376.00000,954.00000,-1422.00000,-2096.00000,-2096.00000,-392.00000,1996.00000,-1914.00000,1667.00000,216.00000,-392.00000
2021-12-31,2934.00000,713.00000,-869.00000,-156.00000,-280.00000,-236.00000,-516.00000,2262.00000,-1316.00000,-4187.00000,-1053.00000,-1053.00000,,-6556.00000,774.00000,2990.00000,3764.00000,-79.00000,-79.00000,-354.00000,-316.00000,3015.00000,-1279.00000,180.00000,-354.00000
2020-12-31,3367.00000,616.00000,-536.00000,80.00000,-85.00000,2277.00000,2192.00000,5639.00000,-964.00000,-709.00000,-1392.00000,-1392.00000,,-3065.00000,295.00000,783.00000,1078.00000,-1820.00000,-1820.00000,-323.00000,-890.00000,-1955.00000,619.00000,181.00000,-323.00000
2019-12-31,2707.00000,575.00000,249.00000,824.00000,-32.00000,1785.00000,1753.00000,5284.00000,-736.00000,,-542.00000,-542.00000,,-1278.00000,-1010.00000,641.00000,-369.00000,-1012.00000,-1012.00000,-291.00000,-623.00000,-2295.00000,1711.00000,163.00000,-291.00000
2018-12-31,1683.00000,534.00000,1016.00000,1550.00000,-164.00000,-896.00000,-1060.00000,2173.00000,-612.00000,-1449.00000,-221.00000,-221.00000,-805.00000,-3087.00000,1135.00000,30.00000,1165.00000,-1045.00000,-1045.00000,-265.00000,-640.00000,-785.00000,-1699.00000,137.00000,-265.00000
2017-12-31,2448.00000,485.00000,275.00000,760.00000,426.00000,417.00000,843.00000,4051.00000,-524.00000,-31.00000,-2386.00000,-2386.00000,,-2941.00000,826.00000,-71.00000,755.00000,-3303.00000,-3303.00000,-220.00000,1823.00000,-945.00000,165.00000,157.00000,-220.00000
2016-12-31,614.00000,465.00000,-13.00000,452.00000,-158.00000,1028.00000,870.00000,1936.00000,-527.00000,-7.00000,-828.00000,-828.00000,,-1362.00000,-2.00000,-89.00000,-91.00000,-93.00000,-93.00000,-177.00000,1093.00000,732.00000,1306.00000,115.00000,-177.00000
2015-12-31,1276.00000,447.00000,-248.00000,199.00000,-180.00000,-427.00000,-607.00000,868.00000,-522.00000,1023.00000,-181.00000,-181.00000,,320.00000,298.00000,-33.00000,265.00000,-364.00000,-364.00000,-172.00000,-281.00000,-552.00000,636.00000,109.00000,-172.00000
2014-12-31,1147.00000,449.00000,46.00000,495.00000,-264.00000,240.00000,-24.00000,1618.00000,-528.00000,54.00000,411.00000,411.00000,,-63.00000,1233.00000,-69.00000,1164.00000,-843.00000,-843.00000,-172.00000,-907.00000,-758.00000,797.00000,98.00000,-172.00000
2013-12-31,1231.00000,426.00000,149.00000,575.00000,-251.00000,161.00000,-90.00000,1716.00000,-437.00000,-153.00000,-592.00000,-592.00000,,-1182.00000,,79.00000,79.00000,-471.00000,-471.00000,-168.00000,-142.00000,-702.00000,-168.00000,92.00000,-168.00000
2012-12-31,1222.00000,338.00000,-5.00000,333.00000,326.00000,42.00000,368.00000,1923.00000,-410.00000,-1235.00000,-320.00000,-320.00000,,-1965.00000,954.00000,18.00000,972.00000,-461.00000,-461.00000,-165.00000,-375.00000,-29.00000,-71.00000,82.00000,-165.00000
2011-12-31,1419.00000,303.00000,109.00000,412.00000,-106.00000,354.00000,248.00000,2079.00000,-336.00000,-226.00000,-796.00000,-796.00000,,-1358.00000,,-103.00000,-103.00000,-469.00000,-469.00000,-82.00000,-363.00000,-1017.00000,-296.00000,67.00000,-82.00000
2010-12-31,1099.00000,263.00000,-123.00000,140.00000,-46.00000,1049.00000,1003.00000,2242.00000,-222.00000,-833.00000,-756.00000,-756.00000,,-1811.00000,,35.00000,35.00000,-171.00000,-171.00000,,-235.00000,-371.00000,60.00000,63.00000,0.00000
2009-12-31,1040.00000,250.00000,38.00000,288.00000,-60.00000,154.00000,94.00000,1422.00000,-184.00000,-12.00000,-1975.00000,-1975.00000,312.00000,-1859.00000,-312.00000,-100.00000,-412.00000,-6.00000,-6.00000,,498.00000,80.00000,-357.00000,66.00000,0.00000
