,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,471.00000,217.70000,-16.50000,201.20000,-232.00000,67.40000,-406.40000,-574.60000,97.60000,-105.10000,,89.10000,14.10000,421.50000,435.60000,-12.10000,407.50000,,,-258.00000,-258.00000,-270.40000,,-528.40000,-45.00000,209.30000,-270.40000
2021-12-31,252.70000,237.40000,398.70000,636.10000,-31.80000,0.20000,-181.30000,-199.10000,689.70000,-100.00000,,-182.60000,-103.70000,409.50000,305.80000,-9.40000,13.80000,-423.80000,-423.80000,-387.10000,-387.10000,-259.10000,-61.70000,-1131.70000,-440.30000,222.60000,-259.10000
2020-12-31,257.80000,212.40000,232.30000,444.70000,-76.10000,56.00000,-56.30000,-90.50000,612.00000,-100.40000,,-438.10000,-606.60000,857.30000,250.70000,-1.10000,-288.90000,416.20000,416.20000,-326.40000,-326.40000,-264.10000,-48.10000,-222.40000,106.50000,190.20000,-264.10000
2019-12-31,345.00000,210.30000,265.90000,476.20000,-118.10000,6.40000,-99.80000,-292.30000,528.90000,-109.60000,,-270.90000,-47.50000,-92.90000,-140.40000,-7.30000,-528.20000,-454.80000,-454.80000,-499.30000,-499.30000,-260.10000,-14.60000,-1228.80000,-1229.30000,202.20000,-260.10000
2018-12-31,566.90000,210.50000,269.30000,479.80000,96.30000,3.50000,-46.20000,-185.60000,861.10000,-147.40000,,-16.40000,751.90000,19.40000,771.30000,-42.70000,564.80000,,,-699.70000,-699.70000,-249.30000,-19.60000,-968.60000,446.70000,217.10000,-249.30000
2017-12-31,306.20000,225.60000,33.40000,259.00000,203.80000,-10.10000,98.00000,694.10000,1259.30000,-151.20000,,-27.00000,-197.30000,-2.50000,-199.80000,75.00000,-303.00000,,,-661.30000,-661.30000,-150.40000,16.90000,-794.80000,178.50000,187.50000,-150.40000
2016-12-31,592.70000,206.70000,284.00000,490.70000,-263.50000,66.60000,258.10000,43.20000,1126.60000,-214.70000,,-113.00000,-73.60000,-15.70000,-89.30000,,-417.00000,194.00000,194.00000,-262.30000,-262.30000,-152.50000,-15.50000,-236.30000,459.30000,224.60000,-152.50000
2015-12-31,633.70000,176.50000,192.80000,369.30000,-218.90000,-80.20000,48.80000,-103.50000,899.50000,-210.30000,,-3.50000,-309.40000,8.10000,-301.30000,11.70000,-503.40000,594.60000,594.60000,-1031.60000,-1031.60000,-156.30000,-0.40000,-593.70000,-218.70000,217.30000,-156.30000
2014-12-31,-334.30000,1036.10000,46.00000,1082.10000,-16.80000,38.30000,35.00000,15.60000,763.40000,-192.90000,,78.60000,520.50020,-16.80000,503.70020,44.60000,434.00000,346.10000,346.10000,-2102.70000,-2102.70000,-86.00000,18.40000,-1824.20000,-644.40000,240.00000,-86.00000
2013-12-31,439.80000,189.90000,352.50000,542.40000,-139.90000,-8.90000,19.90000,-136.30000,845.90000,-230.00000,-10.00000,-10.00000,-277.90000,-31.90000,-309.80000,-1.20000,-561.00000,-1.40000,-1.40000,-436.10000,-436.10000,,35.80000,-401.70000,-123.80000,244.60000,
2012-12-31,186.50000,187.90000,290.90000,478.79990,139.10000,-133.60000,-65.00000,-27.60000,637.70000,-347.70000,-65.30000,-139.40000,-46.70000,24.30000,-22.40000,-20.80000,-595.60000,-1.40000,-1.40000,-551.50000,-551.50000,,4.60000,-548.30000,-502.60000,242.70000,0.00000
2011-12-31,425.00000,170.00000,210.90000,380.90000,18.60000,33.90000,110.70000,180.80000,986.70000,-266.30000,,-30.70000,-375.90000,-33.10000,-409.00000,-1.20000,-707.20000,991.60000,991.60000,-201.70000,-201.70000,,29.10000,819.00000,1098.50000,217.80000,
2010-12-31,619.40000,155.30000,195.40000,350.70000,-129.20000,48.20000,-1.40000,-157.80000,812.30000,-185.30000,0.00000,-374.80000,44.00010,-4.20000,39.80010,-12.40000,-532.70000,,,-114.40000,-114.40000,,42.00000,-72.40000,207.20000,177.80000,
2009-12-31,115.22800,148.37300,151.14700,299.52000,-28.68200,-2.42200,154.80600,381.34900,796.09700,-153.10100,,,-777.71790,-6.20500,-783.92290,-11.27600,-948.30000,,,-289.68100,-289.68100,,27.52300,-262.15800,-414.36100,139.65900,
