,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,2558.00000,-287.00000,6096.00000,5809.00000,256.00000,,-357.00000,5529.00000,4837.00000,13204.00000,555.00000,14094.00000,-13290.00000,804.00000,-3979.00000,-2620.00000,878.00000,,878.00000,-3326.00000,-3326.00000,-1783.00000,-5877.00000,-10108.00000,79.00000,-1598.00000
2021-12-31,6575.00000,-161.00000,1600.00000,1439.00000,389.00000,,-11.00000,3606.00000,4582.00000,12596.00000,3270.00000,20871.00000,-30738.00000,-9867.00000,-4590.00000,-11187.00000,-632.00000,,-632.00000,-4303.00000,-4803.00000,-1842.00000,5902.00000,-1375.00000,-444.00000,-1647.00000
2020-12-31,5418.00000,-197.00000,1565.00000,1368.00000,842.00000,,104.00000,3918.00000,4853.00000,11639.00000,-1684.00000,13776.00000,-31474.00000,-17698.00000,813.00000,-18569.00000,877.00000,,877.00000,-1151.00000,-193.00000,-1859.00000,11904.00000,10729.00000,3962.00000,-1657.00000
2019-12-31,5909.00000,-369.00000,821.00000,452.00000,-514.00000,,8.00000,7698.00000,7425.00000,13786.00000,-32.00000,152.00000,-16178.00000,-16026.00000,-1528.00000,-17586.00000,409.00000,,409.00000,-2285.00000,-2285.00000,-1821.00000,8265.00000,4568.00000,777.00000,-1643.00000
2018-12-31,5128.00000,-385.00000,-1209.00000,-1594.00000,-1809.00000,,-121.00000,9194.00000,8204.00000,11738.00000,,870.00000,-6380.00000,-5510.00000,-124.00000,-5634.00000,-1908.00000,,-1908.00000,-3992.00000,-2718.00000,-1819.00000,3644.00000,-2801.00000,3120.00000,-1678.00000
2017-12-31,4020.00000,-249.00000,2903.00000,2654.00000,-991.00000,,-280.00000,9676.00000,5609.00000,12283.00000,-211.00000,2087.00000,-14124.00000,-12037.00000,-4628.00000,-16876.00000,-367.00000,,-367.00000,-2927.00000,-2927.00000,-1820.00000,4208.00000,-906.00000,-5176.00000,-1717.00000
2016-12-31,854.00000,-458.00000,6545.00000,6087.00000,-2158.00000,111.00000,-31.00000,11433.00000,7833.00000,14774.00000,,1270.00000,-3848.00000,-2578.00000,-3272.00000,-5850.00000,-1347.00000,,-1347.00000,-372.00000,-372.00000,-1839.00000,61.00000,-3497.00000,5125.00000,-1736.00000
2015-12-31,5385.00000,-448.00000,-2511.00000,-2959.00000,-831.00000,784.00000,138.00000,10820.00000,11626.00000,14052.00000,,-777.00000,-7392.00000,-8169.00000,-2229.00000,-10398.00000,2398.00000,,2398.00000,-1930.00000,-1949.00000,-1769.00000,102.00000,-1218.00000,1944.00000,-1653.00000
2014-12-31,6336.00000,102.00000,-2394.00000,-2292.00000,-650.00000,-739.00000,207.00000,11439.00000,12332.00000,16376.00000,,5167.00000,-17099.00000,-11932.00000,-3123.00000,-15055.00000,-1862.00000,-75.00000,-1937.00000,,,-1621.00000,5814.00000,2256.00000,3223.00000,-1499.00000
2013-12-31,3393.00000,547.00000,3917.00000,4464.00000,-582.00000,-1433.00000,293.00000,9125.00000,8274.00000,16131.00000,-1447.00000,2955.00000,-4390.00000,-1435.00000,-12283.00000,-15165.00000,-374.00000,75.00000,-299.00000,1000.00000,1000.00000,-1241.00000,-8367.00000,-8907.00000,-8153.00000,-1119.00000
2012-12-31,1362.00000,170.00000,4869.00000,5039.00000,-109.00000,1900.00000,219.00000,9632.00000,10759.00000,17160.00000,560.00000,593.00000,-9499.00000,-8906.00000,-3583.00000,-11929.00000,-1301.00000,-4799.00000,-6100.00000,1000.00000,1000.00000,-933.00000,6068.00000,35.00000,5277.00000,-811.00000
2011-12-31,6415.00000,202.00000,-4713.00000,-4511.00000,58.00000,648.00000,525.00000,5396.00000,8369.00000,10273.00000,-33.00000,-7949.00000,-13319.00000,-21268.00000,-917.00000,-22218.00000,-1198.00000,513.00000,-685.00000,2950.00000,-1.00000,-909.00000,10977.00000,9382.00000,-2585.00000,-787.00000
2010-12-31,2663.00000,-493.00000,80.00000,-413.00000,-1023.00000,-1369.00000,-206.00000,7102.00000,5735.00000,7985.00000,-3021.00000,3033.00000,-17318.00000,-14285.00000,-997.00000,-18303.00000,4029.00000,-638.00000,3391.00000,3529.00000,3529.00000,-906.00000,7367.00000,13381.00000,2934.00000,-784.00000
2009-12-31,-2278.00000,-447.00000,8775.00000,8328.00000,-1653.00000,-1152.00000,-110.00000,3282.00000,-2247.00000,3803.00000,-69.00000,5534.00000,-18268.00000,-12734.00000,-1132.00000,-13935.00000,3011.00000,2192.00000,5203.00000,1043.00000,1043.00000,-732.00000,-9617.00000,-4103.00000,-14127.00000,-610.00000
