,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,5917.00000,1180.00000,-5142.00000,-3962.00000,-191.00000,-569.00000,-131.00000,-476.00000,-1367.00000,588.00000,10208.00000,5.00000,-1302.00000,-1302.00000,12.00000,8923.00000,-2500.00000,-150.00000,-2650.00000,-4287.00000,-4287.00000,-688.00000,-42.00000,-7667.00000,1696.00000,-688.00000
2021-12-31,6515.00000,1458.00000,-5242.00000,-3784.00000,-255.00000,-537.00000,317.00000,25.00000,-450.00000,2281.00000,-94.00000,-2346.00000,,,39.00000,-2401.00000,-3750.00000,150.00000,-3600.00000,-2028.00000,-2028.00000,-671.00000,-208.00000,-6507.00000,-6699.00000,-671.00000
2020-12-31,-2923.00000,6308.00000,-458.00000,5850.00000,308.00000,570.00000,177.00000,113.00000,1168.00000,4095.00000,-161.00000,-70.00000,,,29.00000,-202.00000,6244.00000,-1829.00000,4415.00000,-175.00000,-175.00000,-932.00000,-70.00000,3238.00000,7198.00000,-932.00000
2019-12-31,600.00000,4370.00000,419.00000,4789.00000,-2227.00000,387.00000,-1049.00000,-1091.00000,-3980.00000,1409.00000,-2173.00000,-180.00000,45.00000,45.00000,-5.00000,-2313.00000,-2895.00000,2735.00000,-160.00000,-2244.00000,-2244.00000,-1638.00000,-7508.00000,-11550.00000,-12445.00000,-1638.00000
2018-12-31,4000.00000,7546.00000,-1457.00000,6089.00000,-1611.00000,-1496.00000,201.00000,-2452.00000,-5358.00000,4731.00000,-3745.00000,-20.00000,615.00000,615.00000,688.00000,-2462.00000,6446.00000,223.00000,6669.00000,-4224.00000,-4224.00000,-3686.00000,-677.00000,-1918.00000,7.00000,-3686.00000
2017-12-31,1291.00000,7033.00000,-1634.00000,5399.00000,-9782.00000,-1818.00000,2631.00000,1514.00000,-7455.00000,-765.00000,-919.00000,4055.00000,1827.00000,1827.00000,9362.00000,14325.00000,-164.00000,-2248.00000,-2412.00000,-481.00000,-481.00000,-3394.00000,-267.00000,-6554.00000,7391.00000,-3394.00000
2016-12-31,4404.00000,2862.00000,-1846.00000,1016.00000,-8833.00000,610.00000,569.00000,-723.00000,-8377.00000,-2957.00000,-3633.00000,883.00000,-842.00000,-842.00000,8684.00000,5092.00000,-556.00000,-33.00000,-589.00000,-518.00000,-518.00000,-2462.00000,-445.00000,-4014.00000,-1973.00000,-2462.00000
2015-12-31,7783.00000,2521.00000,-3662.00000,-1141.00000,-84.00000,780.00000,-717.00000,986.00000,965.00000,7607.00000,-1366.00000,1405.00000,-1392.00000,-1392.00000,3.00000,-1350.00000,269.00000,-82.00000,187.00000,-658.00000,-658.00000,-2365.00000,-296.00000,-3132.00000,2923.00000,-2365.00000
2014-12-31,3839.00000,2797.00000,-222.00000,2575.00000,-884.00000,224.00000,-79.00000,827.00000,88.00000,6502.00000,-3453.00000,,-74.00000,-74.00000,422.00000,-3105.00000,1701.00000,74.00000,1775.00000,-3245.00000,-3245.00000,-2111.00000,-2.00000,-3583.00000,-286.00000,-2111.00000
2013-12-31,4816.00000,2681.00000,-1123.00000,1558.00000,-915.00000,130.00000,-408.00000,2642.00000,1449.00000,7823.00000,-1642.00000,,131.00000,131.00000,42.00000,-1469.00000,-3313.00000,-37.00000,-3350.00000,79.00000,79.00000,-1534.00000,74.00000,-4731.00000,1622.00000,-1534.00000
2012-12-31,1100.00000,2918.00000,264.00000,3182.00000,-2534.00000,-871.00000,261.00000,2937.00000,-207.00000,4075.00000,-2537.00000,-2.00000,-148.00000,-148.00000,,-2687.00000,-641.00000,-116.00000,-757.00000,295.00000,295.00000,-2122.00000,54.00000,-2530.00000,-1126.00000,-2122.00000
2011-12-31,2784.00000,2883.00000,-668.00000,2215.00000,-2184.00000,-702.00000,376.00000,1390.00000,-1120.00000,3879.00000,-2017.00000,85.00000,-38.00000,-38.00000,-24.00000,-1994.00000,-1713.00000,-844.00000,-2557.00000,315.00000,315.00000,-1300.00000,180.00000,-3362.00000,-1595.00000,-1300.00000
2010-12-31,2321.00000,2962.00000,-958.00000,2004.00000,-1209.00000,-750.00000,495.00000,1241.00000,-223.00000,4102.00000,-253.00000,-8.00000,5.00000,5.00000,391.00000,135.00000,1160.00000,-700.00000,460.00000,276.00000,276.00000,-1022.00000,108.00000,-178.00000,4193.00000,-1022.00000
2009-12-31,676.00000,2834.00000,-1292.00000,1542.00000,-990.00000,63.00000,304.00000,480.00000,-143.00000,2075.00000,-1389.00000,1378.00000,-13491.00000,-13491.00000,-1265.00000,-14767.00000,6493.00000,-418.00000,6075.00000,1516.00000,7996.00000,-1054.00000,-358.00000,12659.00000,46.00000,-1054.00000
