,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-05-31,6717.00000,3122.00000,1687.00000,4809.00000,-874.00000,,18.00000,-1987.00000,9539.00000,-4511.00000,-148.00000,9516.00000,6363.00000,15879.00000,11220.00000,-8250.00000,-8250.00000,-16859.00000,-16859.00000,-3457.00000,-560.00000,-29126.00000,-8715.00000,2613.00000,-3457.00000
2021-05-31,13746.00000,2916.00000,-627.00000,2289.00000,333.00000,,1027.00000,-148.00000,15887.00000,-2135.00000,-41.00000,-11958.00000,1036.00000,-10922.00000,-13098.00000,12303.00000,12303.00000,-19814.00000,-19814.00000,-3063.00000,196.00000,-10378.00000,-7141.00000,1837.00000,-3063.00000
2020-05-31,10135.00000,2968.00000,978.00000,3946.00000,-445.00000,,443.00000,-942.00000,13139.00000,-1564.00000,-124.00000,-1044.00000,12575.00000,11531.00000,9843.00000,15388.00000,15388.00000,-18317.00000,-18317.00000,-3070.00000,-133.00000,-6132.00000,16725.00000,1590.00000,-3070.00000
2019-05-31,11083.00000,2919.00000,809.00000,3728.00000,-272.00000,,567.00000,-260.00000,14551.00000,-1660.00000,-363.00000,11281.00000,17299.00000,28580.00000,26557.00000,-4500.00000,-4500.00000,-34488.00000,-34488.00000,-2932.00000,-136.00000,-42056.00000,-1106.00000,1653.00000,-2932.00000
2018-05-31,3587.00000,2785.00000,879.00000,3664.00000,267.00000,,-22.00000,8135.00000,15386.00000,-1736.00000,-1724.00000,-4910.00000,2745.00000,-2165.00000,-5625.00000,2643.00000,2643.00000,-9451.00000,-9451.00000,-3140.00000,-34.00000,-9982.00000,-164.00000,1607.00000,-3140.00000
2017-05-31,9452.00000,2451.00000,1165.00000,3616.00000,-67.00000,,163.00000,1058.00000,14126.00000,-2021.00000,-11221.00000,-10681.00000,2429.00000,-8252.00000,-21494.00000,13638.00000,13638.00000,-1663.00000,-1663.00000,-2631.00000,-258.00000,9086.00000,1632.00000,1350.00000,-2631.00000
2016-05-31,8901.00000,2509.00000,1205.00000,3714.00000,96.00000,,674.00000,1070.00000,13685.00000,-1189.00000,-650.00000,-3315.00000,,-3315.00000,-5154.00000,1750.00000,1750.00000,-9104.00000,-9104.00000,-2541.00000,-85.00000,-9980.00000,-1564.00000,1037.00000,-2541.00000
2015-05-31,9938.00000,2861.00000,768.00000,3629.00000,208.00000,-96.00000,268.00000,1013.00000,14580.00000,-1391.00000,-6239.00000,-11417.00000,,-11417.00000,-19047.00000,18342.00000,18342.00000,-6285.00000,-6285.00000,-2255.00000,-196.00000,9606.00000,3947.00000,933.00000,-2255.00000
2014-05-31,10955.00000,2908.00000,1220.00000,4128.00000,24.00000,57.00000,29.00000,-162.00000,14921.00000,-580.00000,-3488.00000,-3471.00000,,-3471.00000,-7539.00000,5566.00000,5566.00000,-7678.00000,-7678.00000,-2178.00000,222.00000,-4068.00000,3156.00000,805.00000,-2178.00000
2013-05-31,10925.00000,2931.00000,1080.00000,4011.00000,267.00000,-66.00000,-407.00000,-712.00000,14224.00000,-650.00000,-3305.00000,-2001.00000,,-2001.00000,-5956.00000,2024.00000,2024.00000,-9494.00000,-9494.00000,-1433.00000,403.00000,-8500.00000,-342.00000,755.00000,-1433.00000
2012-05-31,9981.00000,2916.00000,929.00000,3845.00000,-8.00000,150.00000,441.00000,-83.00000,13743.00000,-648.00000,-4702.00000,-3031.00000,,-3031.00000,-8381.00000,295.00000,295.00000,-5123.00000,-5123.00000,-1205.00000,-66.00000,-6099.00000,-1208.00000,659.00000,-1205.00000
2011-05-31,8547.00000,2796.00000,599.00000,3395.00000,-729.00000,-28.00000,245.00000,-728.00000,11214.00000,-345.00000,-1847.00000,-3889.00000,,-3889.00000,-6081.00000,1211.00000,1211.00000,216.00000,216.00000,-1061.00000,150.00000,516.00000,6249.00000,510.00000,-1061.00000
2010-05-31,6135.00000,2271.00000,174.00000,2445.00000,-362.00000,73.00000,489.00000,101.00000,8681.00000,-230.00000,-5606.00000,-4483.00000,,-4483.00000,-10319.00000,3638.00000,3638.00000,-118.00000,-118.00000,-1004.00000,148.00000,2664.00000,919.00000,436.00000,-1004.00000
2009-05-31,5593.00000,1976.00000,716.00000,2692.00000,336.00000,,578.00000,-30.00000,8255.00000,-529.00000,-1159.00000,-911.00000,,-911.00000,-2599.00000,-1004.00000,-1004.00000,-3212.00000,-3212.00000,-250.00000,44.00000,-4422.00000,733.00000,355.00000,-250.00000
