,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-1541.00000,1148.00000,-716.00000,432.00000,-78.00000,,11.00000,3.00000,165.00000,-944.00000,-642.00000,-129.00000,,50.00000,-721.00000,1134.00000,1134.00000,,,,5020.00000,6154.00000,4511.00000,39.00000,0.00000
2021-12-31,-1469.00000,1149.00000,167.00000,1316.00000,43.00000,,-11.00000,-6.00000,-90.00000,-243.00000,-821.00000,-11.00000,,,-832.00000,835.00000,835.00000,19.00000,19.00000,,9.00000,863.00000,-212.00000,22.00000,0.00000
2020-12-31,-1900.00000,1095.00000,151.00000,1246.00000,339.00000,,-42.00000,14.00000,-537.00000,-1191.00000,-1226.00000,,,,-1226.00000,1478.00000,1478.00000,24.00000,24.00000,-911.00000,-236.00000,355.00000,-2105.00000,22.00000,-911.00000
2019-12-31,3168.00000,1101.00000,-300.00000,801.00000,-118.00000,,-13.00000,-984.00000,-1166.00000,2803.00000,-1013.00000,-53.00000,1161.00000,,95.00000,3949.00000,3949.00000,-700.00000,-700.00000,-3000.00000,-3577.00000,-3328.00000,-477.00000,35.00000,-3000.00000
2018-12-31,2951.00000,1176.00000,335.00000,1511.00000,-119.00000,,8.00000,-40.00000,239.00000,4701.00000,-930.00000,0.00000,,,-930.00000,2415.00000,2415.00000,-826.00000,-826.00000,-2979.00000,-132.00000,-1522.00000,2231.00000,30.00000,-2979.00000
2017-12-31,3263.00000,1246.00000,-289.00000,957.00000,83.00000,,40.00000,22.00000,323.00000,4543.00000,-822.00000,0.00000,,,-822.00000,-204.00000,-204.00000,-335.00000,-335.00000,-2943.00000,-5.00000,-3487.00000,292.00000,34.00000,-2943.00000
2016-12-31,2025.00000,1189.00000,291.00000,1480.00000,319.00000,,19.00000,-36.00000,539.00000,4044.00000,-1393.00000,-47.00000,,,-1440.00000,309.00000,309.00000,17.00000,17.00000,-2924.00000,-33.00000,-2631.00000,-49.00000,34.00000,-2924.00000
2015-12-31,2386.00000,1078.00000,236.00000,1314.00000,49.00000,,-1.00000,6.00000,-241.00000,3459.00000,-1527.00000,0.00000,,-1.00000,-1528.00000,-309.00000,-309.00000,-188.00000,-188.00000,-2707.00000,-12.00000,-3216.00000,-1327.00000,46.00000,-2707.00000
2014-12-31,3588.00000,1119.00000,239.00000,1358.00000,37.00000,,-5.00000,-30.00000,-113.00000,4833.00000,-1177.00000,,,,-1177.00000,381.00000,381.00000,-1621.00000,-1621.00000,-2397.00000,-84.00000,-3721.00000,-94.00000,48.00000,-2397.00000
2013-12-31,2954.67600,1099.66800,289.67600,1389.34400,-209.05500,1.11300,13.77700,-49.04000,95.39200,4439.41200,-865.95610,-45.87100,,-0.38200,-912.20900,-329.92500,-329.92500,-491.20400,-491.20400,-1575.90700,-35.41400,-2432.45000,1087.64800,53.37700,-1575.90700
2012-12-31,1881.81300,977.74300,471.10800,1448.85100,-675.46100,-8.35500,0.78800,-78.53700,-272.90700,3057.75700,-1446.32500,0.00000,,0.69300,-1445.63200,-48.21240,-48.21240,575.14800,575.14800,-3452.77800,-119.46400,-3045.30600,-1389.95200,65.42800,-3452.77800
2011-12-31,1883.11900,876.54000,335.23200,1211.77200,-789.16300,-2.84100,-9.56500,-29.97300,-432.39510,2662.49600,-1502.40000,-0.10000,,804.39400,-698.10600,-98.77520,-98.77520,38.01700,-824.17490,-85.68500,-84.82600,-1093.46100,865.63700,62.71400,-85.68500
2010-12-31,781.60300,772.70700,320.91800,1093.62500,-332.92400,-4.94100,29.27000,-67.83400,-5.07700,1870.15100,-1974.24600,-45.30300,,-688.26600,-2707.81500,-1203.58200,-1203.58200,241.96900,235.39000,-93.40000,-65.96500,-1127.55700,-1918.33500,58.02100,-93.40000
2009-12-31,-368.74300,637.90600,379.94500,1017.85100,-178.74600,1.75900,11.38800,-75.32000,-10.49500,638.61300,-2088.69300,,,78.63000,-2010.06300,1054.55600,1054.55600,0.05100,0.05100,-94.69700,2346.06300,3305.97300,1917.25300,45.54500,
