,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-01-31,1375.63900,225.47100,190.61000,416.08100,-159.18300,-2.21800,-126.42200,-186.45400,1605.26600,-132.59000,-13.01800,-3.50100,-2709.98800,-2709.98800,,-2859.09700,,,33.73100,33.73100,0.33700,34.06800,-1219.76300,477.28700
2021-01-31,672.31600,133.16300,345.84600,479.00900,-219.03900,3.48100,283.75600,319.85200,1471.17700,-79.97200,-5.84300,-26.48600,-1451.77800,-1451.77800,1.65900,-1562.42000,,,2050.27700,2050.27700,,2050.27700,1959.03400,275.81800
2020-01-31,25.30500,53.55000,85.29600,138.84600,-64.71500,-2.03000,3.30700,-12.25900,151.89200,-38.08400,-0.14100,,-459.67400,-459.67400,-1.56900,-499.46800,,,615.69000,615.69000,,615.69000,268.11400,73.10900
2019-01-31,7.58400,27.84700,10.93100,38.77800,-41.04000,0.83200,17.77100,4.97000,51.33200,-28.43200,-2.01800,,-9.26900,-9.26900,,-39.71900,14.90800,14.90800,2.62600,2.62600,,17.53400,29.14700,8.94100
2018-01-31,-3.82200,11.80900,11.15100,22.96000,-16.56000,1.25400,0.58300,0.28800,19.42600,-9.73800,,,-103.61900,-103.61900,,-113.35700,-0.12000,-0.12000,0.73300,-3.87700,,-3.99700,-97.92800,10.32900
