,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-01-31,-421.03400,1461.14100,442.14800,1903.28900,-409.07900,-291.88600,93.15700,-161.80600,-662.88700,819.36800,-169.32400,-17.79700,-3554.93600,0.00000,,,-3.07300,-3745.13000,3188.01300,3188.01300,84.48400,84.48400,-191.04900,-290.62000,2790.82800,-134.93400,460.67900,-191.04900
2021-01-31,-277.29800,668.83800,357.87400,1026.71200,-44.32200,29.91300,39.66300,-41.63400,67.87300,817.28700,-106.79800,-12.70800,,0.00000,,,-0.13800,-119.64400,-250.00000,-250.00000,61.43300,61.43300,-160.57400,-247.63900,-596.78000,100.86300,241.53900,-160.57400
2020-01-31,1584.39100,587.32900,-1620.64100,-1033.31200,11.24400,12.75900,1.65800,-54.13800,-190.78200,360.29700,-81.92100,-4.71200,627.70400,18.83200,,18.83200,-1.05700,558.84600,-300.00000,-300.00000,-216.99600,-216.99600,-159.57300,-177.38000,-853.94900,65.19400,242.20700,-159.57300
2019-01-31,-179.09400,542.02700,308.25700,850.28390,-99.04400,4.34800,-6.49300,-11.68500,-74.44600,596.74400,-32.39600,-11.54000,-2652.81700,796.92500,,796.92500,147.27500,-1752.55300,1136.47700,1136.47700,-3.01300,-3.01300,-148.08100,-135.64600,849.73700,-306.07200,184.06400,-148.08100
2018-01-31,520.83100,87.05700,7.36800,94.42500,54.98900,-12.16000,-16.61300,12.49400,-44.14300,571.11300,-25.99200,-6.58700,168.34200,-102.33100,,-102.33100,6.08900,39.52100,,,-347.27200,-347.27200,-119.25100,-69.72100,-536.24400,74.39000,86.68900,-119.25100
2017-01-31,21.15100,121.81100,207.83900,329.65000,-12.08400,29.32500,-28.15300,-720.10300,-709.23600,-358.43500,-44.51000,-10.30900,,366.39800,,366.39800,-149.98400,161.59500,,,-107.34500,-107.34500,-122.29200,-37.61100,-267.24800,-464.08800,113.97000,-122.29200
2016-01-31,-811.40000,120.97600,161.58000,282.55600,97.65500,90.58600,-105.89800,700.39300,734.19600,205.35200,-37.48800,-8.23600,,247.45500,,247.45500,-0.04100,201.69000,,,-180.15800,-180.15800,-122.82100,-36.86000,-339.83900,67.20300,133.77900,-122.82100
2015-01-31,435.34600,121.00300,117.14100,238.14400,34.16500,39.45400,-43.87100,12.16100,55.44600,728.93600,-63.03000,-16.42400,,-302.00900,13.22000,-288.78900,-0.70100,-368.94400,,,47.39500,47.39500,-122.80100,-39.35900,-114.76500,245.22700,137.24600,-122.80100
2014-01-31,315.32000,154.67400,153.05900,307.73300,-123.25800,-97.18800,39.79100,21.05500,-175.01400,448.03900,-66.59300,-17.64700,3.75500,155.27800,,155.27800,,74.79300,,,-171.32300,-171.32300,-119.44900,-18.26300,-309.03500,213.79700,155.87300,-119.44900
2013-01-31,306.58500,143.72800,141.64000,285.36800,77.02500,103.10200,-24.30400,1.31100,137.08400,729.03700,-68.18600,-35.00200,-1.00000,283.00300,,283.00300,,178.81500,,,-831.99900,-831.99900,-98.76100,-10.04100,-940.80100,-32.94900,127.28000,-98.76100
2012-01-31,615.09100,137.81100,131.64400,269.45500,54.55000,-101.10900,-47.09500,14.53400,-113.29900,771.24700,-88.77900,-13.82300,-93.91600,-393.53500,,-393.53500,,-590.05300,-0.51100,-0.51100,-1234.83700,-1234.83700,,-8.01800,-1243.36600,-1062.17200,119.86300,0.00000
2011-01-31,904.12900,172.72800,130.34000,303.06800,-102.61000,-3.65500,42.46400,67.00100,-13.64900,1193.54800,-90.17300,-23.14400,-29.44600,-395.75800,9.19200,-386.56600,,-529.32900,-1.94000,-1.94000,87.87300,87.87300,,-8.50600,77.42700,741.64600,118.40500,0.00000
2010-01-31,353.45600,206.74800,139.99300,346.74100,-134.69500,67.15000,142.00200,35.83500,111.31600,811.51300,-39.81400,-15.59800,,-688.61700,,-688.61700,,-744.02900,-1.78700,-1.78700,111.64500,111.64500,,0.67700,110.53500,178.01900,126.59900,
2009-01-31,147.24200,266.14700,143.94000,410.08700,109.91900,126.93800,-88.79500,27.45100,123.35600,680.68500,-73.24300,-5.20000,-5.28700,19.00900,,19.00900,,-64.72100,-397.21300,-397.21300,92.64500,92.64500,,0.36500,-304.20300,311.76100,177.13200,
