,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-06-30,3322.06000,363.34400,-150.09000,213.25400,-510.32600,-567.00300,101.63200,670.28590,-305.41100,3312.70200,-279.66200,-479.11300,-4.10900,-113.57400,-117.68300,-876.45800,3222.40900,3222.40900,-3854.79200,-3854.79200,-639.13000,-985.49200,-2257.00500,150.29800,126.91800,-639.13000
2021-06-30,2077.35300,333.33500,17.65100,350.98600,-203.15500,-270.10000,79.36600,150.57600,-243.31300,2185.02600,-212.94000,,4.06800,-291.53200,-287.46410,-500.40400,-29.65700,-29.65700,-852.50900,-852.50900,-559.35300,-56.36200,-1497.88100,200.20100,111.83600,-559.35300
2020-06-30,1215.02500,604.69800,68.01000,672.70800,-118.36200,-74.81700,61.14400,44.67000,-87.36500,1778.85000,-152.67500,-90.14300,6.52500,-22.58100,-16.05600,-258.87400,20.79910,20.79910,-753.45000,-753.45000,-523.66000,-43.32400,-1299.63500,218.41500,111.38100,-523.66000
2019-06-30,1175.01700,233.22400,70.73400,303.95800,-146.15100,-59.56100,-21.62700,-99.00400,-326.34300,1152.63200,-130.49800,-1818.28300,4.24300,763.55600,767.79900,-1180.98200,1181.31100,1181.31100,-1030.37400,-1030.37400,-472.26300,-38.67900,-360.00500,-388.38800,94.19400,-472.26300
2018-06-30,802.26500,62.68400,171.43000,234.11400,-76.03300,-179.60500,21.77800,426.60100,192.74100,1229.12000,-66.94700,-17.40300,3.97000,371.99800,375.96800,291.61800,-697.55700,-697.55700,-141.72500,-141.72500,-402.06500,-28.75600,-1270.10300,251.33100,62.78400,-402.06500
2017-06-30,926.07600,57.83600,50.77700,108.61300,39.75000,-46.54900,39.96800,11.80700,44.97600,1079.66500,-35.64700,-28.56000,-0.43200,-496.24710,-496.67910,-560.88600,-130.00000,-130.00000,20.35700,20.35700,-343.99300,-19.16900,-472.80500,44.56300,50.94300,-343.99300
2016-06-30,704.42200,66.93200,48.42700,115.35900,-8.29200,-67.57900,3.10900,12.67700,-60.08500,759.69600,-24.66500,,4.80900,164.54310,169.35210,144.68700,-135.00000,-135.00000,-143.41300,-143.41300,-346.28300,-12.00600,-636.70200,270.46300,45.05000,-346.28300
2015-06-30,366.15800,80.53600,147.33000,227.86600,-118.52000,27.50000,0.84800,102.05400,11.88200,605.90600,-45.79100,,3.05900,960.95290,964.01190,918.22100,2308.78900,2308.78900,-555.88000,-555.88000,-3041.05500,-14.82600,-1302.97200,207.16400,55.30200,-3041.05500
2014-06-30,582.75500,83.07200,53.01600,136.08800,32.59100,-26.17300,-12.33300,65.95800,60.04300,778.88600,-63.66600,-18.00000,1.73700,-596.17990,-594.44290,-676.10900,,,-128.62200,-128.62200,-298.87100,-31.39400,-458.88700,-354.52900,60.94000,-298.87100
2013-06-30,543.14900,87.53400,58.29800,145.83200,159.24500,14.78700,-22.81200,72.98700,224.20700,913.18800,-72.73500,,1.66100,-170.37300,-168.71210,-241.44700,,,-147.13300,-147.13300,-265.89300,-15.48400,-428.51000,234.09600,70.08400,-265.89300
2012-06-30,756.01500,92.13300,274.48800,366.62100,-113.92200,-93.14500,-3.73200,29.78000,-181.01900,941.61700,-55.36800,,2.23600,-475.75900,-473.52300,-528.89100,,,-100.29500,-100.29500,-233.56100,-30.24700,-364.10300,39.96500,78.83500,-233.56100
2011-06-30,794.48800,86.04400,152.81200,238.85600,-128.21900,-170.14100,34.25900,53.92300,-210.17800,823.16600,-32.96600,,20.18500,-346.72890,-326.54390,-359.51000,,,-110.27100,-110.27100,-167.39800,-22.48600,-300.15500,181.41100,81.43000,-167.39800
2010-06-30,212.30000,102.49700,50.03500,152.53200,-220.85700,-27.71500,44.38100,287.15900,82.96800,447.80000,-24.32400,-1.50000,23.30200,-225.44200,-202.14000,-227.96400,,,-100.40800,-100.40800,-102.40900,-13.51400,-216.33100,4.95100,85.98200,-102.40900
2009-06-30,-523.36800,588.46800,165.50400,753.97210,277.33100,120.24900,-46.79600,-385.70400,-34.92000,195.68400,-0.41200,-141.39900,12.52500,-355.61400,-343.08900,-484.90000,,,-186.40700,-186.40700,-102.14900,-10.56100,-299.11700,-603.13900,105.53500,-102.14900
