,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,562.14900,745.63900,-127.65700,617.98210,,,-252.43600,-252.43600,927.69500,-704.95900,-2.14300,-803.69000,-73.23300,-73.23300,-76.39800,-1660.42300,1356.31300,1356.31300,-4.84900,-4.84900,-724.38800,12.13000,639.20700,-114.03100,56.86100,-724.38800
2021-12-31,452.72500,696.97000,-259.12400,437.84590,,,-131.66900,-131.66900,758.90200,-332.75200,-5.89200,-203.99800,-78.62300,-78.62300,147.95200,-473.31300,545.54300,545.54300,25.86000,25.86000,-718.34000,-73.86900,-220.80600,50.76500,61.00100,-718.34000
2020-12-31,343.09600,692.44500,-182.23400,510.21100,,,134.35000,134.35000,987.65700,126.40100,-4.34600,-118.58100,-18.25000,-18.25000,-70.66400,-85.44000,-142.49020,-142.49020,0.32100,0.32100,-716.29000,-28.24000,-886.69900,11.50800,37.67400,-716.29000
2019-12-31,268.31500,674.94100,14.64300,689.58400,,,8.75600,8.75600,966.65500,-526.84000,-46.10500,-58.23700,-19.22200,-19.22200,-80.48100,-730.88500,512.20310,512.20310,1.02700,1.02700,-704.52600,-7.67700,-198.97300,28.07000,35.65400,-704.52600
2018-12-31,355.13100,655.18900,-35.88800,619.30090,,,-38.88300,-38.88300,935.54900,-373.90300,-63.57700,-1758.55700,,,-25.84100,-2221.87800,1159.47600,1159.47600,75.05000,75.05000,-673.63500,-10.21200,550.67800,-760.21400,31.16700,-673.63500
2017-12-31,171.72400,540.34900,94.15300,634.50200,,,-85.25800,-85.25800,720.96800,-333.79400,-55.12600,-219.70500,,,9.17700,-599.44800,397.45310,397.45310,529.55700,529.55700,-439.99900,53.41500,540.42500,689.21500,30.01900,-439.99900
2016-12-31,107.23300,465.47700,31.99800,497.47500,,,-60.81300,-60.81300,543.89500,-320.62600,-31.56100,-291.96500,,,108.16100,-535.99100,618.39060,618.39060,31.92200,31.92200,-505.87100,-19.06900,125.37300,108.10300,28.97600,-505.87100
2015-12-31,125.20300,354.71300,105.24900,459.96200,17.98400,18.01700,-1.93700,-43.40500,541.76000,-287.97700,-32.61100,-113.55800,,,-22.50000,-456.64600,299.10840,299.10840,7.14900,7.14900,-406.50800,-8.26000,-108.51100,-31.41200,27.58500,-406.50800
2014-12-31,328.74600,361.15200,-183.89800,177.25400,0.11300,16.87000,51.39200,-33.05200,472.94800,-317.43800,-15.07400,-128.09300,,,-19.37300,-479.97800,536.54000,536.54000,44.29000,44.29000,-542.29800,-18.67600,19.85700,5.40700,29.62400,-542.29800
2013-12-31,99.99200,329.29500,36.59300,365.88800,-33.18100,24.16800,55.79900,41.66600,507.54600,-285.21100,-11.04300,-317.10000,,,-24.33300,-637.68700,232.25100,232.25100,17.66400,17.66400,-206.79800,-24.55300,18.56400,-122.88900,30.35400,-206.79800
2012-12-31,174.04800,323.29200,-22.30600,300.98600,-17.96400,-0.70600,-59.92300,-42.29800,432.73600,-239.22600,-28.87200,-125.13400,-2.33000,-2.33000,-4.63800,-400.20000,345.65800,345.65800,2.19200,2.19200,-318.84500,-0.77500,28.23000,63.57000,30.36000,-318.84500
2011-12-31,399.59200,372.31700,-157.61200,214.70500,-20.79900,7.06900,-0.75800,1.14100,615.43800,-204.92400,-21.70300,-75.24600,-0.33500,-0.33500,380.71600,78.50800,316.55000,316.55000,-899.21100,-899.21100,-172.61600,-8.53100,-763.80800,-78.84800,17.25000,-172.61600
2010-12-31,-52.67800,395.47100,305.11600,700.58700,11.79300,-0.54700,4.05700,-22.76900,625.14000,-236.31300,-13.20200,-13.84100,,,-169.31400,-432.67000,-250.90100,-250.90100,-93.33800,-93.33800,-37.89300,0.89800,-381.23400,-187.96300,17.27400,-37.89300
2009-12-31,219.37900,282.30300,78.53300,360.83600,-14.89700,10.18000,-3.78700,36.69600,616.91100,-283.32600,-10.74100,-1.51800,-3.11400,-3.11400,-25.36700,-324.06600,-157.56010,-157.56010,24.23300,24.23300,,3.63500,-129.69200,168.28600,15.21000,0.00000
