,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-07-31,-390.27800,173.13800,441.60100,614.73900,-143.33600,14.35800,194.72600,97.45100,321.91200,-90.58000,,-25.28700,489.93000,,489.93000,,374.06300,,,41.59200,41.59200,-0.25500,41.33700,737.31200,409.56200
2021-07-31,-262.02900,128.93900,289.56200,418.50100,-111.60500,7.45100,99.31300,45.56800,202.04000,-58.29700,,-40.53000,-10.84100,,-10.84100,,-109.66800,,,43.92500,43.92500,-2.25000,41.67500,134.04700,258.53500
2020-07-31,-115.11600,50.92500,134.89500,185.82000,-54.22200,0.86200,31.78100,8.61300,79.31700,-51.80900,,-39.60100,-946.75200,,-946.75200,,-1038.16200,1130.52200,1130.52200,36.93500,36.93500,-145.24500,1022.21200,63.36700,121.39500
2019-07-31,-28.65500,29.95700,43.13400,73.09100,-31.73000,0.49500,47.01100,13.59100,58.02700,-28.68200,-1.48000,-11.43200,-120.48000,,-120.48000,,-162.07400,1.90500,1.90500,46.27600,46.27600,-1.79700,46.38400,-57.66300,46.42300
2018-07-31,-33.64600,21.16900,11.35400,32.52300,-22.55900,-0.77900,27.90700,18.43000,17.30700,-15.17000,,,-162.93300,,-162.93300,,-178.10300,5.34600,5.34600,207.38700,207.38700,-4.33600,208.39700,47.60100,11.22400
2017-07-31,-35.46000,15.31400,9.83000,25.14400,-14.56300,2.24900,5.98900,4.29700,-6.01900,-8.17400,,,,,,,-8.17400,1.85600,1.85600,7.67200,7.67200,-0.03100,9.49700,-4.69600,9.91900
2016-07-31,-27.43800,10.38700,3.55800,13.94500,-6.18800,0.56300,2.51600,1.57700,-11.91600,-6.24700,,,,,,-0.40000,-6.64700,0.83300,0.83300,1.77300,26.73000,,27.56300,9.00000,3.61700
2015-07-31,-12.83200,6.86200,1.47300,8.33500,-4.72300,-0.38900,4.64700,1.21800,-3.27900,-6.70500,,,,6.11000,6.11000,,-0.59500,0.33800,0.33800,0.55100,85.27700,,85.61500,81.74100,1.56100
