,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,643.00000,674.00000,50.00000,724.00000,15.00000,34.00000,49.00000,1416.00000,-268.00000,-301.00000,-60.00000,-60.00000,11.00000,-618.00000,-685.00000,-685.00000,-26.00000,-26.00000,-150.00000,-13.00000,-874.00000,-79.00000,26.00000,-150.00000
2021-12-31,-11.00000,772.00000,-368.00000,404.00000,-151.00000,50.00000,-101.00000,292.00000,302.00000,-1458.00000,-11.00000,-11.00000,9.00000,-1158.00000,-757.00000,-757.00000,138.00000,138.00000,,-38.00000,-657.00000,-1523.00000,18.00000,
2020-12-31,-741.00000,673.00000,-280.00000,393.00000,96.00000,-55.00000,41.00000,-307.00000,-218.00000,,-5.00000,-5.00000,28.00000,-195.00000,1773.00000,1773.00000,-147.00000,-169.00000,-320.00000,-53.00000,1231.00000,726.00000,17.00000,-320.00000
2019-12-31,932.00000,682.00000,-268.00000,414.00000,3.00000,-99.00000,-96.00000,1250.00000,634.00000,-602.00000,-5.00000,-5.00000,31.00000,58.00000,-61.00000,-61.00000,-482.00000,-482.00000,-623.00000,-149.00000,-1315.00000,-6.00000,15.00000,-623.00000
2018-12-31,1151.00000,951.00000,-856.00000,95.00000,13.00000,41.00000,54.00000,1300.00000,1131.00000,-1025.00000,-6.00000,-6.00000,,100.00000,-103.00000,-103.00000,,,-629.00000,-16.00000,-748.00000,647.00000,14.00000,-629.00000
2017-12-31,571.00000,758.00000,-48.00000,710.00000,-27.00000,-24.00000,-51.00000,1230.00000,204.00000,-468.00000,-17.00000,-17.00000,14.00000,-267.00000,280.00000,280.00000,,,-628.00000,-54.00000,-402.00000,565.00000,11.00000,-628.00000
2016-12-31,771.00000,731.00000,-211.00000,520.00000,-6.00000,17.00000,11.00000,1302.00000,-54.00000,-63.00000,18.00000,18.00000,,-99.00000,-219.00000,-219.00000,-218.00000,-218.00000,-596.00000,-4.00000,-1037.00000,167.00000,12.00000,-596.00000
2015-12-31,565.00000,729.00000,-114.00000,615.00000,17.00000,-37.00000,-20.00000,1160.00000,-383.00000,-438.00000,102.00000,102.00000,11.00000,-708.00000,482.00000,482.00000,-675.00000,-675.00000,-646.00000,-18.00000,-857.00000,-421.00000,11.00000,-646.00000
2014-12-31,741.00000,717.00000,-235.00000,482.00000,-17.00000,-66.00000,-83.00000,1140.00000,69.00000,-151.00000,-23.00000,-23.00000,19.00000,-86.00000,-751.00000,-751.00000,4.00000,4.00000,-469.00000,-3.00000,-1219.00000,-173.00000,22.00000,-469.00000
2013-12-31,325.00000,732.00000,-79.00000,653.00000,21.00000,20.00000,41.00000,1019.00000,184.00000,-185.00000,-74.00000,-74.00000,,-75.00000,-476.00000,-476.00000,303.00000,303.00000,-313.00000,-7.00000,-493.00000,444.00000,18.00000,-313.00000
2012-12-31,63.00000,767.00000,-19.00000,748.00000,-42.00000,12.00000,-30.00000,781.00000,-462.00000,-447.00000,-47.00000,-47.00000,70.00000,-886.00000,-368.00000,-368.00000,274.00000,274.00000,-187.00000,-24.00000,-305.00000,-409.00000,16.00000,-187.00000
2011-12-31,-16.00000,685.00000,-2.00000,683.00000,,-5.00000,-5.00000,662.00000,-496.00000,-1047.00000,-48.00000,-48.00000,15.00000,-1576.00000,399.00000,399.00000,323.00000,323.00000,-70.00000,-24.00000,628.00000,-287.00000,19.00000,-70.00000
2010-12-31,-132.00000,625.00000,26.00000,651.00000,-9.00000,10.00000,1.00000,520.00000,-297.00000,-380.00000,-54.00000,-54.00000,25.00000,-706.00000,-642.00000,-642.00000,406.00000,305.00000,-26.00000,20.00000,-343.00000,-529.00000,40.00000,-20.00000
2009-12-31,-258.00000,748.00000,-55.00000,693.00000,34.00000,83.00000,117.00000,552.00000,-147.00000,,-7.00000,-7.00000,38.00000,-116.00000,1.00000,1.00000,767.00000,767.00000,-52.00000,-18.00000,698.00000,1134.00000,,-43.00000
