,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,500.82600,1037.39300,-284.00400,753.38910,-63.86900,-83.46900,90.07600,86.04900,-12.77400,1241.44100,-1570.05400,,-4.35000,-4.35000,-43.64200,-1618.04600,725.53700,48.72000,774.25700,-2.65300,-2.65300,-378.88100,-21.25500,371.46800,-5.13700,15.94200,-378.88100
2021-12-31,635.94400,763.69800,-167.47900,596.21900,-72.55900,-32.87000,20.26700,-293.57600,-372.14900,860.01400,-1367.82100,,-4.51400,-4.51400,-14.59400,-1386.92900,746.99900,123.00000,869.99900,-2.35000,-2.35000,-369.47800,-21.25500,476.91600,-49.99900,18.46000,-369.47800
2020-12-31,570.05200,674.20600,-44.76200,629.44400,-18.19100,11.62300,-6.05900,-246.05900,-233.13100,966.36500,-1264.08100,,-3.09000,-3.09000,-10.64700,-1277.81800,681.52200,54.32500,735.84700,-1.38900,-1.38900,-350.57700,-22.74300,361.13800,49.68500,18.29200,-350.57700
2019-12-31,557.81300,713.64800,-100.95300,612.69500,-12.78900,-51.82600,50.64100,-177.16600,-213.78200,956.72600,-1120.75400,,-3.14700,-3.14700,-7.07600,-1130.97700,492.18800,38.27500,530.46300,0.69200,0.69200,-329.64300,-22.74400,178.76800,4.51700,18.37600,-329.64300
2018-12-31,530.54000,767.70500,-0.93200,766.77300,37.53000,-6.10300,-14.60200,-43.59100,-20.16900,1277.14400,-1150.45300,,-19.13200,-19.13200,-23.23900,-1192.82400,263.24500,-19.00000,244.24500,-5.05500,-5.05500,-308.89200,-22.74400,-92.44600,-8.12600,19.54700,-308.89200
2017-12-31,507.94900,595.86200,167.83000,763.69200,-93.79700,-6.68300,-23.76900,-38.60400,-153.60500,1118.03600,-1385.06600,,-2.28100,-2.28100,-41.19000,-1428.53700,723.23900,-81.80000,641.43900,-13.39000,-13.39000,-289.79300,-22.74400,315.51200,5.01100,20.50200,-289.79300
2016-12-31,461.52700,603.16300,164.80000,767.96300,-2.48900,-1.49100,-66.91700,-123.94100,-206.10000,1023.39000,-1211.17600,,-2.28100,-2.28100,-38.62100,-1252.07800,322.72100,177.20000,499.92100,-4.86700,-4.86700,-274.22900,-22.74400,198.08100,-30.60700,18.88300,-274.22900
2015-12-31,456.19000,573.28100,266.28200,839.56290,,-23.94500,-34.26600,-148.00400,-201.42600,1094.32700,-1029.54100,,-17.24900,-17.24900,-19.44300,-1066.23300,426.84500,-147.40000,279.44500,19.37300,19.37300,-260.02700,-35.00100,3.79000,31.88400,18.75600,-260.02700
2014-12-31,423.69600,537.24400,135.29300,672.53700,,3.72400,-0.35300,-138.27400,3.39400,1099.62700,-890.30900,,-17.24900,-17.24900,-15.11000,-922.66800,78.54800,-5.72500,72.82300,15.28800,15.28800,-246.67100,-20.32100,-178.88100,-1.92200,33.05900,-246.67100
2013-12-31,439.96600,523.51200,311.28300,834.79500,,-11.87800,45.41400,-26.00400,-121.45400,1153.30700,-975.23200,,-17.24900,-17.24900,-16.92000,-1009.40100,13.47900,60.95000,74.42900,17.31900,17.31900,-235.24400,-17.08600,-160.58200,-16.67600,,-235.24400
2012-12-31,413.16400,364.54600,417.74000,782.28600,,-23.04300,-96.60000,56.22800,-24.32800,1171.12200,-839.67500,,-17.24900,-17.24900,-16.07000,-872.99400,-178.20500,92.17500,-86.03000,15.95500,15.95500,-225.07500,-10.35900,-305.50900,-7.38100,,-225.07500
2011-12-31,366.94000,338.62700,274.32700,612.95400,,-23.39800,58.34600,120.62000,145.68900,1125.58300,-846.25400,45.11100,39.42500,39.42500,-20.28900,-782.00700,-184.81600,-16.60000,-201.41600,15.84100,15.84100,-221.72800,-12.87800,-420.18100,-76.60500,,-221.72800
2010-12-31,370.20900,350.32600,191.72700,542.05300,-67.94300,12.27600,9.12500,-139.48500,-161.80500,750.45700,-715.62000,100.30000,47.62200,47.62200,-8.20200,-575.90000,-106.57200,-137.11500,-243.68700,255.97100,255.97100,-216.97900,-5.05200,-209.74700,-35.19000,,-216.97900
2009-12-31,72.76400,597.88200,341.78700,939.66900,,-12.26100,-27.32800,137.13500,54.87200,1067.30500,-711.08400,,21.57900,21.57900,-15.41200,-704.91700,410.58700,-516.75400,-106.16700,3.30200,3.30200,-205.07600,-14.31400,-322.25500,40.13300,,-205.07600
