,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,4640.00000,2758.00000,863.00000,3621.00000,1187.00000,347.00000,-1255.00000,-1065.00000,-786.00000,7475.00000,-1988.00000,-217.00000,-715.00000,-715.00000,-50.00000,-2970.00000,661.00000,239.00000,900.00000,-2113.00000,-2113.00000,-2089.00000,-59.00000,-3361.00000,907.00000,-2089.00000
2021-12-31,6405.00000,2842.00000,-791.00000,2051.00000,-2132.00000,-1768.00000,2458.00000,-5.00000,-1447.00000,7009.00000,-2219.00000,-129.00000,-556.00000,-556.00000,-10.00000,-2914.00000,-2662.00000,-34.00000,-2696.00000,-680.00000,-680.00000,-2146.00000,-549.00000,-6071.00000,-2075.00000,-2146.00000
2020-12-31,1294.00000,2874.00000,866.00000,3740.00000,171.00000,515.00000,-84.00000,590.00000,1192.00000,6226.00000,-333.00000,-130.00000,-407.00000,-407.00000,29.00000,-841.00000,19.00000,-431.00000,-412.00000,-17.00000,-17.00000,-2133.00000,-202.00000,-2764.00000,2728.00000,-2133.00000
2019-12-31,-1272.00000,2938.00000,3877.00000,6815.00000,1253.00000,668.00000,-948.00000,-586.00000,387.00000,5930.00000,-1962.00000,,-196.00000,-196.00000,-34.00000,-2192.00000,-3274.00000,307.00000,-2967.00000,-407.00000,-407.00000,-2162.00000,1441.00000,-4095.00000,-384.00000,-2162.00000
2018-12-31,4775.00000,2909.00000,-1772.00000,1137.00000,-855.00000,-859.00000,787.00000,-731.00000,-1658.00000,4254.00000,-2184.00000,-20.00000,-279.00000,-279.00000,288.00000,-2195.00000,-1055.00000,-178.00000,-1233.00000,112.00000,112.00000,-3846.00000,-437.00000,-5404.00000,-3444.00000,-3846.00000
2017-12-31,595.00000,2546.00000,3429.00000,5975.00000,-11431.00000,-891.00000,1081.00000,-258.00000,-11499.00000,-4929.00000,-2593.00000,47.00000,-157.00000,-157.00000,10221.00000,7518.00000,-617.00000,268.00000,-349.00000,489.00000,489.00000,-3336.00000,-129.00000,-3325.00000,-416.00000,-3336.00000
2016-12-31,4404.00000,2862.00000,,2862.00000,,,,,-8377.00000,-2957.00000,-3820.00000,1092.00000,,-864.00000,8684.00000,5092.00000,,-33.00000,-556.00000,,-720.00000,-2638.00000,-67.00000,-4014.00000,-1956.00000,
