,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1079.00000,1459.00000,151.00000,1610.00000,-317.00000,-77.00000,-223.00000,-494.00000,2263.00000,-3380.00000,-13.00000,-13.00000,23.00000,-3370.00000,962.00000,522.00000,1484.00000,333.00000,333.00000,-615.00000,-34.00000,1168.00000,61.00000,24.00000,-615.00000
2021-12-31,995.00000,1300.00000,135.00000,1435.00000,-74.00000,-71.00000,-672.00000,-788.00000,1661.00000,-3523.00000,-13.00000,-13.00000,8.00000,-3528.00000,1976.00000,55.00000,2031.00000,308.00000,308.00000,-570.00000,-48.00000,1721.00000,-146.00000,22.00000,-570.00000
2020-12-31,877.00000,1175.00000,137.00000,1312.00000,-47.00000,-25.00000,-486.00000,-484.00000,1727.00000,-3299.00000,-41.00000,-41.00000,11.00000,-3329.00000,1741.00000,50.00000,1791.00000,476.00000,476.00000,-500.00000,-40.00000,1727.00000,125.00000,21.00000,-500.00000
2019-12-31,834.00000,1100.00000,159.00000,1259.00000,79.00000,-10.00000,33.00000,91.00000,2170.00000,-2442.00000,4.00000,4.00000,3.00000,-2435.00000,947.00000,-157.00000,790.00000,68.00000,68.00000,-478.00000,-46.00000,334.00000,69.00000,20.00000,-478.00000
2018-12-31,821.00000,1053.00000,208.00000,1261.00000,-24.00000,39.00000,61.00000,44.00000,2170.00000,-2338.00000,-16.00000,-16.00000,18.00000,-2336.00000,511.00000,112.00000,623.00000,74.00000,74.00000,-457.00000,-35.00000,205.00000,39.00000,20.00000,-457.00000
2017-12-31,529.00000,974.00000,532.00000,1506.00000,-53.00000,17.00000,42.00000,93.00000,2118.00000,-2195.00000,-16.00000,-16.00000,7.00000,-2204.00000,664.00000,-74.00000,590.00000,-24.00000,-24.00000,-437.00000,-27.00000,102.00000,16.00000,17.00000,-437.00000
2016-12-31,659.00000,945.00000,376.00000,1321.00000,-71.00000,11.00000,161.00000,133.00000,2117.00000,-2131.00000,-18.00000,-18.00000,-9.00000,-2158.00000,1.00000,257.00000,258.00000,-51.00000,-51.00000,-422.00000,-43.00000,-258.00000,-299.00000,17.00000,-422.00000
2015-12-31,636.00000,896.00000,377.00000,1273.00000,83.00000,-14.00000,87.00000,132.00000,2031.00000,-1969.00000,-14.00000,-14.00000,7.00000,-1976.00000,1077.00000,-413.00000,664.00000,,,-408.00000,-24.00000,232.00000,287.00000,24.00000,-408.00000
2014-12-31,592.00000,813.00000,437.00000,1250.00000,31.00000,3.00000,-253.00000,-253.00000,1565.00000,-1859.00000,-14.00000,-14.00000,156.00000,-1717.00000,201.00000,346.00000,547.00000,,,-396.00000,-24.00000,127.00000,-25.00000,25.00000,-396.00000
2013-12-31,295.00000,761.00000,680.00000,1441.00000,-60.00000,60.00000,48.00000,-66.00000,1693.00000,-1424.00000,-18.00000,-18.00000,-281.00000,-1723.00000,-121.00000,368.00000,247.00000,,,-394.00000,-2.00000,-149.00000,-179.00000,27.00000,-394.00000
2012-12-31,-974.00000,736.00000,2032.00000,2768.00000,30.00000,-28.00000,-61.00000,-97.00000,1690.00000,-1154.00000,-19.00000,-19.00000,-137.00000,-1310.00000,122.00000,-148.00000,-26.00000,,,-388.00000,-12.00000,-426.00000,-46.00000,29.00000,-388.00000
2011-12-31,526.00000,679.00000,624.00000,1303.00000,200.00000,-29.00000,-90.00000,48.00000,1878.00000,-943.00000,-21.00000,-21.00000,-84.00000,-1048.00000,-155.00000,-481.00000,-636.00000,65.00000,65.00000,-381.00000,-168.00000,-1120.00000,-297.00000,17.00000,-381.00000
2010-12-31,151.00000,823.00000,922.00000,1745.00000,-197.00000,73.00000,0.00000,-94.00000,1823.00000,-1083.00000,-15.00000,-15.00000,2.00000,-1096.00000,-310.00000,-121.00000,-431.00000,80.00000,28.00000,-376.00000,-25.00000,-804.00000,-77.00000,,-376.00000
2009-12-31,624.00000,786.00000,238.00000,1024.00000,136.00000,63.00000,183.00000,343.00000,1967.00000,-1780.00000,-3.00000,-3.00000,2.00000,-1781.00000,390.00000,-324.00000,66.00000,634.00000,634.00000,-359.00000,3.00000,344.00000,530.00000,,-359.00000
