,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,6834.00000,2998.00000,-729.00000,2269.00000,-797.00000,-59.00000,-296.00000,,-581.00000,8522.00000,-4395.00000,1013.00000,14.00000,14.00000,-21.00000,-3389.00000,3287.00000,3287.00000,-7000.00000,-7000.00000,-653.00000,-1290.00000,-5656.00000,-543.00000,341.00000,-653.00000
2021-12-31,7721.00000,2880.00000,-1069.00000,1811.00000,-962.00000,-540.00000,999.00000,,-573.00000,8959.00000,-3577.00000,1055.00000,-117.00000,-117.00000,-4.00000,-2643.00000,3255.00000,3255.00000,-8215.00000,-8215.00000,-624.00000,-1071.00000,-6655.00000,-342.00000,440.00000,-624.00000
2020-12-31,4387.00000,2751.00000,775.00000,3526.00000,327.00000,-304.00000,1255.00000,,1319.00000,9232.00000,-2835.00000,-500.00000,-20.00000,-20.00000,-38.00000,-3393.00000,-3217.00000,-3217.00000,-441.00000,-441.00000,-153.00000,-866.00000,-4677.00000,1172.00000,362.00000,-153.00000
2019-12-31,4145.00000,2626.00000,669.00000,3295.00000,-326.00000,-158.00000,396.00000,,162.00000,7602.00000,-4158.00000,-1621.00000,25.00000,25.00000,34.00000,-5720.00000,567.00000,567.00000,-1031.00000,-1031.00000,-550.00000,-757.00000,-1771.00000,119.00000,347.00000,-550.00000
2018-12-31,4389.00000,2309.00000,30.00000,2339.00000,-423.00000,-242.00000,698.00000,,33.00000,6761.00000,-3573.00000,-445.00000,57.00000,57.00000,60.00000,-3901.00000,-344.00000,-344.00000,-1530.00000,-1530.00000,-487.00000,-714.00000,-3075.00000,-230.00000,268.00000,-487.00000
2017-12-31,2743.00000,2162.00000,384.00000,2546.00000,-601.00000,-69.00000,374.00000,,137.00000,5426.00000,-3015.00000,-1187.00000,-73.00000,-73.00000,-4.00000,-4279.00000,1509.00000,1509.00000,-2051.00000,-2051.00000,,-519.00000,-1061.00000,86.00000,270.00000,
2016-12-31,3432.00000,2000.00000,179.00000,2179.00000,10.00000,-112.00000,144.00000,,42.00000,5653.00000,-2760.00000,-550.00000,64.00000,64.00000,6.00000,-3240.00000,815.00000,815.00000,-2751.00000,-2751.00000,,-572.00000,-2508.00000,-95.00000,251.00000,
2015-12-31,2696.00000,1939.00000,4335.00000,6274.00000,-4114.00000,-314.00000,192.00000,,-4236.00000,4734.00000,-2375.00000,-278.00000,63.00000,63.00000,7.00000,-2583.00000,778.00000,778.00000,-2397.00000,-2397.00000,,-357.00000,-1976.00000,175.00000,239.00000,
2014-12-31,2373.00000,1862.00000,3729.00000,5591.00000,-3645.00000,-232.00000,444.00000,,-3516.00000,4448.00000,-2176.00000,-715.00000,-37.00000,-37.00000,10.00000,-2918.00000,778.00000,778.00000,-1750.00000,-1750.00000,,-406.00000,-1378.00000,152.00000,163.00000,
2013-12-31,1996.00000,1808.00000,4148.00000,5956.00000,-4395.00000,-19.00000,142.00000,,-4272.00000,3680.00000,-1943.00000,-448.00000,36.00000,36.00000,9.00000,-2346.00000,-692.00000,-692.00000,-500.00000,-500.00000,,-433.00000,-1625.00000,-291.00000,113.00000,
2012-12-31,2006.00000,1741.00000,4091.00000,5832.00000,-3896.00000,-122.00000,355.00000,,-3663.00000,4175.00000,-1862.00000,-228.00000,16.00000,16.00000,11.00000,-2063.00000,1724.00000,1724.00000,,,,-3504.00000,-1780.00000,332.00000,56.00000,
2011-12-31,2842.00000,1535.00000,2587.00000,4122.00000,-3248.00000,-18.00000,313.00000,-78.00000,-3031.00000,3933.00000,-1679.00000,-1401.00000,80.00000,80.00000,5.00000,-2995.00000,-1589.00000,-1589.00000,1003.00000,1003.00000,,-390.00000,-976.00000,-38.00000,26.00000,
2010-12-31,1573.00000,1502.00000,2857.00000,4359.00000,-2789.00000,-287.00000,229.00000,,-2847.00000,3085.00000,-1325.00000,-196.00000,472.00000,472.00000,10.00000,-1039.00000,2533.00000,2533.00000,,,,-4480.00000,-1947.00000,99.00000,32.00000,
2009-12-31,1375.00000,1505.00000,3420.00000,4925.00000,-3180.00000,-191.00000,280.00000,58.00000,-3553.00000,2747.00000,-1317.00000,-20.00000,303.00000,303.00000,-1.00000,-1035.00000,-1459.00000,-1459.00000,,,,-406.00000,-1865.00000,-153.00000,40.00000,
