,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2240.00000,2150.00000,291.00000,2441.00000,-329.00000,-209.00000,-145.00000,4536.00000,-2587.00000,-350.00000,,,-126.00000,-3063.00000,1360.00000,,1360.00000,-1456.00000,-1456.00000,-1077.00000,-43.00000,-1216.00000,251.00000,84.00000,-1077.00000
2021-12-31,1817.00000,2110.00000,285.00000,2395.00000,28.00000,-108.00000,126.00000,4338.00000,-1904.00000,21.00000,,,-11.00000,-1894.00000,-456.00000,,-456.00000,-1284.00000,-1284.00000,-970.00000,-190.00000,-2900.00000,-454.00000,108.00000,-970.00000
2020-12-31,1496.00000,1774.00000,460.00000,2234.00000,-179.00000,-111.00000,-327.00000,3403.00000,-1632.00000,-3200.00000,,,-15.00000,-4847.00000,-209.00000,,-209.00000,-339.00000,-339.00000,-927.00000,-84.00000,-1559.00000,-2999.00000,94.00000,-927.00000
2019-12-31,1671.00000,1672.00000,451.00000,2123.00000,-53.00000,-110.00000,80.00000,3874.00000,-1818.00000,-472.00000,,,-86.00000,-2376.00000,3149.00000,,3149.00000,-181.00000,-181.00000,-876.00000,-128.00000,1964.00000,3464.00000,86.00000,-876.00000
2018-12-31,1923.00000,1572.00000,104.00000,1676.00000,-16.00000,-216.00000,-29.00000,3570.00000,-1694.00000,-252.00000,,,-223.00000,-2169.00000,-140.00000,453.00000,313.00000,-952.00000,-952.00000,-802.00000,-67.00000,-1508.00000,-110.00000,89.00000,-802.00000
2017-12-31,1949.00000,1468.00000,-39.00000,1429.00000,-271.00000,-53.00000,-198.00000,3180.00000,-1509.00000,-99.00000,,,-12.00000,-1620.00000,-428.00000,513.00000,85.00000,-655.00000,-655.00000,-750.00000,-41.00000,-1361.00000,199.00000,101.00000,-750.00000
2016-12-31,1180.00000,1392.00000,339.00000,1731.00000,-78.00000,-22.00000,92.00000,3003.00000,-1339.00000,-565.00000,,,-25.00000,-1929.00000,375.00000,,375.00000,-662.00000,-662.00000,-726.00000,-71.00000,-1084.00000,-10.00000,90.00000,-726.00000
2015-12-31,752.00000,1335.00000,804.00000,2139.00000,-178.00000,-88.00000,-363.00000,2528.00000,-1233.00000,-409.00000,,,34.00000,-1608.00000,-427.00000,,-427.00000,-523.00000,-523.00000,-695.00000,-540.00000,-2185.00000,-1268.00000,72.00000,-695.00000
2014-12-31,1338.00000,1394.00000,-136.00000,1258.00000,-268.00000,-114.00000,-265.00000,2331.00000,-1151.00000,2218.00000,-33.00000,-33.00000,-39.00000,995.00000,-751.00000,,-751.00000,-507.00000,-507.00000,-693.00000,-121.00000,-2072.00000,1249.00000,65.00000,-693.00000
2013-12-31,130.00000,1919.00000,486.00000,2405.00000,44.00000,-97.00000,-80.00000,2455.00000,-1271.00000,-586.00000,-33.00000,-33.00000,-10.00000,-1900.00000,155.00000,,155.00000,-107.00000,-107.00000,-683.00000,-52.00000,-687.00000,-136.00000,58.00000,-683.00000
2012-12-31,860.00000,1391.00000,262.00000,1653.00000,-131.00000,-30.00000,-218.00000,2295.00000,-1510.00000,-206.00000,-77.00000,-77.00000,-37.00000,-1830.00000,122.00000,,122.00000,43.00000,43.00000,-658.00000,-37.00000,-530.00000,-64.00000,29.00000,-658.00000
2011-12-31,1009.00000,1337.00000,295.00000,1632.00000,-110.00000,-127.00000,-172.00000,2469.00000,-1324.00000,-831.00000,-155.00000,-155.00000,125.00000,-2185.00000,698.00000,,698.00000,-530.00000,-530.00000,-637.00000,-97.00000,-566.00000,-281.00000,45.00000,-637.00000
2010-12-31,1002.00000,1284.00000,219.00000,1503.00000,-159.00000,-14.00000,-230.00000,2275.00000,-1104.00000,-363.00000,-173.00000,-173.00000,34.00000,-1606.00000,-204.00000,,-204.00000,-447.00000,-447.00000,-604.00000,-18.00000,-1273.00000,-601.00000,36.00000,-604.00000
2009-12-31,1060.00000,1216.00000,52.00000,1268.00000,29.00000,-46.00000,34.00000,2362.00000,-1179.00000,-253.00000,-21.00000,-21.00000,203.00000,-1250.00000,414.00000,,414.00000,-206.00000,-206.00000,-569.00000,-96.00000,-457.00000,660.00000,30.00000,-569.00000
