,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,292.00000,3544.00000,-476.00000,3068.00000,-3011.00000,-2341.00000,2793.00000,3955.00000,1396.00000,5916.00000,-1162.00000,-113.00000,-15.00000,-876.00000,,-876.00000,4435.00000,2270.00000,-3000.00000,65.00000,-2935.00000,-1048.00000,-1048.00000,-639.00000,-964.00000,-5585.00000,2232.00000,-639.00000
2021-12-31,-6591.00000,3009.00000,9133.00000,12142.00000,-177.00000,-702.00000,-2.00000,-21.00000,-902.00000,3332.00000,-1083.00000,-111.00000,20807.00000,-1290.00000,,-1290.00000,2985.00000,21308.00000,-36157.00000,-710.00000,-36867.00000,-107.00000,-107.00000,-575.00000,-7628.00000,-45177.00000,-20750.00000,-575.00000
2020-12-31,5546.00000,3464.00000,-5923.00000,-2459.00000,-1319.00000,1105.00000,-582.00000,1384.00000,588.00000,3568.00000,-1376.00000,-151.00000,20477.00000,-1352.00000,,-1352.00000,-929.00000,16671.00000,-14604.00000,-4168.00000,-18772.00000,-28.00000,-28.00000,-648.00000,-402.00000,-19852.00000,531.00000,-648.00000
2019-12-31,-4912.00000,3541.00000,6216.00000,9757.00000,-2851.00000,-1581.00000,2679.00000,3645.00000,1892.00000,8734.00000,-1837.00000,-282.00000,6920.00000,-1600.00000,,-1600.00000,5776.00000,8977.00000,-14122.00000,280.00000,-13842.00000,,,-649.00000,-1642.00000,-16133.00000,1529.00000,-649.00000
2018-12-31,-22443.00000,6582.00000,19178.00000,25760.00000,,-573.00000,666.00000,-170.00000,-77.00000,4978.00000,-2534.00000,-320.00000,8453.00000,2534.00000,1796.00000,4330.00000,8350.00000,18280.00000,-17199.00000,-4343.00000,-21542.00000,,,-4474.00000,-5790.00000,-31806.00000,-9176.00000,-4474.00000
2017-12-31,-8849.00000,6194.00000,-1359.00000,4835.00000,-3902.00000,324.00000,169.00000,669.00000,-2740.00000,6554.00000,-1112.00000,-454.00000,1950.00000,,805.00000,805.00000,4189.00000,5379.00000,-14341.00000,1699.00000,-12642.00000,-2550.00000,-2550.00000,-8650.00000,5358.00000,-18484.00000,-5659.00000,-8650.00000
2016-12-31,7211.00000,7070.00000,-15178.00000,-8108.00000,1460.00000,-815.00000,1228.00000,-892.00000,981.00000,1160.00000,-2775.00000,-749.00000,62976.00000,,200.00000,200.00000,-10518.00000,49135.00000,-57276.00000,-1135.00000,-58411.00000,-21429.00000,-21429.00000,-8806.00000,-1818.00000,-90464.00000,-41315.00000,-8806.00000
2015-12-31,-5795.00000,4847.00000,15580.00000,20427.00000,-52.00000,-314.00000,-541.00000,-996.00000,-1903.00000,19891.00000,-4289.00000,-778.00000,69871.00000,,1043.00000,1043.00000,-6360.00000,59488.00000,-33087.00000,-24459.00000,-57546.00000,-1099.00000,-1099.00000,-9295.00000,-8112.00000,-76054.00000,-138.00000,-9295.00000
2014-12-31,15345.00000,4953.00000,4827.00000,9780.00000,-1913.00000,-872.00000,565.00000,-515.00000,-2735.00000,27709.00000,-4211.00000,,-1229.00000,,1260.00000,1260.00000,-853.00000,-5034.00000,-23781.00000,-6409.00000,-30190.00000,-1218.00000,-1218.00000,-8852.00000,23304.00000,-16956.00000,2224.00000,-8852.00000
2013-12-31,13355.00000,5202.00000,4799.00000,10001.00000,-485.00000,-1368.00000,442.00000,1892.00000,481.00000,28510.00000,-4038.00000,,-5680.00000,,18850.00000,18850.00000,19985.00000,29117.00000,-15268.00000,-14048.00000,-29316.00000,-9278.00000,-8288.00000,-7821.00000,-150.00000,-45575.00000,11258.00000,-7821.00000
2012-12-31,13864.00000,9192.00000,7953.00000,17145.00000,-879.00000,-1274.00000,-437.00000,2912.00000,322.00000,31331.00000,-8935.00000,,2389.00000,,6979.00000,6979.00000,10869.00000,11302.00000,-40923.00000,219.00000,-40704.00000,-4164.00000,-204.00000,-7189.00000,-2977.00000,-51074.00000,-7163.00000,-7189.00000
2011-12-31,14151.00000,8986.00000,8072.00000,17058.00000,-670.00000,-1168.00000,1204.00000,2784.00000,2150.00000,33359.00000,-6770.00000,,6625.00000,,14785.00000,14785.00000,5242.00000,19882.00000,-41859.00000,12603.00000,-29256.00000,-6034.00000,-9334.00000,-6458.00000,-1815.00000,-46863.00000,5537.00000,-6458.00000
2010-12-31,11644.00000,9786.00000,7687.00000,17473.00000,-60.00000,342.00000,883.00000,5842.00000,7007.00000,36124.00000,-2592.00000,,4360.00000,,21758.00000,21758.00000,8910.00000,32436.00000,-52290.00000,3375.00000,-48915.00000,-3896.00000,-3896.00000,-4790.00000,-3985.00000,-61586.00000,6641.00000,-4790.00000
2009-12-31,11025.00000,10617.00000,-11220.00000,-603.00000,3273.00000,1101.00000,-464.00000,10085.00000,13995.00000,24417.00000,-2157.00000,,2136.00000,,36665.00000,36665.00000,5734.00000,42378.00000,-444.00000,-29898.00000,-30342.00000,623.00000,623.00000,-8986.00000,-4808.00000,-43513.00000,24077.00000,-8986.00000
