,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,671.80000,186.20000,39.30000,225.50000,-828.80000,181.40000,631.50000,-15.90000,881.40000,7.80000,-1927.70000,7.30000,7.30000,-1912.60000,1938.70000,1938.70000,-36.50000,-36.50000,-119.50000,-57.30000,1725.40000,563.00000,66.10000,-119.50000
2021-12-31,587.10000,148.70000,114.40000,263.10000,-81.50000,135.90000,-95.80000,-41.40000,808.80000,-28.40000,-366.80000,-1.60000,-1.60000,-396.80000,-73.10000,-73.10000,-48.60000,-48.60000,-107.20000,18.80000,-210.10000,198.30000,61.00000,-107.20000
2020-12-31,480.50000,136.30000,66.70000,203.00000,13.00000,157.90000,-141.40000,29.50000,713.00000,-61.10000,-694.80000,-3.20000,-3.20000,-759.10000,645.00000,545.00000,-25.00000,-25.00000,-100.60000,-64.40000,355.00000,308.90000,59.70000,-100.60000
2019-12-31,398.51400,130.76400,48.11000,178.87400,-79.88700,237.88900,-57.21000,100.79200,678.18000,-51.51600,-353.04300,-9.02600,-9.02600,-413.58500,300.00000,50.00000,-44.60500,-44.60500,-91.34400,6.73300,-79.21600,185.37900,46.99400,-91.34400
2018-12-31,344.25500,110.99500,37.02400,148.01900,318.79400,202.75300,-446.29200,75.25500,567.52900,-36.53600,-923.87400,8.63900,8.63900,-951.77100,180.00000,530.00000,-83.97300,-83.97300,-84.69000,-23.58700,337.75000,-46.49200,33.51900,-84.69000
2017-12-31,399.63000,110.00600,-78.69400,31.31200,-443.04300,102.04300,352.03300,11.03300,441.97500,-20.09800,-41.47100,-1.02100,-1.02100,-62.59000,-96.75000,-96.75000,-111.21700,-111.21700,-77.71200,-50.90100,-336.58000,42.80500,30.63100,-77.71200
2016-12-31,257.49100,109.46700,40.09200,149.55900,-109.66500,103.94600,17.05700,3.99200,411.04200,-12.80800,-122.62200,-6.98200,-6.98200,-142.41200,-73.12500,-73.12500,-11.42000,-11.42000,-70.26200,-5.71300,-160.52000,108.11000,16.05200,-70.26200
2015-12-31,243.31800,108.46800,29.72200,138.19000,-26.10300,32.00900,-2.30600,0.32400,381.83200,-7.79900,-136.00000,-0.83800,-0.83800,-144.63700,-45.62500,-45.62500,-161.96700,-161.96700,-64.10800,-22.13900,-293.83900,-56.64400,15.51300,-64.10800
2014-12-31,206.89600,103.88200,76.59600,180.47800,1.05000,88.40400,-88.51100,-2.35500,385.01900,-11.29200,-696.48600,0.46500,0.46500,-707.31300,718.42500,718.42500,-63.46900,-63.46900,-59.33400,-6.23200,589.39000,267.09600,19.36300,-59.33400
2013-12-31,217.11200,85.41700,51.78900,137.20600,-40.72900,137.67600,-59.53300,35.05600,389.37400,-10.48000,-367.71200,-2.44000,-2.44000,-380.63200,29.90700,29.90700,11.16100,11.16100,-53.54600,-13.13300,-25.61100,-16.86900,22.60300,-53.54600
2012-12-31,184.04500,78.94600,41.81500,120.76100,-11.31200,-11.20500,-53.31500,-84.49100,220.31500,-9.93300,-425.05400,-0.51300,-0.51300,-435.50000,198.77300,198.77300,4.34200,4.34200,-49.53400,-4.88000,148.70100,-66.48400,15.86500,-49.53400
2011-12-31,163.99500,67.14700,36.05700,103.20400,-20.57000,10.61500,-18.79700,-29.66800,237.53100,-9.92200,-166.05500,0.25200,0.25200,-175.72500,-2.07200,-2.07200,8.00800,8.00800,-46.49400,-7.92700,-48.48500,13.32100,11.19400,-46.49400
2010-12-31,161.75200,64.08100,26.28400,90.36500,-2.55500,26.59500,31.28600,43.93500,296.05200,-8.89600,-157.63700,0.04200,0.04200,-166.49100,-19.42500,-19.42500,0.97600,0.97600,-44.49600,9.25500,-53.69000,75.87100,6.84500,-44.49600
2009-12-31,153.29400,63.09700,35.58300,98.68000,36.94300,-50.79800,-16.53400,-30.38900,221.58500,-10.00500,-44.68200,-0.74200,-0.74200,-55.42900,-15.08900,-15.08900,10.14200,10.14200,-42.89600,0.24300,-47.60000,118.55600,7.35800,-42.89600
